# normalized_q E1[eV] E2 E3 E4 E5 E6 E7 E8 E9 E10 E11 E12
0.000000 0.932300 6.105000 6.105000 6.761600 6.761600 6.983600 11.070400 13.511200 17.457500 17.998300 17.998300 19.967500
0.010243 0.932600 6.105100 6.105100 6.761600 6.761600 6.982900 11.070900 13.511300 17.457400 17.998300 17.998300 19.966400
0.020487 0.933700 6.105200 6.105200 6.761500 6.761500 6.981000 11.072500 13.511500 17.456800 17.998100 17.998100 19.963000
0.030410 0.935500 6.105400 6.105400 6.761200 6.761200 6.977800 11.075200 13.511800 17.455900 17.997900 17.997900 19.957300
0.040653 0.938000 6.105700 6.105700 6.760900 6.760900 6.973300 11.079000 13.512300 17.454600 17.997600 17.997600 19.949500
0.050576 0.941200 6.106000 6.106000 6.760500 6.760500 6.967600 11.083800 13.513000 17.453000 17.997200 17.997200 19.939500
0.060819 0.945200 6.106400 6.106400 6.760100 6.760100 6.960500 11.089700 13.513700 17.451000 17.996700 17.996700 19.927500
0.070743 0.949800 6.107000 6.107000 6.759500 6.759500 6.952300 11.096600 13.514700 17.448700 17.996100 17.996100 19.913500
0.080986 0.955200 6.107500 6.107500 6.758800 6.758800 6.942800 11.104500 13.515700 17.446000 17.995400 17.995400 19.897600
0.090909 0.961300 6.108200 6.108200 6.758100 6.758100 6.932100 11.113500 13.516900 17.443000 17.994700 17.994700 19.879900
0.101152 0.968100 6.108900 6.108900 6.757300 6.757300 6.920200 11.123400 13.518200 17.439600 17.993900 17.993900 19.860600
0.111396 0.975500 6.109700 6.109700 6.756400 6.756400 6.907200 11.134300 13.519700 17.435900 17.993000 17.993000 19.839700
0.121319 0.983700 6.110600 6.110600 6.755400 6.755400 6.892900 11.146100 13.521300 17.431800 17.992000 17.992000 19.817300
0.131562 0.992600 6.111600 6.111600 6.754300 6.754300 6.877600 11.158900 13.523000 17.427400 17.991000 17.991000 19.793600
0.141485 1.002200 6.112600 6.112600 6.753100 6.753100 6.861100 11.172600 13.524800 17.422700 17.989900 17.989900 19.768600
0.151729 1.012400 6.113800 6.113800 6.751900 6.751900 6.843500 11.187200 13.526800 17.417700 17.988800 17.988800 19.742500
0.161652 1.023300 6.115000 6.115000 6.750500 6.750500 6.824900 11.202600 13.528900 17.412300 17.987600 17.987600 19.715200
0.171895 1.035000 6.116200 6.116200 6.749100 6.749100 6.805200 11.218900 13.531100 17.406700 17.986400 17.986400 19.687000
0.181818 1.047200 6.117600 6.117600 6.747600 6.747600 6.784500 11.236000 13.533400 17.400700 17.985200 17.985200 19.657900
0.192061 1.060200 6.119000 6.119000 6.746000 6.746000 6.762900 11.253800 13.535800 17.394500 17.983900 17.983900 19.628000
0.202305 1.073800 6.120500 6.120500 6.740200 6.744300 6.744300 11.272400 13.538400 17.388000 17.982600 17.982600 19.597300
0.212228 1.088000 6.122100 6.122100 6.716700 6.742600 6.742600 11.291700 13.541000 17.381200 17.981300 17.981300 19.565900
0.222471 1.103000 6.123700 6.123700 6.692200 6.740700 6.740700 11.311700 13.543700 17.374100 17.980000 17.980000 19.533800
0.232394 1.118500 6.125400 6.125400 6.666900 6.738800 6.738800 11.332400 13.546500 17.366800 17.978700 17.978700 19.501200
0.242638 1.134700 6.127200 6.127200 6.640700 6.736800 6.736800 11.353700 13.549400 17.359300 17.977400 17.977400 19.468100
0.252561 1.151500 6.129100 6.129100 6.613700 6.734700 6.734700 11.375700 13.552400 17.351500 17.976100 17.976100 19.434500
0.262804 1.169000 6.131000 6.131000 6.585900 6.732500 6.732500 11.398200 13.555500 17.343500 17.974800 17.974800 19.400400
0.272727 1.187000 6.133000 6.133000 6.557300 6.730300 6.730300 11.421300 13.558600 17.335200 17.973600 17.973600 19.366000
0.282971 1.205700 6.135100 6.135100 6.528000 6.728000 6.728000 11.444900 13.561800 17.326800 17.972300 17.972300 19.331200
0.292894 1.225000 6.137300 6.137300 6.497900 6.725600 6.725600 11.469000 13.565000 17.318200 17.971200 17.971200 19.296100
0.303137 1.244800 6.139500 6.139500 6.467200 6.723100 6.723100 11.493600 13.568300 17.309400 17.970100 17.970100 19.260700
0.313380 1.265300 6.141800 6.141800 6.435800 6.720600 6.720600 11.518700 13.571700 17.300400 17.969000 17.969000 19.225100
0.323303 1.286300 6.144200 6.144200 6.403800 6.717900 6.717900 11.544200 13.575100 17.291300 17.968000 17.968000 19.189300
0.333547 1.307900 6.146600 6.146600 6.371100 6.715200 6.715200 11.570100 13.578500 17.282100 17.967100 17.967100 19.153200
0.343470 1.330100 6.149100 6.149100 6.337800 6.712500 6.712500 11.596400 13.581900 17.272700 17.966300 17.966300 19.117000
0.353713 1.352800 6.151700 6.151700 6.304000 6.709600 6.709600 11.623000 13.585400 17.263200 17.965500 17.965500 19.080700
0.363636 1.376100 6.154300 6.154300 6.269600 6.706700 6.706700 11.650000 13.588800 17.253600 17.964900 17.964900 19.044300
0.373880 1.399900 6.157000 6.157000 6.234700 6.703700 6.703700 11.677300 13.592300 17.243900 17.964300 17.964300 19.007700
0.383803 1.424300 6.159800 6.159800 6.199300 6.700600 6.700600 11.704900 13.595700 17.234200 17.963900 17.963900 18.971200
0.394046 1.449200 6.162700 6.162700 6.163400 6.697500 6.697500 11.732800 13.599100 17.224400 17.963500 17.963500 18.934500
0.404289 1.474600 6.127000 6.165600 6.165600 6.694300 6.694300 11.760900 13.602500 17.214500 17.963300 17.963300 18.897800
0.414213 1.500500 6.090200 6.168600 6.168600 6.691000 6.691000 11.789200 13.605900 17.204700 17.963200 17.963200 18.861200
0.424456 1.526900 6.052900 6.171600 6.171600 6.687700 6.687700 11.817800 13.609200 17.194800 17.963300 17.963300 18.824500
0.434379 1.553800 6.015200 6.174700 6.174700 6.684300 6.684300 11.846500 13.612400 17.185000 17.963500 17.963500 18.787800
0.444622 1.581200 5.977200 6.177900 6.177900 6.680800 6.680800 11.875500 13.615500 17.175100 17.963800 17.963800 18.751200
0.454545 1.609100 5.938700 6.181100 6.181100 6.677300 6.677300 11.904600 13.618600 17.165300 17.964300 17.964300 18.714700
0.464789 1.637400 5.899900 6.184400 6.184400 6.673700 6.673700 11.933800 13.621600 17.155600 17.964900 17.964900 18.678200
0.474712 1.666200 5.860700 6.187700 6.187700 6.670000 6.670000 11.963200 13.624500 17.145900 17.965800 17.965800 18.641800
0.484955 1.695500 5.821200 6.191100 6.191100 6.666300 6.666300 11.992600 13.627200 17.136400 17.966700 17.966700 18.605500
0.495198 1.725200 5.781400 6.194600 6.194600 6.662500 6.662500 12.022200 13.629900 17.126900 17.967900 17.967900 18.569400
0.505122 1.755300 5.741300 6.198100 6.198100 6.658700 6.658700 12.051800 13.632400 17.117600 17.969200 17.969200 18.533300
0.515365 1.785900 5.700900 6.201700 6.201700 6.654800 6.654800 12.081500 13.634700 17.108400 17.970700 17.970700 18.497400
0.525288 1.816900 5.660200 6.205400 6.205400 6.650900 6.650900 12.111200 13.636900 17.099400 17.972400 17.972400 18.461700
0.535531 1.848300 5.619300 6.209100 6.209100 6.646900 6.646900 12.141000 13.638900 17.090600 17.974300 17.974300 18.426100
0.545455 1.880100 5.578100 6.212800 6.212800 6.642800 6.642800 12.170800 13.640700 17.082000 17.976400 17.976400 18.390700
0.555698 1.912300 5.536700 6.216600 6.216600 6.638700 6.638700 12.200600 13.642200 17.073600 17.978700 17.978700 18.355500
0.565621 1.944900 5.495000 6.220500 6.220500 6.634500 6.634500 12.230300 13.643600 17.065500 17.981200 17.981200 18.320500
0.575864 1.977900 5.453100 6.224400 6.224400 6.630300 6.630300 12.260100 13.644700 17.057600 17.983900 17.983900 18.285800
0.586108 2.011300 5.411100 6.228400 6.228400 6.626000 6.626000 12.289800 13.645600 17.050000 17.986800 17.986800 18.251200
0.596031 2.045100 5.368800 6.232400 6.232400 6.621700 6.621700 12.319400 13.646200 17.042600 17.990000 17.990000 18.216900
0.606274 2.079200 5.326400 6.236500 6.236500 6.617300 6.617300 12.349000 13.646600 17.035600 17.993400 17.993400 18.182900
0.616197 2.113600 5.283700 6.240600 6.240600 6.612900 6.612900 12.378500 13.646600 17.029000 17.996900 17.996900 18.149100
0.626440 2.148400 5.241000 6.244800 6.244800 6.608500 6.608500 12.407900 13.646400 17.022700 18.000800 18.000800 18.115600
0.636364 2.183600 5.198000 6.249000 6.249000 6.604000 6.604000 12.437300 13.645800 17.016700 18.004800 18.004800 18.082400
0.646607 2.219100 5.155000 6.253300 6.253300 6.599400 6.599400 12.466500 13.644900 17.011200 18.009100 18.009100 18.049500
0.656530 2.254900 5.111800 6.257600 6.257600 6.594800 6.594800 12.495500 13.643700 17.006000 18.013600 18.013600 18.016900
0.666773 2.291000 5.068500 6.261900 6.261900 6.590200 6.590200 12.524500 13.642100 17.001300 17.984600 18.018400 18.018400
0.676697 2.327500 5.025000 6.266300 6.266300 6.585500 6.585500 12.553200 13.640100 16.997000 17.952600 18.023400 18.023400
0.686940 2.364200 4.981500 6.270800 6.270800 6.580800 6.580800 12.581900 13.637800 16.993200 17.921000 18.028600 18.028600
0.697183 2.401300 4.937900 6.275200 6.275200 6.576100 6.576100 12.610300 13.635000 16.989900 17.889700 18.034100 18.034100
0.707106 2.438700 4.894200 6.279800 6.279800 6.571300 6.571300 12.638600 13.631900 16.987000 17.858800 18.039900 18.039900
0.717350 2.476300 4.850400 6.284300 6.284300 6.566500 6.566500 12.666600 13.628300 16.984700 17.828300 18.045900 18.045900
0.727273 2.514200 4.806500 6.288900 6.288900 6.561700 6.561700 12.694500 13.624300 16.982800 17.798100 18.052100 18.052100
0.737516 2.552400 4.762600 6.293600 6.293600 6.556800 6.556800 12.722100 13.619800 16.981600 17.768400 18.058600 18.058600
0.747439 2.590800 4.718600 6.298300 6.298300 6.551900 6.551900 12.749500 13.614900 16.980800 17.739000 18.065400 18.065400
0.757682 2.629600 4.674500 6.303000 6.303000 6.547000 6.547000 12.776700 13.609600 16.980600 17.710100 18.072400 18.072400
0.767606 2.668500 4.630400 6.307700 6.307700 6.542000 6.542000 12.803600 13.603700 16.981100 17.681600 18.079700 18.079700
0.777849 2.707700 4.586300 6.312500 6.312500 6.537000 6.537000 12.830200 13.597400 16.982000 17.653500 18.087200 18.087200
0.788092 2.747200 4.542200 6.317300 6.317300 6.532000 6.532000 12.856600 13.590600 16.983600 17.625900 18.095000 18.095000
0.798015 2.786900 4.498000 6.322100 6.322100 6.527000 6.527000 12.882600 13.583300 16.985800 17.598700 18.103000 18.103000
0.808259 2.826800 4.453900 6.327000 6.327000 6.522000 6.522000 12.908400 13.575500 16.988700 17.572000 18.111400 18.111400
0.818182 2.866900 4.409700 6.331900 6.331900 6.516900 6.516900 12.933900 13.567100 16.992100 17.545800 18.120000 18.120000
0.828425 2.907300 4.365500 6.336800 6.336800 6.511800 6.511800 12.959000 13.558300 16.996200 17.520100 18.128800 18.128800
0.838348 2.947900 4.321300 6.341800 6.341800 6.506700 6.506700 12.983900 13.548900 17.001000 17.494900 18.137900 18.137900
0.848592 2.988600 4.277200 6.346800 6.346800 6.501600 6.501600 13.008300 13.539100 17.006300 17.470100 18.147300 18.147300
0.858515 3.029600 4.233000 6.351800 6.351800 6.496400 6.496400 13.032500 13.528700 17.012400 17.445900 18.157000 18.157000
0.868758 3.070700 4.188900 6.356800 6.356800 6.491300 6.491300 13.056200 13.517700 17.019100 17.422300 18.166900 18.166900
0.879001 3.112100 4.144800 6.361800 6.361800 6.486100 6.486100 13.079600 13.506300 17.026400 17.399100 18.177100 18.177100
0.888924 3.153600 4.100800 6.366900 6.366900 6.480900 6.480900 13.102600 13.494300 17.034500 17.376600 18.187500 18.187500
0.899168 3.195300 4.056800 6.372000 6.372000 6.475700 6.475700 13.125300 13.481700 17.043200 17.354500 18.198200 18.198200
0.909091 3.237200 4.012800 6.377100 6.377100 6.470500 6.470500 13.147500 13.468700 17.052500 17.333100 18.209200 18.209200
0.919334 3.279200 3.968900 6.382200 6.382200 6.465300 6.465300 13.169300 13.455100 17.062600 17.312200 18.220500 18.220500
0.929257 3.321400 3.925100 6.387400 6.387400 6.460100 6.460100 13.190700 13.441000 17.073300 17.291900 18.232000 18.232000
0.939501 3.363700 3.881300 6.392500 6.392500 6.454900 6.454900 13.211600 13.426400 17.084700 17.272200 18.243800 18.243800
0.949424 3.406200 3.837700 6.397700 6.397700 6.449700 6.449700 13.232100 13.411200 17.096700 17.253100 18.255800 18.255800
0.959667 3.448800 3.794100 6.402800 6.402800 6.444500 6.444500 13.252200 13.395500 17.109400 17.234600 18.268100 18.268100
