# normalized_q E1[eV] E2 E3 E4 E5 E6 E7 E8 E9 E10 E11 E12
0.000000 0.932300 6.105000 6.105000 6.761600 6.761600 6.983600 11.070400 13.511200 17.457500 17.998300 17.998300 19.967500
0.013390 0.934300 6.096600 6.102600 6.752400 6.761500 6.982900 11.079600 13.519000 17.450400 17.983600 18.003300 19.969600
0.026779 0.940400 6.071500 6.095000 6.725300 6.760900 6.981000 11.106900 13.542200 17.429000 17.940200 18.018400 19.971600
0.040270 0.950600 6.030600 6.081900 6.681700 6.759400 6.977600 11.151500 13.580300 17.393500 17.870600 18.043400 19.943100
0.053660 0.964900 5.975000 6.062500 6.623900 6.756700 6.972600 11.212000 13.632500 17.344000 17.778300 18.078500 19.907300
0.067049 0.983200 5.906000 6.035300 6.554800 6.752100 6.965900 11.286700 13.697900 17.280800 17.667500 18.123600 19.864500
0.080540 1.005600 5.825000 5.998300 6.478600 6.745400 6.957500 11.373900 13.775200 17.204300 17.542200 18.178700 19.816100
0.093929 1.031900 5.733500 5.948600 6.399700 6.736100 6.947400 11.471700 13.863000 17.115000 17.406100 18.243600 19.763400
0.107319 1.062300 5.632800 5.882900 6.323300 6.724200 6.935400 11.578300 13.960000 17.013900 17.262800 18.318100 19.695500
0.120809 1.096600 5.524300 5.799200 6.253100 6.709400 6.921500 11.692000 14.064600 16.901600 17.115000 18.402100 19.579400
0.134199 1.134800 5.409200 5.697600 6.190300 6.691800 6.905700 11.811400 14.175400 16.779300 16.965300 18.495100 19.453100
0.147589 1.176900 5.288800 5.580800 6.133800 6.671100 6.887900 11.935200 14.291000 16.648100 16.815800 18.596200 19.321400
0.161079 1.222900 5.164100 5.452200 6.081200 6.647500 6.868000 12.062200 14.409800 16.509100 16.668300 18.704300 19.187900
0.174469 1.272700 5.036300 5.315000 6.030400 6.620900 6.845900 12.191400 14.530600 16.363800 16.524100 18.817000 19.055000
0.187859 1.326200 4.906400 5.171900 5.979700 6.591300 6.821500 12.321900 14.651900 16.213600 16.384600 18.924400 18.929200
0.201349 1.383400 4.775300 5.024700 5.927900 6.558600 6.794700 12.453200 14.772100 16.060100 16.250900 18.797300 19.021200
0.214739 1.444200 4.643900 4.875000 5.874300 6.522900 6.765500 12.584400 14.888700 15.905900 16.123900 18.674700 19.026600
0.228128 1.508500 4.513000 4.724000 5.818300 6.484100 6.733800 12.715100 14.997600 15.755500 16.004200 18.557300 18.955300
0.241619 1.576300 4.383300 4.572800 5.759600 6.442300 6.699400 12.844800 15.087500 15.620100 15.892700 18.445700 18.867500
0.255009 1.647600 4.255700 4.422000 5.698000 6.397400 6.662400 12.973100 15.126700 15.531800 15.790000 18.340400 18.778300
0.268398 1.722100 4.130700 4.272500 5.633200 6.349600 6.622800 13.099600 15.071400 15.534600 15.696500 18.241600 18.692500
0.281889 1.799800 4.008900 4.124700 5.565200 6.298900 6.580300 13.223900 14.946800 15.603400 15.612700 18.149800 18.612600
0.295278 1.880500 3.891000 3.979300 5.494000 6.245300 6.535100 13.345700 14.796400 15.539000 15.694900 18.065100 18.540300
0.308668 1.964300 3.777400 3.836800 5.419700 6.188900 6.487100 13.464500 14.637100 15.475800 15.792300 17.987800 18.477100
0.322158 2.050800 3.668800 3.697500 5.342300 6.129800 6.436400 13.580000 14.474700 15.423600 15.889500 17.918000 18.424100
0.335548 2.140100 3.562000 3.565600 5.262000 6.068100 6.383000 13.691700 14.311900 15.382500 15.984000 17.855900 18.382200
0.348938 2.231800 3.430500 3.468100 5.178800 6.004000 6.326800 13.799200 14.150100 15.353000 16.074300 17.801400 18.352400
0.362428 2.325900 3.303600 3.377000 5.093000 5.937600 6.268100 13.902000 13.990300 15.335200 16.159200 17.754600 18.335200
0.375818 2.422200 3.181400 3.292500 5.004700 5.869000 6.206900 13.833200 13.999600 15.329300 16.237900 17.715500 18.331200
0.389208 2.520400 3.064400 3.215100 4.914300 5.798500 6.143400 13.679300 14.091800 15.335400 16.309800 17.684100 18.340700
0.402698 2.620200 2.953000 3.145100 4.821900 5.726300 6.077500 13.529100 14.178300 15.353300 16.374600 17.660300 18.363800
0.416088 2.721100 2.847300 3.083200 4.727900 5.652600 6.009600 13.383100 14.259200 15.382400 16.432000 17.644000 18.400200
0.429477 2.747700 2.821800 3.030500 4.632500 5.577700 5.939700 13.241700 14.334600 15.422000 16.482100 17.635000 18.449200
0.442968 2.654600 2.913300 2.996100 4.536000 5.501800 5.868100 13.105300 14.405200 15.471100 16.525200 17.633300 18.509900
0.456358 2.568000 2.926800 3.048600 4.438700 5.425100 5.794800 12.974300 14.471700 15.528200 16.561800 17.638700 18.580600
0.469747 2.488400 2.901400 3.148500 4.341100 5.348100 5.720200 12.849100 14.534800 15.591900 16.592300 17.650900 18.659200
0.483238 2.415900 2.879900 3.253000 4.243300 5.271000 5.644400 12.730000 14.595300 15.660600 16.617300 17.669800 18.741600
0.496627 2.350800 2.865500 3.358300 4.145900 5.194200 5.567600 12.617500 14.653900 15.732900 16.637300 17.695000 18.818000
0.510017 2.293000 2.858600 3.463600 4.049100 5.118000 5.490000 12.511700 14.711100 15.807300 16.652600 17.726400 18.864800
0.523508 2.242900 2.859100 3.568400 3.953300 5.043000 5.411800 12.413100 14.767100 15.882600 16.663600 17.763500 18.866700
0.536897 2.200300 2.866900 3.672100 3.859100 4.969500 5.333300 12.322000 14.822200 15.957500 16.670600 17.806100 18.844800
0.550287 2.165300 2.881300 3.767000 3.774500 4.898100 5.254600 12.238700 14.876300 16.031100 16.673600 17.853700 18.814300
0.563777 2.137600 2.902000 3.677300 3.875000 4.829400 5.175900 12.163500 14.928900 16.102400 16.672800 17.905800 18.780100
0.577167 2.117100 2.928200 3.590900 3.973400 4.764200 5.097600 12.096700 14.979700 16.170700 16.668100 17.961900 18.743600
0.590557 2.103200 2.959100 3.508500 4.069200 4.703200 5.019700 12.038400 15.027900 16.235200 16.659500 18.021500 18.705000
0.604047 2.095300 2.993400 3.430900 4.162100 4.647600 4.942400 11.989000 15.072600 16.295500 16.647100 18.083700 18.664100
0.617437 2.092500 3.029900 3.359200 4.251600 4.598400 4.866000 11.948500 15.112800 16.351000 16.630700 18.148000 18.620400
0.630827 2.093400 3.067100 3.294900 4.337500 4.557200 4.790600 11.917000 15.147100 16.401500 16.610400 18.213300 18.573500
0.644317 2.096700 3.103000 3.239500 4.419300 4.525700 4.716300 11.894700 15.174000 16.447200 16.586000 18.279000 18.522600
0.657707 2.100200 3.135800 3.195000 4.492600 4.509700 4.643500 11.881400 15.191500 16.488100 16.557500 18.344000 18.467300
0.671096 2.101900 3.163400 3.163400 4.496000 4.572100 4.572100 11.877000 15.197800 16.524800 16.524800 18.407300 18.407400
0.677842 2.101300 3.153100 3.174700 4.497700 4.537100 4.607000 11.878100 15.196100 16.506800 16.541800 18.375600 18.438200
0.684587 2.099500 3.146800 3.184100 4.502500 4.502900 4.640800 11.881300 15.190800 16.487700 16.558100 18.342800 18.468200
0.691231 2.096200 3.144600 3.191500 4.468300 4.511900 4.673500 11.886600 15.181800 16.467500 16.573700 18.308900 18.497500
0.697976 2.091300 3.146700 3.196700 4.434600 4.524700 4.705100 11.893900 15.168600 16.446200 16.588900 18.274100 18.525900
0.704722 2.084700 3.153100 3.199800 4.401400 4.541200 4.735600 11.903300 15.151300 16.423600 16.603700 18.238400 18.553200
0.711366 2.076200 3.163800 3.200800 4.368700 4.561500 4.765000 11.914600 15.129500 16.399900 16.618400 18.202000 18.579600
0.718111 2.066100 3.178800 3.199600 4.336500 4.585300 4.793300 11.927700 15.103300 16.374900 16.632900 18.165000 18.604900
0.724857 2.054200 3.196500 3.197900 4.304900 4.612500 4.820500 11.942500 15.072400 16.348600 16.647400 18.127800 18.629000
0.731501 2.040700 3.191500 3.221000 4.273800 4.642800 4.846700 11.959100 15.037000 16.321000 16.661900 18.090300 18.652100
0.738246 2.025800 3.184800 3.247900 4.243300 4.676000 4.872000 11.977300 14.996900 16.292000 16.676700 18.053000 18.674100
0.744891 2.009600 3.176500 3.278300 4.213400 4.711700 4.896400 11.996900 14.952400 16.261700 16.691600 18.015900 18.694900
0.751636 1.992300 3.166900 3.312000 4.184000 4.749600 4.920300 12.017900 14.903400 16.230000 16.706800 17.979400 18.714800
0.758381 1.974100 3.156100 3.348700 4.155300 4.789100 4.943700 12.040200 14.850200 16.196900 16.722200 17.943700 18.733600
0.765026 1.955100 3.144200 3.388300 4.127200 4.829500 4.967400 12.063600 14.793000 16.162400 16.737900 17.909000 18.751500
0.771771 1.935500 3.131500 3.430300 4.099700 4.869800 4.991900 12.088000 14.732000 16.126600 16.753800 17.875600 18.768500
0.778516 1.915500 3.118100 3.474700 4.072900 4.908400 5.018800 12.113300 14.667500 16.089300 16.769900 17.843600 18.784600
0.785161 1.895200 3.104100 3.521100 4.046800 4.943500 5.049800 12.139400 14.599800 16.050800 16.786100 17.813300 18.799900
0.791906 1.874600 3.089700 3.569300 4.021300 4.973200 5.086300 12.166000 14.529200 16.011000 16.802400 17.784800 18.814500
0.798651 1.854100 3.075000 3.619100 3.996500 4.997600 5.128200 12.193100 14.456000 15.970000 16.818800 17.758400 18.828500
0.805295 1.833600 3.060000 3.670200 3.972500 5.017800 5.174300 12.220400 14.380600 15.928100 16.835200 17.734000 18.841800
0.812041 1.813200 3.045000 3.722500 3.949300 5.034800 5.223300 12.248000 14.303200 15.885200 16.851500 17.712000 18.854500
0.818786 1.793000 3.029900 3.775600 3.926900 5.049600 5.274100 12.275500 14.224300 15.841600 16.867700 17.692200 18.866700
0.825430 1.773100 3.014800 3.828600 3.906200 5.062800 5.326100 12.302800 14.144100 15.797400 16.883700 17.674900 18.878400
0.832176 1.753600 2.999900 3.870300 3.898000 5.074600 5.378700 12.329800 14.063100 15.752800 16.899500 17.660000 18.889500
