# normalized_q E1[eV] E2 E3 E4 E5 E6 E7 E8 E9 E10 E11 E12
0.000000 0.932300 6.105000 6.105000 6.761600 6.761600 6.983600 11.070400 13.511200 17.457500 17.998300 17.998300 19.967500
0.010147 0.932700 6.103500 6.104600 6.759900 6.761600 6.983400 11.072100 13.512600 17.456200 17.995500 17.999300 19.968000
0.020119 0.933800 6.098700 6.103200 6.754700 6.761500 6.983100 11.077300 13.517000 17.452200 17.987200 18.002100 19.969100
0.030266 0.935700 6.090800 6.100900 6.746100 6.761400 6.982500 11.085900 13.524300 17.445500 17.973500 18.006800 19.969700
0.040413 0.938400 6.079700 6.097700 6.734200 6.761200 6.981600 11.097800 13.534500 17.436100 17.954500 18.013300 19.966400
0.050560 0.941800 6.065500 6.093600 6.719000 6.760900 6.980500 11.113100 13.547400 17.424100 17.930400 18.021800 19.957200
0.060532 0.946000 6.048200 6.088600 6.700600 6.760600 6.979100 11.131600 13.563200 17.409500 17.901600 18.032100 19.944200
0.070679 0.951000 6.027900 6.082800 6.679200 6.760100 6.977400 11.153100 13.581700 17.392200 17.868200 18.044200 19.928300
0.080826 0.956700 6.004600 6.076100 6.654800 6.759600 6.975500 11.177700 13.602800 17.372200 17.830600 18.058200 19.910000
0.090973 0.963200 5.978400 6.068600 6.627700 6.758900 6.973200 11.205000 13.626500 17.349700 17.789200 18.074100 19.889300
0.100945 0.970500 5.949200 6.060300 6.597900 6.758200 6.970600 11.235100 13.652600 17.324500 17.744300 18.091700 19.866400
0.111092 0.978500 5.917300 6.051200 6.565700 6.757300 6.967600 11.267700 13.681100 17.296700 17.696300 18.111100 19.841700
0.121239 0.987300 5.882700 6.041400 6.531100 6.756200 6.964400 11.302800 13.711900 17.266400 17.645500 18.132400 19.815200
0.131386 0.996800 5.845300 6.030800 6.494300 6.755000 6.960800 11.340100 13.744800 17.233500 17.592400 18.155400 19.787100
0.141358 1.007100 5.805500 6.019600 6.455400 6.753600 6.956900 11.379400 13.779700 17.198000 17.537300 18.180200 19.757800
0.151505 1.018100 5.763100 6.007700 6.414600 6.752000 6.952700 11.420800 13.816400 17.160000 17.480700 18.206700 19.727500
0.161652 1.029900 5.718400 5.995200 6.372100 6.750200 6.948100 11.463800 13.854900 17.119300 17.422900 18.234900 19.696500
0.171624 1.042400 5.671300 5.982100 6.327900 6.748300 6.943200 11.508600 13.894800 17.076000 17.364300 18.264700 19.664800
0.181770 1.055700 5.622100 5.968500 6.282100 6.746000 6.938000 11.554800 13.936200 17.029900 17.305400 18.296300 19.632900
0.191917 1.069700 5.570800 5.954300 6.235000 6.743600 6.932400 11.602300 13.978700 16.981100 17.246700 18.329400 19.600800
0.202064 1.084500 5.517600 5.939500 6.186600 6.741000 6.926400 11.651000 14.022300 16.929400 17.188600 18.364100 19.568900
0.212036 1.100000 5.462500 5.924400 6.137000 6.738100 6.920100 11.700700 14.066600 16.874900 17.131600 18.400300 19.537100
0.222183 1.116200 5.405600 5.908700 6.086300 6.734900 6.913300 11.751400 14.111500 16.817500 17.076000 18.438100 19.505700
0.232330 1.133200 5.347100 5.892700 6.034700 6.731500 6.906300 11.802800 14.156700 16.757300 17.022100 18.477300 19.474800
0.242477 1.150900 5.287000 5.876200 5.982100 6.727900 6.898800 11.854900 14.202000 16.694500 16.970200 18.517800 19.444500
0.252449 1.169300 5.225500 5.859400 5.928700 6.724000 6.890900 11.907600 14.247100 16.629300 16.920500 18.559600 19.414900
0.262596 1.188400 5.162700 5.842300 5.874600 6.719900 6.882600 11.960600 14.291700 16.562000 16.873200 18.602700 19.386100
0.272743 1.208300 5.098600 5.819800 5.824800 6.715500 6.874000 12.013900 14.335500 16.492900 16.828500 18.646900 19.358100
0.282890 1.228900 5.033500 5.764400 5.807100 6.710800 6.864800 12.067400 14.378100 16.422300 16.786500 18.692000 19.330900
0.292862 1.250100 4.967300 5.708400 5.789100 6.705900 6.855300 12.121000 14.419200 16.350400 16.747400 18.738000 19.304600
0.303009 1.272100 4.900200 5.651900 5.770800 6.700800 6.845300 12.174500 14.458500 16.277500 16.711600 18.784500 19.279200
0.313156 1.294800 4.832300 5.595100 5.752400 6.695400 6.834900 12.227900 14.495400 16.203800 16.679300 18.831400 19.254700
0.323303 1.318200 4.763600 5.537800 5.733800 6.689800 6.824000 12.281000 14.529800 16.129500 16.650900 18.878200 19.231100
0.333275 1.342300 4.694200 5.480200 5.715000 6.684000 6.812700 12.333700 14.561000 16.054800 16.626600 18.924300 19.208100
0.343422 1.367000 4.624400 5.422400 5.696100 6.677900 6.800900 12.385900 14.588800 15.979900 16.606700 18.968900 19.160000
0.353569 1.392500 4.554000 5.364300 5.677000 6.671600 6.788600 12.437500 14.612800 15.904900 16.591600 19.010900 19.102800
0.363541 1.418600 4.483200 5.306000 5.657900 6.665200 6.775800 12.488300 14.632800 15.830100 16.581400 19.046500 19.048500
0.373688 1.445400 4.412100 5.247600 5.638600 6.658500 6.762400 12.538400 14.648400 15.755600 16.576400 18.991200 19.079200
0.383835 1.472800 4.340700 5.189100 5.619400 6.651600 6.748600 12.587400 14.659400 15.681600 16.576600 18.937000 19.100600
0.393982 1.500900 4.269200 5.130500 5.600000 6.644600 6.734200 12.635400 14.665900 15.608300 16.581900 18.884200 19.092100
0.403954 1.529700 4.197500 5.072000 5.580700 6.637300 6.719300 12.682100 14.667700 15.535900 16.592300 18.832700 19.075800
0.414101 1.559000 4.125800 5.013400 5.561400 6.630000 6.703900 12.727500 14.665000 15.464800 16.607400 18.782800 19.060300
0.424248 1.589100 4.054100 4.954900 5.542100 6.622400 6.687900 12.771400 14.657700 15.395100 16.627000 18.734700 19.045700
0.434395 1.619700 3.982500 4.896500 5.522800 6.614800 6.671300 12.813700 14.646100 15.327200 16.650700 18.688400 19.032000
0.444367 1.651000 3.911000 4.838200 5.503600 6.607000 6.654100 12.854100 14.630100 15.261600 16.677900 18.644100 19.014100
0.454514 1.682800 3.839700 4.780100 5.484400 6.599100 6.636400 12.892600 14.609900 15.198600 16.708300 18.602100 18.980200
