"ENCUT (eV)" "a (Angstrom)" "c (Angstrom)" "u (reduced)" "Final energy (eV)" "Core Hours"
200 2.92042 4.58904 0.38837 -33.71399 1.58779
250 2.95635 4.60957 0.39046 -30.01542 0.38027
300 3.01548 4.73986 0.38703 -30.38241 0.64709
350 3.06367 4.86618 0.38411 -31.01079 0.34880
400 3.09395 4.94028 0.38261 -31.25729 0.89477
450 3.10924 4.97397 0.38211 -31.31266 0.39216
500 3.11340 4.98292 0.38200 -31.31310 0.29995
550 3.11354 4.98312 0.38199 -31.31273 0.16597
600 3.11300 4.98224 0.38199 -31.31573 0.21317
650 3.11283 4.98187 0.38200 -31.31951 0.29824
700 3.11305 4.98216 0.38200 -31.32263 0.23493
750 3.11343 4.98275 0.38200 -31.32432 0.23797
800 3.11381 4.98339 0.38200 -31.32552 0.26789
850 3.11409 4.98392 0.38200 -31.32599 0.25936
900 3.11426 4.98427 0.38199 -31.32616 0.25584
950 3.11432 4.98444 0.38199 -31.32624 0.31499
1000 3.11432 4.98444 0.38199 -31.32625 0.17371
