kmesh kpoints "a (Angstrom)" "c (Angstrom)" "u (reduced)" "Final energy (eV)" "Core Hours"
5x5x3 75 3.11357 4.98307 0.38200 -31.30429 1.73424
6x6x4 144 3.11357 4.98307 0.38200 -31.31130 0.06992
7x7x4 196 3.11357 4.98307 0.38200 -31.31240 0.07189
8x8x5 320 3.11357 4.98307 0.38200 -31.31264 0.07691
9x9x6 486 3.11357 4.98307 0.38200 -31.31271 0.09781
10x10x6 600 3.11357 4.98307 0.38200 -31.31273 0.08128
11x11x7 847 3.11357 4.98307 0.38200 -31.31274 0.16064
12x12x8 1152 3.11354 4.98312 0.38199 -31.31273 0.16597
13x13x8 1352 3.11357 4.98307 0.38200 -31.31273 0.10747
14x14x9 1764 3.11357 4.98307 0.38200 -31.31273 0.12032
15x15x9 2025 3.11357 4.98307 0.38200 -31.31272 0.12576
16x16x10 2560 3.11357 4.98307 0.38200 -31.31272 0.15115
17x17x11 3179 3.11357 4.98307 0.38200 -31.31273 0.16389
18x18x11 3564 3.11357 4.98307 0.38200 -31.31273 0.19307
19x19x12 4332 3.11357 4.98307 0.38200 -31.31273 0.21168
20x20x13 5200 3.11357 4.98307 0.38200 -31.31273 0.22549
