# Efermi (eV) : 6.246298
# (SCF 12x12x8 G-cntrd k points)
"kaxis (pi/a or pi/c unit)" E1 E2 E3 E4 E5 E6 E7 E8 E9 E10 E11 E12
0.00000 -6.24460 -1.07180 -1.07180 -0.41760 -0.41760 -0.19330 3.91990 6.35500 10.29990 10.82630 10.82630 12.80250
0.01010 -6.24420 -1.07180 -1.07180 -0.41760 -0.41760 -0.19390 3.92050 6.35510 10.29970 10.82630 10.82630 12.80140
0.02020 -6.24320 -1.07170 -1.07170 -0.41770 -0.41770 -0.19580 3.92210 6.35530 10.29910 10.82610 10.82610 12.79790
0.03030 -6.24130 -1.07150 -1.07150 -0.41800 -0.41800 -0.19900 3.92470 6.35570 10.29830 10.82590 10.82590 12.79230
0.04040 -6.23880 -1.07120 -1.07120 -0.41830 -0.41830 -0.20350 3.92850 6.35620 10.29700 10.82560 10.82560 12.78440
0.05051 -6.23570 -1.07090 -1.07080 -0.41870 -0.41870 -0.20920 3.93330 6.35680 10.29530 10.82510 10.82510 12.77450
0.06061 -6.23170 -1.07040 -1.07040 -0.41910 -0.41910 -0.21620 3.93910 6.35760 10.29330 10.82460 10.82460 12.76240
0.07071 -6.22700 -1.06990 -1.06990 -0.41970 -0.41970 -0.22440 3.94600 6.35850 10.29100 10.82400 10.82400 12.74840
0.08081 -6.22170 -1.06930 -1.06930 -0.42040 -0.42040 -0.23390 3.95390 6.35960 10.28830 10.82330 10.82330 12.73250
0.09091 -6.21560 -1.06870 -1.06870 -0.42110 -0.42110 -0.24450 3.96280 6.36080 10.28520 10.82260 10.82260 12.71480
0.10101 -6.20880 -1.06790 -1.06790 -0.42190 -0.42190 -0.25640 3.97270 6.36210 10.28180 10.82170 10.82170 12.69550
0.11111 -6.20130 -1.06710 -1.06710 -0.42280 -0.42280 -0.26940 3.98360 6.36360 10.27810 10.82080 10.82080 12.67460
0.12121 -6.19310 -1.06620 -1.06620 -0.42380 -0.42380 -0.28360 3.99540 6.36520 10.27400 10.81980 10.81980 12.65220
0.13131 -6.18420 -1.06530 -1.06530 -0.42490 -0.42490 -0.29890 4.00810 6.36690 10.26960 10.81880 10.81880 12.62850
0.14141 -6.17460 -1.06420 -1.06420 -0.42610 -0.42610 -0.31530 4.02170 6.36880 10.26490 10.81770 10.81770 12.60360
0.15152 -6.16430 -1.06310 -1.06310 -0.42730 -0.42730 -0.33280 4.03620 6.37080 10.25980 10.81650 10.81650 12.57740
0.16162 -6.15340 -1.06190 -1.06190 -0.42870 -0.42870 -0.35140 4.05160 6.37290 10.25450 10.81530 10.81530 12.55020
0.17172 -6.14180 -1.06070 -1.06070 -0.43010 -0.43010 -0.37100 4.06780 6.37510 10.24880 10.81410 10.81410 12.52200
0.18182 -6.12940 -1.05930 -1.05930 -0.43160 -0.43160 -0.39160 4.08480 6.37740 10.24280 10.81280 10.81280 12.49290
0.19192 -6.11650 -1.05790 -1.05790 -0.43320 -0.43320 -0.41320 4.10260 6.37980 10.23660 10.81150 10.81150 12.46300
0.20202 -6.10280 -1.05640 -1.05640 -0.43580 -0.43480 -0.43480 4.12120 6.38240 10.23000 10.81020 10.81020 12.43240
0.21212 -6.08860 -1.05480 -1.05480 -0.45930 -0.43660 -0.43660 4.14040 6.38500 10.22320 10.80880 10.80880 12.40100
0.22222 -6.07360 -1.05320 -1.05320 -0.48370 -0.43840 -0.43840 4.16040 6.38780 10.21610 10.80750 10.80750 12.36900
0.23232 -6.05800 -1.05150 -1.05150 -0.50890 -0.44030 -0.44030 4.18100 6.39060 10.20880 10.80610 10.80610 12.33640
0.24242 -6.04180 -1.04970 -1.04970 -0.53510 -0.44230 -0.44230 4.20220 6.39350 10.20120 10.80480 10.80480 12.30330
0.25253 -6.02500 -1.04780 -1.04780 -0.56200 -0.44440 -0.44440 4.22410 6.39650 10.19330 10.80340 10.80340 12.26970
0.26263 -6.00750 -1.04590 -1.04590 -0.58970 -0.44650 -0.44650 4.24650 6.39960 10.18530 10.80210 10.80210 12.23570
0.27273 -5.98940 -1.04390 -1.04390 -0.61820 -0.44880 -0.44880 4.26960 6.40280 10.17700 10.80080 10.80080 12.20130
0.28283 -5.97070 -1.04180 -1.04180 -0.64750 -0.45110 -0.45110 4.29310 6.40600 10.16860 10.79960 10.79960 12.16660
0.29293 -5.95140 -1.03970 -1.03970 -0.67750 -0.45350 -0.45350 4.31720 6.40930 10.15990 10.79840 10.79840 12.13150
0.30303 -5.93150 -1.03740 -1.03740 -0.70810 -0.45590 -0.45590 4.34170 6.41260 10.15110 10.79720 10.79720 12.09620
0.31313 -5.91100 -1.03520 -1.03510 -0.73950 -0.45850 -0.45850 4.36670 6.41600 10.14210 10.79610 10.79610 12.06060
0.32323 -5.89000 -1.03280 -1.03280 -0.77140 -0.46110 -0.46110 4.39210 6.41940 10.13290 10.79510 10.79510 12.02480
0.33333 -5.86830 -1.03040 -1.03040 -0.80400 -0.46380 -0.46380 4.41800 6.42280 10.12360 10.79410 10.79410 11.98890
0.34343 -5.84610 -1.02790 -1.02790 -0.83720 -0.46650 -0.46650 4.44420 6.42630 10.11420 10.79320 10.79320 11.95270
0.35354 -5.82330 -1.02530 -1.02530 -0.87100 -0.46940 -0.46940 4.47080 6.42970 10.10470 10.79240 10.79240 11.91650
0.36364 -5.80000 -1.02270 -1.02260 -0.90530 -0.47230 -0.47230 4.49770 6.43320 10.09510 10.79170 10.79180 11.88010
0.37374 -5.77610 -1.02000 -1.01990 -0.94020 -0.47530 -0.47530 4.52490 6.43670 10.08530 10.79110 10.79120 11.84360
0.38384 -5.75180 -1.01720 -1.01720 -0.97550 -0.47830 -0.47830 4.55240 6.44020 10.07550 10.79070 10.79070 11.80710
0.39394 -5.72680 -1.01440 -1.01430 -1.01140 -0.48140 -0.48140 4.58030 6.44360 10.06570 10.79030 10.79030 11.77050
0.40404 -5.70140 -1.04770 -1.01150 -1.01140 -0.48460 -0.48460 4.60830 6.44700 10.05580 10.79000 10.79000 11.73390
0.41414 -5.67550 -1.08450 -1.00850 -1.00850 -0.48790 -0.48790 4.63660 6.45040 10.04590 10.78990 10.78990 11.69720
0.42424 -5.64900 -1.12170 -1.00550 -1.00540 -0.49120 -0.49120 4.66510 6.45370 10.03590 10.78990 10.78990 11.66060
0.43434 -5.62210 -1.15930 -1.00240 -1.00240 -0.49460 -0.49460 4.69380 6.45700 10.02600 10.79000 10.79000 11.62400
0.44444 -5.59470 -1.19730 -0.99920 -0.99920 -0.49800 -0.49800 4.72270 6.46020 10.01610 10.79030 10.79030 11.58750
0.45455 -5.56670 -1.23570 -0.99600 -0.99600 -0.50160 -0.50160 4.75180 6.46330 10.00630 10.79080 10.79080 11.55100
0.46465 -5.53840 -1.27450 -0.99270 -0.99270 -0.50510 -0.50510 4.78090 6.46630 9.99650 10.79140 10.79140 11.51460
