# Efermi (eV) : 6.246298
# (SCF 12x12x8 G-cntrd k points)
"kaxis (pi/a or pi/c unit)" E1 E2 E3 E4 E5 E6 E7 E8 E9 E10 E11 E12
0.00000 -6.24460 -1.07180 -1.07180 -0.41760 -0.41760 -0.19330 3.91990 6.35500 10.29990 10.82630 10.82630 12.80250
0.02020 -6.24340 -1.07670 -1.07320 -0.42280 -0.41770 -0.19360 3.92520 6.35950 10.29580 10.81780 10.82920 12.80390
0.04040 -6.23990 -1.09110 -1.07750 -0.43850 -0.41800 -0.19470 3.94090 6.37290 10.28330 10.79240 10.83790 12.80680
0.06061 -6.23400 -1.11490 -1.08480 -0.46400 -0.41860 -0.19660 3.96670 6.39490 10.26270 10.75120 10.85230 12.79970
0.08081 -6.22580 -1.14770 -1.09540 -0.49870 -0.41980 -0.19940 4.00230 6.42540 10.23390 10.69540 10.87250 12.77820
0.10101 -6.21530 -1.18880 -1.10960 -0.54140 -0.42170 -0.20310 4.04690 6.46400 10.19690 10.62650 10.89850 12.75190
0.12121 -6.20250 -1.23780 -1.12810 -0.59100 -0.42470 -0.20770 4.09990 6.51030 10.15200 10.54650 10.93030 12.72120
0.14141 -6.18730 -1.29400 -1.15160 -0.64580 -0.42880 -0.21320 4.16050 6.56380 10.09920 10.45710 10.96780 12.68710
0.16162 -6.16980 -1.35680 -1.18120 -0.70410 -0.43420 -0.21980 4.22790 6.62380 10.03890 10.36010 11.01110 12.65000
0.18182 -6.15000 -1.42560 -1.21810 -0.76360 -0.44100 -0.22740 4.30130 6.68990 9.97130 10.25700 11.06000 12.61040
0.20202 -6.12790 -1.49980 -1.26390 -0.82220 -0.44940 -0.23600 4.37990 6.76130 9.89660 10.14950 11.11460 12.56860
0.22222 -6.10360 -1.57890 -1.31980 -0.87800 -0.45930 -0.24570 4.46310 6.83750 9.81530 10.03880 11.17470 12.49760
0.24242 -6.07690 -1.66220 -1.38610 -0.92980 -0.47090 -0.25650 4.55000 6.91770 9.72790 9.92600 11.24020 12.40680
0.26263 -6.04800 -1.74920 -1.46260 -0.97720 -0.48420 -0.26840 4.64020 7.00150 9.63470 9.81240 11.31090 12.31040
0.28283 -6.01690 -1.83930 -1.54820 -1.02100 -0.49910 -0.28150 4.73290 7.08800 9.53630 9.69870 11.38640 12.21080
0.30303 -5.98360 -1.93220 -1.64130 -1.06200 -0.51580 -0.29570 4.82770 7.17680 9.43330 9.58580 11.46640 12.10960
0.32323 -5.94800 -2.02720 -1.74040 -1.10120 -0.53410 -0.31120 4.92420 7.26710 9.32610 9.47430 11.55020 12.00800
0.34343 -5.91030 -2.12400 -1.84430 -1.13960 -0.55420 -0.32790 5.02180 7.35850 9.21530 9.36500 11.63650 11.90710
0.36364 -5.87050 -2.22200 -1.95180 -1.17780 -0.57610 -0.34590 5.12030 7.45020 9.10170 9.25820 11.72350 11.80740
0.38384 -5.82840 -2.32090 -2.06190 -1.21640 -0.59970 -0.36530 5.21930 7.54150 8.98590 9.15460 11.70960 11.80560
0.40404 -5.78430 -2.42040 -2.17390 -1.25580 -0.62500 -0.38600 5.31850 7.63170 8.86880 9.05450 11.61420 11.86500
0.42424 -5.73820 -2.51990 -2.28730 -1.29640 -0.65200 -0.40820 5.41770 7.71950 8.75170 8.95840 11.52140 11.86270
0.44444 -5.68990 -2.61910 -2.40150 -1.33830 -0.68090 -0.43180 5.51650 7.80300 8.63660 8.86650 11.43160 11.81160
0.46465 -5.63970 -2.71780 -2.51600 -1.38170 -0.71140 -0.45680 5.61490 7.87830 8.52750 8.77920 11.34510 11.74620
0.48485 -5.58750 -2.81570 -2.63050 -1.42680 -0.74370 -0.48340 5.71250 7.93670 8.43310 8.69670 11.26210 11.67740
0.50505 -5.53340 -2.91230 -2.74470 -1.47350 -0.77770 -0.51150 5.80930 7.95960 8.37200 8.61940 11.18270 11.60900
0.52525 -5.47740 -3.00740 -2.85820 -1.52210 -0.81350 -0.54120 5.90500 7.92690 8.36480 8.54740 11.10710 11.54260
0.54545 -5.41950 -3.10070 -2.97070 -1.57250 -0.85090 -0.57240 5.99950 7.84650 8.40320 8.48090 11.03550 11.47940
0.56566 -5.35980 -3.19200 -3.08210 -1.62470 -0.89000 -0.60520 6.09270 7.74170 8.42010 8.46420 10.96800 11.42030
0.58586 -5.29840 -3.28110 -3.19210 -1.67870 -0.93070 -0.63960 6.18420 7.62600 8.36530 8.53420 10.90460 11.36590
0.60606 -5.23520 -3.36770 -3.30040 -1.73460 -0.97310 -0.67560 6.27410 7.50540 8.31650 8.60750 10.84550 11.31680
0.62626 -5.17040 -3.45150 -3.40700 -1.79230 -1.01700 -0.71320 6.36200 7.38250 8.27400 8.68120 10.79070 11.27340
0.64646 -5.10410 -3.53230 -3.51150 -1.85170 -1.06240 -0.75230 6.44780 7.25880 8.23790 8.75380 10.74020 11.23630
0.66667 -5.03620 -3.61390 -3.61000 -1.91270 -1.10930 -0.79300 6.53130 7.13520 8.20840 8.82470 10.69420 11.20580
0.68687 -4.96690 -3.71390 -3.68440 -1.97540 -1.15760 -0.83520 6.61230 7.01210 8.18550 8.89290 10.65260 11.18220
0.70707 -4.89610 -3.81140 -3.75520 -2.03970 -1.20720 -0.87900 6.69060 6.89010 8.16940 8.95820 10.61550 11.16600
0.72727 -4.82410 -3.90630 -3.82240 -2.10540 -1.25810 -0.92420 6.76600 6.76950 8.16010 9.02020 10.58280 11.15720
0.74747 -4.75090 -3.99830 -3.88560 -2.17250 -1.31020 -0.97080 6.65040 6.83840 8.15780 9.07840 10.55450 11.15610
0.76768 -4.67660 -4.08730 -3.94470 -2.24080 -1.36340 -1.01870 6.53330 6.90750 8.16240 9.13270 10.53070 11.16290
0.78788 -4.60130 -4.17330 -3.99970 -2.31020 -1.41770 -1.06800 6.41820 6.97340 8.17380 9.18280 10.51120 11.17750
0.80808 -4.52520 -4.25590 -4.05020 -2.38070 -1.47280 -1.11860 6.30550 7.03590 8.19180 9.22870 10.49620 11.19990
0.82828 -4.44850 -4.33530 -4.09610 -2.45220 -1.52880 -1.17030 6.19520 7.09530 8.21620 9.27040 10.48540 11.22980
0.84848 -4.41110 -4.37190 -4.13670 -2.52440 -1.58550 -1.22310 6.08770 7.15160 8.24650 9.30800 10.47890 11.26690
0.86869 -4.48320 -4.29750 -4.16990 -2.59720 -1.64280 -1.27700 5.98290 7.20510 8.28230 9.34140 10.47670 11.31080
0.88889 -4.55160 -4.24380 -4.17720 -2.67060 -1.70050 -1.33180 5.88120 7.25610 8.32290 9.37100 10.47850 11.36080
0.90909 -4.61620 -4.25000 -4.11950 -2.74430 -1.75860 -1.38750 5.78270 7.30500 8.36780 9.39700 10.48440 11.41630
0.92929 -4.67670 -4.26970 -4.04340 -2.81830 -1.81700 -1.44400 5.68750 7.35210 8.41620 9.41960 10.49430 11.47600
0.94949 -4.73320 -4.28740 -3.96440 -2.89240 -1.87540 -1.50120 5.59580 7.39780 8.46760 9.43890 10.50800 11.53850
0.96970 -4.78560 -4.30120 -3.88470 -2.96630 -1.93370 -1.55900 5.50770 7.44230 8.52120 9.45540 10.52540 11.60110
0.98990 -4.83370 -4.31080 -3.80480 -3.04010 -1.99180 -1.61730 5.42350 7.48600 8.57640 9.46910 10.54650 11.65820
1.01010 -4.87750 -4.31600 -3.72490 -3.11340 -2.04950 -1.67610 5.34320 7.52890 8.63260 9.48020 10.57110 11.69930
1.03030 -4.91700 -4.31690 -3.64540 -3.18610 -2.10650 -1.73520 5.26700 7.57140 8.68920 9.48890 10.59910 11.71480
1.05051 -4.95210 -4.31370 -3.56630 -3.25810 -2.16290 -1.79460 5.19510 7.61330 8.74590 9.49530 10.63020 11.70940
1.07071 -4.98290 -4.30630 -3.48790 -3.32910 -2.21810 -1.85410 5.12750 7.65470 8.80200 9.49940 10.66440 11.69320
1.09091 -5.00930 -4.29510 -3.41040 -3.39890 -2.27220 -1.91370 5.06450 7.69550 8.85730 9.50130 10.70140 11.67190
1.11111 -5.03160 -4.28040 -3.46720 -3.33380 -2.32470 -1.97330 5.00610 7.73560 8.91120 9.50100 10.74110 11.64770
1.13131 -5.04960 -4.26220 -3.53380 -3.25850 -2.37540 -2.03270 4.95240 7.77480 8.96350 9.49850 10.78310 11.62180
1.15152 -5.06370 -4.24120 -3.59850 -3.18450 -2.42400 -2.09200 4.90360 7.81280 9.01390 9.49390 10.82730 11.59450
1.17172 -5.07400 -4.21750 -3.66070 -3.11200 -2.46990 -2.15100 4.85980 7.84920 9.06200 9.48710 10.87330 11.56590
1.19192 -5.08080 -4.19180 -3.72020 -3.04120 -2.51290 -2.20960 4.82100 7.88380 9.10770 9.47810 10.92090 11.53590
1.21212 -5.08460 -4.16460 -3.77650 -2.97220 -2.55240 -2.26780 4.78740 7.91590 9.15070 9.46680 10.96970 11.50430
1.23232 -5.08570 -4.13650 -3.82910 -2.90520 -2.58780 -2.32550 4.75890 7.94510 9.19100 9.45340 11.01940 11.47090
1.25253 -5.08480 -4.10830 -3.87730 -2.84040 -2.61850 -2.38250 4.73570 7.97070 9.22850 9.43770 11.06970 11.43530
1.27273 -5.08260 -4.08080 -3.92040 -2.77790 -2.64360 -2.43890 4.71770 7.99210 9.26320 9.41970 11.12000 11.39740
