# Efermi (eV) : 6.246298
# (SCF 12x12x8 G-cntrd k points)
"kaxis (pi/a or pi/c unit)" E1 E2 E3 E4 E5 E6 E7 E8 E9 E10 E11 E12
0.00000 -6.24460 -1.07180 -1.07180 -0.41760 -0.41760 -0.19330 3.91990 6.35500 10.29990 10.82630 10.82630 12.80250
0.01166 -6.24420 -1.07340 -1.07230 -0.41930 -0.41760 -0.19340 3.92170 6.35650 10.29850 10.82350 10.82730 12.80300
0.02333 -6.24300 -1.07830 -1.07370 -0.42460 -0.41770 -0.19380 3.92690 6.36100 10.29440 10.81490 10.83020 12.80430
0.03499 -6.24110 -1.08640 -1.07600 -0.43330 -0.41780 -0.19440 3.93570 6.36840 10.28750 10.80080 10.83500 12.80520
0.04665 -6.23830 -1.09770 -1.07930 -0.44550 -0.41800 -0.19520 3.94780 6.37880 10.27780 10.78140 10.84170 12.80220
0.05832 -6.23480 -1.11210 -1.08350 -0.46090 -0.41830 -0.19640 3.96330 6.39200 10.26540 10.75670 10.85030 12.79300
0.06998 -6.23050 -1.12970 -1.08860 -0.47950 -0.41860 -0.19780 3.98210 6.40800 10.25030 10.72710 10.86090 12.77990
0.08165 -6.22540 -1.15040 -1.09450 -0.50130 -0.41910 -0.19950 4.00390 6.42690 10.23250 10.69290 10.87330 12.76400
0.09331 -6.21960 -1.17420 -1.10130 -0.52600 -0.41960 -0.20160 4.02890 6.44840 10.21190 10.65450 10.88770 12.74550
0.10497 -6.21300 -1.20090 -1.10900 -0.55350 -0.42020 -0.20390 4.05660 6.47250 10.18860 10.61210 10.90390 12.72470
0.11664 -6.20560 -1.23050 -1.11740 -0.58370 -0.42100 -0.20650 4.08710 6.49910 10.16270 10.56630 10.92200 12.70180
0.12830 -6.19740 -1.26310 -1.12670 -0.61640 -0.42190 -0.20950 4.12030 6.52810 10.13410 10.51730 10.94190 12.67690
0.13996 -6.18850 -1.29840 -1.13670 -0.65150 -0.42300 -0.21280 4.15580 6.55940 10.10280 10.46550 10.96360 12.65030
0.15163 -6.17870 -1.33630 -1.14740 -0.68880 -0.42420 -0.21650 4.19360 6.59290 10.06890 10.41140 10.98720 12.62210
