# 4x4x3 supercell
"kaxis (pi/a or pi/c unit)" f1 f2 f3 f4 f5 f6 f7 f8 f9 f10 f11 f12
0.00000 0.00000 0.00000 0.00000 7.06035 7.06035 16.26931 19.63704 19.63704 19.95888 19.95888 21.45785 26.11385
0.01010 0.05944 0.05944 0.11065 7.06016 7.06016 16.26832 19.63705 19.63705 19.95885 19.95885 21.45854 26.11368
0.02020 0.11887 0.11887 0.22130 7.05960 7.05960 16.26537 19.63709 19.63709 19.95877 19.95877 21.46060 26.11315
0.03030 0.17830 0.17830 0.33194 7.05865 7.05865 16.26044 19.63715 19.63715 19.95863 19.95863 21.46404 26.11227
0.04041 0.23771 0.23771 0.44257 7.05733 7.05733 16.25355 19.63723 19.63723 19.95845 19.95845 21.46884 26.11104
0.05051 0.29710 0.29710 0.55319 7.05563 7.05563 16.24471 19.63734 19.63734 19.95820 19.95820 21.47499 26.10946
0.06061 0.35647 0.35647 0.66378 7.05355 7.05355 16.23393 19.63747 19.63747 19.95791 19.95791 21.48248 26.10753
0.07071 0.41581 0.41581 0.77435 7.05109 7.05109 16.22124 19.63763 19.63763 19.95756 19.95756 21.49129 26.10524
0.08081 0.47511 0.47511 0.88488 7.04826 7.04826 16.20665 19.63781 19.63781 19.95715 19.95715 21.50141 26.10261
0.09091 0.53438 0.53438 0.99539 7.04505 7.04505 16.19017 19.63801 19.63801 19.95669 19.95669 21.51280 26.09962
0.10101 0.59361 0.59361 1.10586 7.04146 7.04146 16.17185 19.63823 19.63823 19.95618 19.95618 21.52545 26.09629
0.11111 0.65278 0.65278 1.21629 7.03748 7.03748 16.15170 19.63849 19.63849 19.95562 19.95562 21.53933 26.09260
0.12121 0.71191 0.71191 1.32667 7.03313 7.03313 16.12974 19.63876 19.63876 19.95500 19.95500 21.55442 26.08856
0.13131 0.77097 0.77097 1.43700 7.02841 7.02841 16.10602 19.63906 19.63906 19.95433 19.95433 21.57067 26.08417
0.14141 0.82998 0.82998 1.54728 7.02329 7.02329 16.08056 19.63939 19.63939 19.95361 19.95361 21.58807 26.07943
0.15151 0.88892 0.88892 1.65750 7.01781 7.01781 16.05340 19.63973 19.63973 19.95284 19.95284 21.60657 26.07434
0.16162 0.94778 0.94778 1.76766 7.01194 7.01194 16.02456 19.64011 19.64011 19.95202 19.95202 21.62614 26.06890
0.17172 1.00658 1.00658 1.87776 7.00569 7.00569 15.99408 19.64051 19.64051 19.95114 19.95114 21.64676 26.06311
0.18182 1.06529 1.06529 1.98778 6.99906 6.99906 15.96201 19.64093 19.64093 19.95021 19.95021 21.66838 26.05697
0.19192 1.12391 1.12391 2.09773 6.99204 6.99204 15.92836 19.64138 19.64138 19.94923 19.94923 21.69097 26.05048
0.20202 1.18245 1.18245 2.20761 6.98465 6.98465 15.89318 19.64185 19.64185 19.94821 19.94821 21.71449 26.04364
0.21212 1.24089 1.24089 2.31740 6.97687 6.97687 15.85651 19.64235 19.64235 19.94713 19.94713 21.73891 26.03645
0.22222 1.29923 1.29923 2.42710 6.96871 6.96871 15.81838 19.64288 19.64288 19.94600 19.94600 21.76419 26.02891
