# 4x4x3 supercell
"kaxis (pi/a or pi/c unit)" f1 f2 f3 f4 f5 f6 f7 f8 f9 f10 f11 f12
0.00000 0.00000 0.00000 0.00000 7.06035 7.06035 16.26931 18.24665 19.63704 19.63704 19.95888 21.45785 26.86617
0.02020 0.14754 0.19281 0.37341 7.06386 7.06989 16.26668 18.24674 19.63737 19.63897 19.95935 21.45747 26.86417
0.04040 0.36038 0.38572 0.71727 7.07438 7.09840 16.25881 18.24703 19.63834 19.64469 19.96080 21.45635 26.85815
0.06061 0.55900 0.57885 1.06562 7.09187 7.14549 16.24575 18.24751 19.63996 19.65402 19.96327 21.45450 26.84814
0.08081 0.75399 0.77229 1.41473 7.11624 7.21056 16.22760 18.24821 19.64224 19.66668 19.96684 21.45198 26.83413
0.10101 0.94747 0.96614 1.76328 7.14741 7.29280 16.20447 18.24911 19.64519 19.68227 19.97165 21.44884 26.81613
0.12121 1.14015 1.16048 2.11061 7.18526 7.39122 16.17653 18.25025 19.64882 19.70027 19.97784 21.44517 26.79415
0.14142 1.33233 1.35537 2.45625 7.22963 7.50470 16.14396 18.25163 19.65315 19.72008 19.98560 21.44107 26.76821
0.16162 1.52415 1.55087 2.79979 7.28036 7.63202 16.10696 18.25329 19.65820 19.74101 19.99513 21.43666 26.73833
0.18182 1.71568 1.74701 3.14091 7.33725 7.77187 16.06576 18.25524 19.66399 19.76235 20.00661 21.43207 26.70452
0.20202 1.90695 1.94384 3.47927 7.40012 7.92295 16.02059 18.25752 19.67054 19.78343 20.02015 21.42746 26.66681
0.22222 2.09798 2.14134 3.81456 7.46872 8.08391 15.97172 18.26014 19.67788 19.80366 20.03570 21.42301 26.62522
0.24243 2.28874 2.33951 4.14649 7.54285 8.25344 15.91941 18.26314 19.68603 19.82265 20.05301 21.41891 26.57979
0.26263 2.47924 2.53832 4.47478 7.62226 8.43027 15.86395 18.26657 19.69502 19.84022 20.07159 21.41533 26.53055
0.28283 2.66943 2.73773 4.79916 7.70670 8.61316 15.80563 18.27045 19.70488 19.85639 20.09075 21.41248 26.47753
0.30303 2.85930 2.93769 5.11936 7.79594 8.80094 15.74474 18.27483 19.71563 19.87134 20.10966 21.41055 26.42079
0.32323 3.04881 3.13812 5.43513 7.88973 8.99248 15.68161 18.27974 19.72732 19.88533 20.12744 21.40968 26.36036
0.34343 3.23791 3.33893 5.74621 7.98783 9.18675 15.61655 18.28524 19.73996 19.89861 20.14325 21.41000 26.29629
0.36364 3.42655 3.54002 6.05237 8.09000 9.38274 15.54989 18.29136 19.75359 19.91145 20.15633 21.41158 26.22865
0.38384 3.61469 3.74129 6.35336 8.19604 9.57950 15.48198 18.29815 19.76824 19.92406 20.16604 21.41441 26.15749
0.40404 3.80228 3.94261 6.64894 8.30573 9.77615 15.41319 18.30566 19.78393 19.93661 20.17190 21.41841 26.08287
0.42424 3.98924 4.14386 6.93885 8.41890 9.97183 15.34389 18.31393 19.80070 19.94925 20.17355 21.42344 26.00487
0.44444 4.17552 4.34489 7.22282 8.53542 10.16571 15.27447 18.32300 19.81857 19.96207 20.17079 21.42925 25.92356
0.46465 4.36106 4.54557 7.50053 8.65520 10.35699 15.20537 18.33291 19.83755 19.97516 20.16356 21.43554 25.83902
0.48485 4.54577 4.74574 7.77161 8.77825 10.54487 15.13704 18.34372 19.85769 19.98855 20.15191 21.44196 25.75134
0.50505 4.72960 4.94526 8.03560 8.90469 10.72854 15.06996 18.35544 19.87898 20.00228 20.13597 21.44813 25.66060
0.52525 4.91246 5.14396 8.29182 9.03485 10.90717 15.00468 18.36813 19.90145 20.01631 20.11600 21.45368 25.56690
0.54546 5.09427 5.34169 8.53936 9.16933 11.07988 14.94178 18.38180 19.92510 20.03045 20.09246 21.45821 25.47036
0.56566 5.27495 5.53830 8.77682 9.30924 11.24577 14.88190 18.39649 19.94994 20.04299 20.06732 21.46140 25.37105
0.58586 5.45443 5.73362 9.00224 9.45629 11.40383 14.82578 18.41220 19.97598 20.03023 20.06461 21.46291 25.26913
0.60606 5.63262 5.92751 9.21311 9.61270 11.55302 14.77418 18.42897 19.99785 20.00321 20.07896 21.46250 25.16468
0.62626 5.80944 6.11980 9.40731 9.78038 11.69219 14.72795 18.44680 19.96179 20.03160 20.09474 21.45995 25.05785
0.64647 5.98480 6.31036 9.58470 9.95926 11.82015 14.68797 18.46568 19.92327 20.06116 20.11106 21.45512 24.94876
0.66667 6.15861 6.49902 9.74780 10.14660 11.93568 14.65512 18.48561 19.88278 20.09185 20.12776 21.44790 24.83757
0.68687 6.33080 6.68566 9.90044 10.33840 12.03760 14.63023 18.50659 19.84076 20.12363 20.14475 21.43826 24.72440
0.70707 6.50128 6.87012 10.04599 10.53112 12.12486 14.61395 18.52858 19.79760 20.15646 20.16199 21.42620 24.60944
0.72727 6.66997 7.05229 10.18675 10.72228 12.19665 14.60666 18.55156 19.75372 20.17943 20.19029 21.41178 24.49283
0.74748 6.83677 7.23203 10.32418 10.91029 12.25252 14.60834 18.57549 19.70955 20.19702 20.22506 21.39510 24.37476
0.76768 7.00163 7.40921 10.45912 11.09416 12.29244 14.61852 18.60032 19.66555 20.21473 20.26068 21.37631 24.25543
0.78788 7.16444 7.58373 10.59207 11.27328 12.31685 14.63621 18.62600 19.62217 20.23251 20.29707 21.35559 24.13501
