# 4x4x3 supercell
"kaxis (pi/a or pi/c unit)" f1 f2 f3 f4 f5 f6 f7 f8 f9 f10 f11 f12
0.00000 0.00000 0.00000 0.00000 7.06035 7.06035 16.26931 18.24665 19.63704 19.63704 19.95888 21.45785 26.86617
0.01166 -0.00598 0.11130 0.23191 7.06135 7.06371 16.26844 18.24668 19.63697 19.63786 19.95904 21.45773 26.86550
0.02333 0.18297 0.22257 0.42600 7.06434 7.07376 16.26581 18.24677 19.63677 19.64032 19.95951 21.45735 26.86350
0.03499 0.30579 0.33379 0.62452 7.06933 7.09047 16.26143 18.24693 19.63643 19.64440 19.96029 21.45672 26.86016
0.04665 0.42252 0.44492 0.82511 7.07630 7.11376 16.25532 18.24716 19.63596 19.65007 19.96137 21.45585 26.85549
0.05832 0.53678 0.55593 1.02665 7.08523 7.14354 16.24749 18.24745 19.63538 19.65731 19.96273 21.45474 26.84950
0.06998 0.64980 0.66679 1.22861 7.09614 7.17969 16.23796 18.24781 19.63469 19.66607 19.96436 21.45341 26.84218
0.08165 0.76207 0.77748 1.43072 7.10898 7.22206 16.22676 18.24824 19.63392 19.67631 19.96624 21.45186 26.83354
0.09331 0.87388 0.88796 1.63281 7.12375 7.27048 16.21390 18.24874 19.63308 19.68795 19.96834 21.45010 26.82359
0.10497 0.98537 0.99820 1.83478 7.14043 7.32476 16.19942 18.24931 19.63217 19.70094 19.97064 21.44816 26.81234
0.11664 1.09663 1.10818 2.03655 7.15898 7.38471 16.18335 18.24997 19.63123 19.71519 19.97312 21.44604 26.79979
0.12830 1.20771 1.21787 2.23804 7.17938 7.45010 16.16574 18.25071 19.63027 19.73064 19.97575 21.44378 26.78596
0.13996 1.31865 1.32722 2.43920 7.20161 7.52071 16.14661 18.25153 19.62930 19.74717 19.97850 21.44138 26.77086
0.15163 1.42948 1.43621 2.63999 7.22562 7.59629 16.12600 18.25244 19.62835 19.76471 19.98134 21.43888 26.75449
0.16329 1.54021 1.54481 2.84035 7.25139 7.67658 16.10397 18.25345 19.62743 19.78314 19.98425 21.43629 26.73687
0.17495 1.65086 1.65299 3.04025 7.27886 7.76135 16.08056 18.25455 19.62655 19.80235 19.98721 21.43366 26.71801
0.18662 1.76071 1.76142 3.23963 7.30801 7.85034 16.05580 18.25576 19.62572 19.82224 19.99018 21.43101 26.69792
0.19828 1.86795 1.87192 3.43848 7.33878 7.94327 16.02976 18.25708 19.62497 19.84268 19.99315 21.42837 26.67662
0.20994 1.97466 1.98235 3.63673 7.37113 8.03990 16.00248 18.25851 19.62430 19.86355 19.99608 21.42578 26.65412
0.22161 2.08081 2.09271 3.83436 7.40501 8.13996 15.97402 18.26006 19.62372 19.88472 19.99898 21.42327 26.63044
0.23327 2.18637 2.20301 4.03132 7.44036 8.24321 15.94441 18.26175 19.62323 19.90607 20.00181 21.42090 26.60559
0.24494 2.29131 2.31324 4.22759 7.47713 8.34938 15.91373 18.26357 19.62285 19.92745 20.00455 21.41869 26.57958
0.25660 2.39559 2.42340 4.42311 7.51527 8.45824 15.88202 18.26553 19.62258 19.94874 20.00719 21.41670 26.55244
0.26826 2.49918 2.53349 4.61787 7.55471 8.56953 15.84935 18.26763 19.62242 19.96981 20.00972 21.41496 26.52418
0.27993 2.60204 2.64350 4.81181 7.59540 8.68303 15.81575 18.26990 19.62237 19.99051 20.01213 21.41352 26.49481
0.29159 2.70414 2.75344 5.00492 7.63727 8.79850 15.78131 18.27233 19.62244 20.01071 20.01440 21.41242 26.46435
0.30325 2.80544 2.86329 5.19713 7.68025 8.91572 15.74607 18.27493 19.62263 20.01653 20.03027 21.41170 26.43281
0.31492 2.90591 2.97306 5.38844 7.72428 9.03448 15.71011 18.27771 19.62292 20.01852 20.04908 21.41142 26.40022
0.32658 3.00551 3.08272 5.57880 7.76929 9.15455 15.67347 18.28068 19.62333 20.02035 20.06700 21.41159 26.36659
0.33825 3.10421 3.19229 5.76817 7.81522 9.27575 15.63622 18.28385 19.62384 20.02203 20.08391 21.41227 26.33193
0.34991 3.20197 3.30175 5.95653 7.86198 9.39786 15.59844 18.28722 19.62444 20.02356 20.09971 21.41346 26.29625
