"Frequency (THz)" "Total DOS (states/unit cell/THz)" "pDOS Al (states/unit cell/THz)" "pDOS N (states/unit cell/THz)"
0.00000 0.00000 0.00000 0.00000
0.15000 0.00000 0.00000 0.00000
0.30000 0.00000 0.00000 0.00000
0.45000 0.00001 0.00001 0.00000
0.60000 0.00002 0.00001 0.00001
0.75000 0.00004 0.00002 0.00001
0.90000 0.00005 0.00004 0.00002
1.05000 0.00007 0.00005 0.00002
1.20000 0.00010 0.00006 0.00003
1.35000 0.00012 0.00008 0.00004
1.50000 0.00015 0.00010 0.00005
1.65000 0.00018 0.00012 0.00006
1.80000 0.00022 0.00014 0.00007
1.95000 0.00026 0.00017 0.00009
2.10000 0.00030 0.00020 0.00010
2.25000 0.00035 0.00023 0.00012
2.40000 0.00040 0.00026 0.00013
2.55000 0.00045 0.00030 0.00015
2.70000 0.00051 0.00034 0.00017
2.85000 0.00057 0.00038 0.00019
3.00000 0.00063 0.00042 0.00021
3.15000 0.00070 0.00047 0.00023
3.30000 0.00078 0.00052 0.00026
3.45000 0.00086 0.00057 0.00028
3.60000 0.00094 0.00063 0.00031
3.75000 0.00103 0.00069 0.00034
3.90000 0.00113 0.00076 0.00037
4.05000 0.00123 0.00083 0.00040
4.20000 0.00134 0.00091 0.00043
4.35000 0.00146 0.00099 0.00047
4.50000 0.00158 0.00108 0.00051
4.65000 0.00172 0.00117 0.00055
4.80000 0.00187 0.00128 0.00059
4.95000 0.00203 0.00139 0.00064
5.10000 0.00222 0.00152 0.00069
5.25000 0.00236 0.00163 0.00073
5.40000 0.00260 0.00180 0.00080
5.55000 0.00282 0.00196 0.00086
5.70000 0.00307 0.00213 0.00093
5.85000 0.00336 0.00235 0.00102
6.00000 0.00370 0.00259 0.00111
6.15000 0.00407 0.00286 0.00121
6.30000 0.00451 0.00318 0.00133
6.45000 0.00503 0.00356 0.00147
6.60000 0.00584 0.00415 0.00169
6.75000 0.00660 0.00470 0.00189
6.90000 0.00738 0.00528 0.00209
7.05000 0.00859 0.00619 0.00241
7.20000 0.01050 0.00760 0.00289
7.35000 0.01290 0.00940 0.00350
7.50000 0.01175 0.00859 0.00316
7.65000 0.00946 0.00694 0.00252
