# 4x4x3 supercell for harmonic, 4x4x3 supercell for cubic ifcs
# 53x53x33 k points for kappa
# cubic ifcs up to 15NN shell trained with ordinary least squares by 200 configurations.
# Temperature = 20 K
"Frequency (THz)" "kappa spec xx (W/mK/THz)" "kappa spec yy (W/mK/THz)" "kappa spec zz (W/mK/THz)" "cumulative kappa xx (W/mK)" "cumulative kappa yy (W/mK)" "cumulative kappa zz (W/mK)"
0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000
0.02998 1.02014 1.02014 5.90825 0.03058 0.03058 0.17713
0.05996 8.16098 8.16098 47.26597 0.27524 0.27524 1.59412
0.08994 27.54332 27.54332 159.52263 1.10097 1.10097 6.37649
0.11992 65.28790 65.28790 378.12766 3.05825 3.05825 17.71247
0.14990 127.51542 127.51542 738.53062 6.88107 6.88107 39.85306
0.17988 220.34660 220.34660 1276.18090 13.48689 13.48689 78.11201
0.20985 349.90226 349.90226 2026.52800 23.97670 23.97670 138.86579
0.23983 522.30307 522.30307 3025.02136 39.63495 39.63495 229.55365
0.26981 743.66981 743.66981 4307.11052 61.92961 61.92961 358.67757
0.29979 1020.12319 1020.12319 5908.24486 92.51214 92.51214 535.80230
0.32977 1357.78396 1357.78396 7863.87395 133.21748 133.21748 771.55531
0.35975 1763.16023 1763.16023 10322.85002 186.07569 186.07569 1081.02656
0.38973 2644.49568 2644.49568 18705.87048 265.35567 265.35567 1641.81445
0.41971 4241.82092 4241.82092 23839.29869 392.52227 392.52227 2356.49865
0.44969 5614.63037 5614.63037 26445.07885 560.84465 560.84465 3149.30217
0.47967 6772.34999 6772.34999 27911.99594 763.87460 763.87460 3986.08275
0.50965 7691.06053 7691.06053 28649.73915 994.44679 994.44679 4844.98032
0.53963 8346.84263 8346.84263 29067.99753 1244.67884 1244.67884 5716.41697
0.56961 9076.87688 9076.87688 30215.29744 1516.79676 1516.79676 6622.24880
0.59958 9872.09772 9872.09772 32135.69045 1812.75480 1812.75480 7585.65256
0.62956 10598.27162 10598.27162 34186.79749 2130.48299 2130.48299 8610.54696
0.65954 11263.46561 11263.46561 36293.77704 2468.15320 2468.15320 9698.60703
0.68952 11895.94253 11895.94253 40987.78926 2824.78458 2824.78458 10927.39004
0.71950 12652.03856 12652.03856 49707.54975 3204.08316 3204.08316 12417.58489
0.74948 13771.15608 13771.15608 57419.54586 3616.93203 3616.93203 14138.97957
0.77946 15306.17505 15306.17505 59453.19268 4075.79961 4075.79961 15921.34145
0.80944 16536.46630 16536.46630 58031.25674 4571.55040 4571.55040 17661.07476
0.83942 17677.12389 17677.12389 55753.40751 5101.49724 5101.49724 19332.51986
0.86940 18682.21078 18682.21074 53036.26714 5661.57583 5661.57583 20922.50715
0.89938 19547.41563 19547.41563 50360.51237 6247.59261 6247.59261 22432.27733
0.92936 20189.04368 20189.04368 47901.69324 6852.84491 6852.84491 23868.33397
0.95934 20509.28366 20509.28366 45748.07382 7467.69777 7467.69777 25239.82672
0.98932 20845.79833 20845.79833 44406.49378 8092.63908 8092.63908 26571.09991
1.01929 21182.88926 21182.88926 43215.14716 8727.68613 8727.68612 27866.65743
1.04927 21426.23371 21426.23371 42006.95943 9370.02845 9370.02845 29125.99439
1.07925 21616.00666 21616.00666 40788.59746 10018.06003 10018.06003 30348.80578
1.10923 21887.81350 21887.81347 39671.71332 10674.24017 10674.24017 31538.13382
1.13921 22103.97161 22103.97161 38798.06639 11336.90057 11336.90057 32701.27059
1.16919 22274.33980 22274.33980 37754.39911 12004.66848 12004.66847 33833.11900
1.19917 22388.99616 22388.99616 36575.36658 12675.87370 12675.87369 34929.62091
1.22915 22435.91818 22435.91818 35325.55075 13348.48560 13348.48560 35988.65428
1.25913 22405.91786 22405.91786 34091.40346 14020.19812 14020.19812 37010.68884
1.28911 22285.79199 22285.79199 32820.03635 14688.30936 14688.30935 37994.60878
1.31909 22035.65835 22035.65835 31467.67435 15348.92177 15348.92177 38937.98592
1.34907 21697.10277 21697.10277 30102.54898 15999.38455 15999.38455 39840.43764
1.37905 21317.93152 21317.93152 28731.04146 16638.48006 16638.48006 40701.77259
1.40902 20926.03754 20926.03754 27500.78766 17265.82688 17265.82688 41526.22546
1.43900 20564.54782 20564.54782 26581.83873 17882.33652 17882.33652 42323.12894
1.46898 20295.66708 20295.66708 26258.02434 18490.78531 18490.78531 43110.32471
1.49896 20039.24972 20039.24972 25735.62034 19091.54690 19091.54690 43881.85920
1.52894 19763.69322 19763.69322 25220.07138 19684.04752 19684.04752 44637.93792
1.55892 19498.12897 19498.12897 24763.37640 20268.58672 20268.58672 45380.32526
1.58890 19268.72083 19268.72083 24384.56701 20846.24844 20846.24844 46111.35619
1.61888 19061.97754 19061.97754 24021.55841 21417.71215 21417.71215 46831.50440
1.64886 18871.76862 18871.76862 23687.29600 21983.47354 21983.47354 47541.63166
1.67884 18685.15024 18685.15024 23436.98453 22543.64025 22543.64025 48244.25478
1.70882 18479.88307 18479.88307 23147.94507 23097.65321 23097.65321 48938.21272
1.73880 18260.21237 18260.21237 22770.03913 23645.08060 23645.08060 49620.84132
1.76878 18018.23780 18018.23780 22318.56960 24185.25378 24185.25378 50289.93520
1.79875 17770.78725 17770.78725 21797.26413 24718.00858 24718.00858 50943.40074
1.82873 17502.74415 17502.74415 21233.29020 25242.72765 25242.72765 51579.95877
1.85871 17202.03858 17202.03858 20645.37020 25758.43179 25758.43179 52198.89140
1.88869 16884.49040 16884.49040 20049.37502 26264.61608 26264.61608 52799.95654
1.91867 16534.74685 16534.74685 19446.21669 26760.31532 26760.31532 53382.93945
1.94865 16171.85563 16171.85563 18835.80904 27245.13536 27245.13536 53947.62280
1.97863 15782.45487 15782.45487 18193.56086 27718.28145 27718.28145 54493.05203
2.00861 15360.46410 15360.46410 17512.02574 28178.77658 28178.77658 55018.04935
2.03859 14923.69491 14923.69491 16822.70129 28626.17770 28626.17770 55522.38125
2.06857 14481.15820 14481.15820 16154.21092 29060.31190 29060.31190 56006.67231
2.09855 14030.86918 14030.86918 15500.53237 29480.94678 29480.94677 56471.36658
2.12853 13578.55914 13578.55914 14885.12406 29888.02174 29888.02174 56917.61137
2.15851 13144.63975 13144.63975 14334.46535 30282.08812 30282.08812 57347.34783
2.18848 12746.73484 12746.73484 13847.61467 30664.22562 30664.22562 57762.48888
2.21846 12359.08963 12359.08963 13436.56574 31034.74181 31034.74180 58165.30698
2.24844 11985.81427 11985.81427 13071.43517 31394.06748 31394.06748 58557.17875
2.27842 11632.86860 11632.86860 12729.30465 31742.81211 31742.81210 58938.79371
2.30840 11302.55398 11302.55398 12402.70247 32081.65415 32081.65415 59310.61737
2.33838 10986.82296 10986.82296 12076.35787 32411.03082 32411.03081 59672.65747
2.36836 10675.30782 10675.30782 11741.13790 32731.06849 32731.06849 60024.64793
2.39834 10367.09829 10367.09829 11392.68287 33041.86628 33041.86628 60366.19197
2.42832 10059.23851 10059.23851 11023.34045 33343.43466 33343.43466 60696.66340
2.45830 9750.69733 9750.69733 10647.67346 33635.75322 33635.75321 61015.87262
2.48828 9434.60499 9434.60499 10274.40017 33918.59556 33918.59556 61323.89139
2.51826 9122.14549 9122.14549 9892.88306 34192.07060 34192.07060 61620.47257
2.54824 8801.87336 8801.87336 9486.17300 34455.94413 34455.94412 61904.86088
2.57822 8475.40621 8475.40621 9060.99719 34710.03041 34710.03041 62176.50274
2.60819 8142.09225 8142.09225 8628.97598 34954.12420 34954.12419 62435.19293
2.63817 7801.28521 7801.28521 8199.14859 35188.00084 35188.00084 62680.99722
2.66815 7460.67901 7460.67901 7777.21720 35411.66637 35411.66637 62914.15233
2.69813 7133.86752 7133.86752 7378.01983 35625.53434 35625.53434 63135.33980
2.72811 6820.88313 6820.88313 7004.08354 35830.01927 35830.01927 63345.31694
2.75809 6524.20022 6524.20022 6662.66865 36025.60988 36025.60987 63545.05872
2.78807 6245.90166 6245.90166 6357.34966 36212.85730 36212.85729 63735.64727
2.81805 5986.09515 5986.09515 6092.45357 36392.31591 36392.31591 63918.29443
2.84803 5743.70997 5743.70997 5854.05311 36564.50801 36564.50801 64093.79453
2.87801 5525.20681 5525.20681 5631.26852 36730.14954 36730.14954 64262.61571
2.90799 5317.01134 5317.01134 5419.64838 36889.54953 36889.54953 64425.09268
2.93797 5109.37717 5109.37717 5213.80715 37042.72480 37042.72480 64581.39869
2.96795 4902.96787 4902.96787 5006.66805 37189.71208 37189.71208 64731.49482
2.99792 4700.11747 4700.11747 4797.95596 37330.61806 37330.61806 64875.33392
3.02790 4507.13974 4507.13974 4591.37988 37465.73871 37465.73871 65012.98003
3.05788 4324.02873 4324.02873 4388.66361 37595.36983 37595.36983 65144.54885
3.08786 4148.69403 4148.69403 4187.28319 37719.74455 37719.74455 65270.08045
3.11784 3974.50762 3974.50762 3994.24181 37838.89729 37838.89729 65389.82480
3.14782 3799.82131 3799.82131 3811.43284 37952.81307 37952.81306 65504.08869
3.17780 3628.80090 3628.80090 3635.67322 38061.60178 38061.60178 65613.08343
3.20778 3462.56653 3462.56653 3462.39914 38165.40691 38165.40691 65716.88354
3.23776 3309.97586 3309.97586 3292.51088 38264.63749 38264.63749 65815.59053
3.26774 3163.27314 3163.27314 3127.25412 38359.47004 38359.47003 65909.34325
3.29772 3021.89580 3021.89580 2968.57485 38450.06419 38450.06419 65998.33889
3.32770 2887.45509 2887.45509 2816.28389 38536.62792 38536.62792 66082.76896
3.35768 2760.74767 2760.74767 2671.36490 38619.39305 38619.39305 66162.85446
3.38765 2635.61270 2635.61270 2534.11318 38698.40673 38698.40673 66238.82526
3.41763 2509.11419 2509.11419 2404.04600 38773.62808 38773.62808 66310.89675
3.44761 2382.11099 2382.11099 2282.99362 38845.04198 38845.04197 66379.33918
3.47759 2255.88163 2255.88163 2167.62791 38912.67161 38912.67160 66444.32303
3.50757 2133.81412 2133.81412 2056.98964 38976.64174 38976.64174 66505.99002
3.53755 2016.37277 2016.37277 1951.63676 39037.09108 39037.09108 66564.49862
3.56753 1904.94529 1904.94529 1852.11684 39094.19990 39094.19990 66620.02369
3.59751 1804.11483 1804.11483 1759.10893 39148.28590 39148.28590 66672.76045
3.62749 1710.98831 1710.98831 1671.56677 39199.58004 39199.58004 66722.87276
3.65747 1625.03184 1625.03184 1589.12133 39248.29727 39248.29727 66770.51342
3.68745 1547.86306 1547.86306 1511.70287 39294.70104 39294.70104 66815.83313
3.71743 1481.63521 1481.63521 1439.01862 39339.11934 39339.11934 66858.97382
3.74741 1422.41610 1422.41610 1372.59871 39381.76231 39381.76230 66900.12330
3.77738 1367.08509 1367.08509 1308.99134 39422.74649 39422.74648 66939.36587
3.80736 1311.79571 1311.79571 1246.50334 39462.07313 39462.07313 66976.73510
3.83734 1254.77523 1254.77523 1184.73908 39499.69035 39499.69035 67012.25268
3.86732 1195.53171 1195.53171 1123.49574 39535.53149 39535.53148 67045.93424
3.89730 1135.03339 1135.03339 1062.94435 39569.55893 39569.55893 67077.80051
3.92728 1076.74747 1076.74747 1003.02844 39601.83901 39601.83901 67107.87054
3.95726 1018.63700 1018.63700 944.60799 39632.37698 39632.37698 67136.18918
3.98724 961.31301 961.31301 888.74434 39661.19642 39661.19641 67162.83306
4.01722 906.39195 906.39195 836.61454 39688.36936 39688.36936 67187.91414
4.04720 855.11984 855.11984 789.39844 39714.00521 39714.00521 67211.57971
4.07718 807.83046 807.83046 746.56354 39738.22336 39738.22336 67233.96112
4.10716 764.31759 764.31759 708.03853 39761.13702 39761.13702 67255.18758
4.13714 725.06180 725.06180 673.64290 39782.87383 39782.87383 67275.38289
4.16712 690.13437 690.13437 642.67984 39803.56354 39803.56354 67294.64994
4.19709 657.93086 657.93086 613.88346 39823.28781 39823.28781 67313.05371
4.22707 626.55382 626.55382 586.04199 39842.07142 39842.07142 67330.62280
4.25705 595.94318 595.94318 558.21197 39859.93735 39859.93735 67347.35758
4.28703 565.49441 565.49441 530.03385 39876.89044 39876.89044 67363.24759
4.31701 535.27174 535.27174 502.41404 39892.93749 39892.93748 67378.30959
4.34699 504.83168 504.83168 475.28978 39908.07196 39908.07196 67392.55842
4.37697 476.05097 476.05097 448.60121 39922.34361 39922.34361 67406.00714
