# 4x4x3 supercell for harmonic, 4x4x3 supercell for cubic ifcs
# 53x53x33 k points for kappa
# cubic ifcs up to 15NN shell trained with ordinary least squares by 200 configurations.
# Temperature = 300 K
"mfp (nm)" "cumulative kappa xx (W/mK)" "cumulative kappa yy (W/mK)" "cumulative kappa zz (W/mK)"
0.00443 0.00000 0.00000 0.00000
0.00444 0.00000 0.00000 0.00000
0.00444 0.00000 0.00000 0.00000
0.00445 0.00000 0.00000 0.00000
0.00446 0.00000 0.00000 0.00000
0.00447 0.00000 0.00000 0.00000
0.00447 0.00000 0.00000 0.00000
0.00448 0.00000 0.00000 0.00000
0.00449 0.00000 0.00000 0.00000
0.00449 0.00000 0.00000 0.00000
0.00450 0.00000 0.00000 0.00000
0.00451 0.00000 0.00000 0.00000
0.00452 0.00000 0.00000 0.00000
0.00452 0.00000 0.00000 0.00000
0.00453 0.00000 0.00000 0.00000
0.00454 0.00000 0.00000 0.00000
0.00454 0.00000 0.00000 0.00000
0.00455 0.00000 0.00000 0.00000
0.00456 0.00000 0.00000 0.00000
0.00457 0.00000 0.00000 0.00000
0.00457 0.00000 0.00000 0.00000
0.00458 0.00000 0.00000 0.00000
0.00459 0.00000 0.00000 0.00000
0.00460 0.00000 0.00000 0.00000
0.00460 0.00000 0.00000 0.00000
0.00461 0.00000 0.00000 0.00000
0.00462 0.00000 0.00000 0.00000
0.00462 0.00000 0.00000 0.00000
0.00463 0.00000 0.00000 0.00000
0.00464 0.00000 0.00000 0.00000
0.00465 0.00000 0.00000 0.00000
0.00465 0.00000 0.00000 0.00000
0.00466 0.00000 0.00000 0.00000
0.00467 0.00000 0.00000 0.00000
0.00468 0.00000 0.00000 0.00000
0.00468 0.00000 0.00000 0.00000
0.00469 0.00000 0.00000 0.00000
0.00470 0.00000 0.00000 0.00000
0.00471 0.00000 0.00000 0.00000
0.00471 0.00000 0.00000 0.00000
0.00472 0.00000 0.00000 0.00000
0.00473 0.00000 0.00000 0.00000
0.00474 0.00000 0.00000 0.00000
0.00474 0.00000 0.00000 0.00000
0.00475 0.00000 0.00000 0.00000
0.00476 0.00000 0.00000 0.00000
0.00477 0.00000 0.00000 0.00000
0.00477 0.00000 0.00000 0.00000
0.00478 0.00000 0.00000 0.00000
0.00479 0.00000 0.00000 0.00000
0.00480 0.00000 0.00000 0.00000
0.00480 0.00000 0.00000 0.00000
0.00481 0.00000 0.00000 0.00000
0.00482 0.00000 0.00000 0.00000
0.00483 0.00000 0.00000 0.00000
0.00484 0.00000 0.00000 0.00000
0.00484 0.00000 0.00000 0.00000
0.00485 0.00000 0.00000 0.00000
0.00486 0.00000 0.00000 0.00000
0.00487 0.00000 0.00000 0.00000
0.00487 0.00000 0.00000 0.00000
0.00488 0.00000 0.00000 0.00000
0.00489 0.00000 0.00000 0.00000
0.00490 0.00000 0.00000 0.00000
0.00491 0.00000 0.00000 0.00000
0.00491 0.00000 0.00000 0.00000
0.00492 0.00000 0.00000 0.00000
0.00493 0.00000 0.00000 0.00000
0.00494 0.00000 0.00000 0.00000
0.00494 0.00000 0.00000 0.00000
0.00495 0.00000 0.00000 0.00000
0.00496 0.00000 0.00000 0.00000
0.00497 0.00000 0.00000 0.00000
0.00498 0.00000 0.00000 0.00000
0.00498 0.00000 0.00000 0.00000
0.00499 0.00000 0.00000 0.00000
0.00500 0.00000 0.00000 0.00000
0.00501 0.00000 0.00000 0.00000
0.00502 0.00000 0.00000 0.00000
0.00502 0.00000 0.00000 0.00000
0.00503 0.00000 0.00000 0.00000
0.00504 0.00000 0.00000 0.00000
0.00505 0.00000 0.00000 0.00000
0.00506 0.00000 0.00000 0.00000
0.00506 0.00000 0.00000 0.00000
0.00507 0.00000 0.00000 0.00000
0.00508 0.00000 0.00000 0.00000
0.00509 0.00000 0.00000 0.00000
0.00510 0.00000 0.00000 0.00000
0.00510 0.00000 0.00000 0.00000
0.00511 0.00000 0.00000 0.00000
0.00512 0.00000 0.00000 0.00000
0.00513 0.00000 0.00000 0.00000
0.00514 0.00000 0.00000 0.00000
0.00515 0.00000 0.00000 0.00000
0.00515 0.00000 0.00000 0.00000
0.00516 0.00000 0.00000 0.00000
0.00517 0.00000 0.00000 0.00000
0.00518 0.00000 0.00000 0.00000
0.00519 0.00000 0.00000 0.00000
0.00519 0.00000 0.00000 0.00000
0.00520 0.00000 0.00000 0.00000
0.00521 0.00000 0.00000 0.00000
0.00522 0.00000 0.00000 0.00000
0.00523 0.00000 0.00000 0.00000
0.00524 0.00000 0.00000 0.00000
0.00524 0.00000 0.00000 0.00000
0.00525 0.00000 0.00000 0.00000
0.00526 0.00000 0.00000 0.00000
0.00527 0.00000 0.00000 0.00000
0.00528 0.00000 0.00000 0.00000
0.00529 0.00000 0.00000 0.00000
0.00529 0.00000 0.00000 0.00000
0.00530 0.00000 0.00000 0.00000
0.00531 0.00000 0.00000 0.00000
0.00532 0.00000 0.00000 0.00000
0.00533 0.00000 0.00000 0.00000
0.00534 0.00000 0.00000 0.00000
0.00535 0.00000 0.00000 0.00000
0.00535 0.00000 0.00000 0.00000
0.00536 0.00000 0.00000 0.00000
0.00537 0.00000 0.00000 0.00000
0.00538 0.00000 0.00000 0.00000
0.00539 0.00000 0.00000 0.00000
0.00540 0.00000 0.00000 0.00000
0.00541 0.00000 0.00000 0.00000
0.00541 0.00000 0.00000 0.00000
0.00542 0.00000 0.00000 0.00000
0.00543 0.00000 0.00000 0.00000
0.00544 0.00000 0.00000 0.00000
0.00545 0.00000 0.00000 0.00000
0.00546 0.00000 0.00000 0.00000
0.00547 0.00000 0.00000 0.00000
0.00547 0.00000 0.00000 0.00000
0.00548 0.00000 0.00000 0.00000
0.00549 0.00000 0.00000 0.00000
0.00550 0.00000 0.00000 0.00000
0.00551 0.00000 0.00000 0.00000
0.00552 0.00000 0.00000 0.00000
0.00553 0.00000 0.00000 0.00000
