# 4x4x3 supercell for harmonic, 4x4x3 supercell for cubic ifcs
# 53x53x33 k points for kappa
# cubic ifcs up to 15NN shell trained with ordinary least squares by 200 configurations.
"Temperature (K)" "RTA, xx" "RTA, yy" "RTA, zz"
10.00000 66434.58630 66434.58630 162501.39640
20.00000 40159.58800 40159.58800 67649.79740
30.00000 26541.80010 26541.80010 38468.15070
40.00000 17611.74050 17611.74050 22483.72820
50.00000 11945.11820 11945.11820 13895.79050
75.00000 5257.35500 5257.35500 5484.97500
100.00000 2753.35880 2753.35880 2725.56810
125.00000 1631.23500 1631.23500 1568.02200
150.00000 1069.28840 1069.28840 1012.23400
175.00000 760.98370 760.98370 715.01740
200.00000 577.37930 577.37930 540.61490
225.00000 460.01840 460.01840 430.09990
250.00000 380.40770 380.40770 355.50080
275.00000 323.68010 323.68010 302.49950
300.00000 281.57670 281.57670 263.22080
400.00000 186.08120 186.08120 174.22170
500.00000 140.07480 140.07480 131.31030
600.00000 112.89360 112.89360 105.91850
700.00000 94.83200 94.83200 89.02310
800.00000 81.89820 81.89820 76.91180
900.00000 72.14820 72.14820 67.77460
1000.00000 64.51860 64.51860 60.62000
