# 4x4x3 supercell for harmonic, 4x4x3 supercell for cubic ifcs
# 53x53x33 k points for kappa
# cubic ifcs up to 15NN shell trained with ordinary least squares by 200 configurations.
# Temperature = 20 K
"k index (irred.)" "branch index" "f (THz)" "lifetime (ps)" "mfp (nm)" multiplicity "modal kappa^{xx} (W/mK)" "modal kappa^{yy} (W/mK)" "modal kappa^{zz} (W/mK)"
1 1 0.00000 0.00000 0.00000 1 0.00000 0.00000 0.00000
1 2 0.00000 0.00000 0.00000 1 0.00000 0.00000 0.00000
1 3 0.00000 0.00000 0.00000 1 0.00000 0.00000 0.00000
1 4 7.06035 12047.10000 0.00000 1 0.00000 0.00000 0.00000
1 5 7.06035 12047.10000 0.00000 1 0.00000 0.00000 0.00000
1 6 16.26932 4.61675 0.00000 1 0.00000 0.00000 0.00000
1 7 18.24666 3.36292 0.00000 1 0.00000 0.00000 0.00000
1 8 19.63704 4.55573 0.00000 1 0.00000 0.00000 0.00000
1 9 19.63704 4.55573 0.00000 1 0.00000 0.00000 0.00000
1 10 19.95886 5.03835 0.00000 1 0.00000 0.00000 0.00000
1 11 19.95886 5.03835 0.00000 1 0.00000 0.00000 0.00000
1 12 21.45786 11.35550 0.00000 1 0.00000 0.00000 0.00000
2 1 0.35647 10566300.00000 61878300.00000 2 0.00000 0.00000 1214.26000
2 2 0.35647 10566300.00000 61878300.00000 2 0.00000 0.00000 1214.26000
2 3 0.66378 19823600.00000 216285000.00000 2 0.00000 0.00000 6829.61000
2 4 7.05355 11841.00000 2648.82000 2 0.00000 0.00000 0.00000
2 5 7.05355 11841.00000 2648.82000 2 0.00000 0.00000 0.00000
2 6 16.23394 4.83155 5.59527 2 0.00000 0.00000 0.00000
2 7 19.63749 4.53874 0.06397 2 0.00000 0.00000 0.00000
2 8 19.63749 4.53874 0.06397 2 0.00000 0.00000 0.00000
2 9 19.95790 5.05406 0.16140 2 0.00000 0.00000 0.00000
2 10 19.95790 5.05406 0.16140 2 0.00000 0.00000 0.00000
2 11 21.48247 9.67357 7.78259 2 0.00000 0.00000 0.00000
2 12 26.10752 0.75961 0.15800 2 0.00000 0.00000 0.00000
3 1 0.71191 6082240.00000 35464300.00000 2 0.00000 0.00000 580.54400
3 2 0.71191 6082240.00000 35464300.00000 2 0.00000 0.00000 580.54400
3 3 1.32667 2174350.00000 23675600.00000 2 0.00000 0.00000 419.51200
3 4 7.03313 11299.30000 5061.07000 2 0.00000 0.00000 0.00000
3 5 7.03313 11299.30000 5061.07000 2 0.00000 0.00000 0.00000
3 6 16.12973 6.03091 13.59200 2 0.00000 0.00000 0.00000
3 7 19.63877 4.51087 0.12802 2 0.00000 0.00000 0.00000
3 8 19.63877 4.51087 0.12802 2 0.00000 0.00000 0.00000
3 9 19.95500 5.04018 0.31960 2 0.00000 0.00000 0.00000
3 10 19.95500 5.04018 0.31960 2 0.00000 0.00000 0.00000
3 11 21.55442 7.26199 11.23020 2 0.00000 0.00000 0.00000
3 12 26.08857 0.82943 0.34486 2 0.00000 0.00000 0.00000
4 1 1.06529 3169320.00000 18345800.00000 2 0.00000 0.00000 225.30800
4 2 1.06529 3169320.00000 18345800.00000 2 0.00000 0.00000 225.30800
4 3 1.98778 585005.00000 6348530.00000 2 0.00000 0.00000 48.14320
4 4 6.99904 10608.40000 7140.51000 2 0.00000 0.00000 0.00000
4 5 6.99904 10608.40000 7140.51000 2 0.00000 0.00000 0.00000
4 6 15.96200 5.92065 19.20020 2 0.00000 0.00000 0.00000
4 7 19.64093 4.48919 0.19320 2 0.00000 0.00000 0.00000
4 8 19.64093 4.48919 0.19320 2 0.00000 0.00000 0.00000
4 9 19.95020 4.99866 0.46973 2 0.00000 0.00000 0.00000
4 10 19.95020 4.99866 0.46973 2 0.00000 0.00000 0.00000
4 11 21.66837 10.59860 23.12090 2 0.00000 0.00000 0.00000
4 12 26.05697 0.93264 0.58113 2 0.00000 0.00000 0.00000
5 1 1.41559 2273900.00000 13028700.00000 2 0.00000 0.00000 109.90100
5 2 1.41559 2273900.00000 13028700.00000 2 0.00000 0.00000 109.90100
5 3 2.64624 194230.00000 2097930.00000 2 0.00000 0.00000 5.70227
5 4 6.95123 9925.75000 8930.05000 2 0.00000 0.00000 0.00000
5 5 6.95123 9925.75000 8930.05000 2 0.00000 0.00000 0.00000
5 6 15.73787 7.10220 29.17000 2 0.00000 0.00000 0.00000
5 7 19.64399 4.48392 0.26099 2 0.00000 0.00000 0.00000
5 8 19.64399 4.48392 0.26099 2 0.00000 0.00000 0.00000
5 9 19.94360 4.97398 0.61271 2 0.00000 0.00000 0.00000
5 10 19.94360 4.97398 0.61271 2 0.00000 0.00000 0.00000
5 11 21.81719 11.40040 30.67960 2 0.00000 0.00000 0.00000
5 12 26.01278 1.01779 0.84444 2 0.00000 0.00000 0.00000
6 1 1.76181 2504620.00000 14162300.00000 2 0.00000 0.00000 76.54410
6 2 1.76181 2504620.00000 14162300.00000 2 0.00000 0.00000 76.54410
6 3 3.30119 77114.50000 827932.00000 2 0.00000 0.00000 0.72104
6 4 6.88959 9398.98000 10601.70000 2 0.00000 0.00000 0.00000
6 5 6.88959 9398.98000 10601.70000 2 0.00000 0.00000 0.00000
6 6 15.46497 8.52059 41.31690 2 0.00000 0.00000 0.00000
6 7 19.64801 4.50880 0.33357 2 0.00000 0.00000 0.00000
6 8 19.64801 4.50880 0.33357 2 0.00000 0.00000 0.00000
6 9 19.93527 4.89525 0.73737 2 0.00000 0.00000 0.00000
