# 4x4x3 supercell for harmonic, 4x4x3 supercell for cubic ifcs
# 53x53x33 k points for kappa
# cubic ifcs up to 15NN shell trained with ordinary least squares by 200 configurations.
# Temperature = 20 K
"k index (irred.)" "branch index" "f (THz)" "1/tau_3ph (THz)"
1 1 0.00000 0.00000
1 2 0.00000 0.00000
1 3 0.00000 0.00000
1 4 7.06035 0.00008
1 5 7.06035 0.00008
1 6 16.26932 0.21660
1 7 18.24666 0.29736
1 8 19.63704 0.21950
1 9 19.63704 0.21950
1 10 19.95886 0.19848
1 11 19.95886 0.19848
1 12 21.45786 0.08806
2 1 0.35647 0.00000
2 2 0.35647 0.00000
2 3 0.66378 0.00000
2 4 7.05355 0.00008
2 5 7.05355 0.00008
2 6 16.23394 0.20697
2 7 19.63749 0.22033
2 8 19.63749 0.22033
2 9 19.95790 0.19786
2 10 19.95790 0.19786
2 11 21.48247 0.10337
2 12 26.10752 1.31646
3 1 0.71191 0.00000
3 2 0.71191 0.00000
3 3 1.32667 0.00000
3 4 7.03313 0.00009
3 5 7.03313 0.00009
3 6 16.12973 0.16581
3 7 19.63877 0.22169
3 8 19.63877 0.22169
3 9 19.95500 0.19841
3 10 19.95500 0.19841
3 11 21.55442 0.13770
3 12 26.08857 1.20564
4 1 1.06529 0.00000
4 2 1.06529 0.00000
4 3 1.98778 0.00000
4 4 6.99904 0.00009
4 5 6.99904 0.00009
4 6 15.96200 0.16890
4 7 19.64093 0.22276
4 8 19.64093 0.22276
4 9 19.95020 0.20005
4 10 19.95020 0.20005
4 11 21.66837 0.09435
4 12 26.05697 1.07222
5 1 1.41559 0.00000
5 2 1.41559 0.00000
5 3 2.64624 0.00001
5 4 6.95123 0.00010
5 5 6.95123 0.00010
5 6 15.73787 0.14080
5 7 19.64399 0.22302
5 8 19.64399 0.22302
5 9 19.94360 0.20105
5 10 19.94360 0.20105
5 11 21.81719 0.08772
5 12 26.01278 0.98252
6 1 1.76181 0.00000
6 2 1.76181 0.00000
6 3 3.30119 0.00001
6 4 6.88959 0.00011
6 5 6.88959 0.00011
6 6 15.46497 0.11736
6 7 19.64801 0.22179
6 8 19.64801 0.22179
6 9 19.93527 0.20428
6 10 19.93527 0.20428
6 11 21.99316 0.09658
6 12 25.95609 0.94209
7 1 2.10298 0.00000
7 2 2.10298 0.00000
7 3 3.95174 0.00003
7 4 6.81401 0.00011
7 5 6.81401 0.00011
7 6 15.15031 0.12267
7 7 19.65301 0.22252
7 8 19.65301 0.22252
7 9 19.92532 0.20315
7 10 19.92532 0.20315
7 11 22.18929 0.10736
7 12 25.88693 0.85483
8 1 2.43813 0.00000
8 2 2.43813 0.00000
8 3 4.59711 0.00006
8 4 6.72437 0.00011
8 5 6.72437 0.00011
8 6 14.79991 0.12894
8 7 19.65904 0.22345
8 8 19.65904 0.22345
8 9 19.91392 0.19953
8 10 19.91392 0.19953
8 11 22.39941 0.17668
8 12 25.80539 0.77239
9 1 2.76632 0.00000
9 2 2.76632 0.00000
9 3 5.23647 0.00011
9 4 6.62059 0.00011
9 5 6.62059 0.00011
9 6 14.41870 0.08500
9 7 19.66609 0.22486
9 8 19.66609 0.22486
9 9 19.90121 0.19663
9 10 19.90121 0.19663
9 11 22.61865 0.17870
9 12 25.71164 0.69130
10 1 3.08666 0.00000
10 2 3.08666 0.00000
10 3 5.86898 0.00019
10 4 6.50250 0.00010
10 5 6.50250 0.00010
10 6 14.01053 0.05026
10 7 19.67424 0.21988
10 8 19.67424 0.21988
10 9 19.88739 0.19474
10 10 19.88739 0.19474
10 11 22.84302 0.17549
10 12 25.60578 0.62089
11 1 3.39833 0.00000
11 2 3.39833 0.00000
11 3 6.37011 0.00009
11 4 6.37011 0.00009
11 5 6.49392 0.00032
11 6 13.57847 0.03226
11 7 19.68347 0.21625
11 8 19.68347 0.21625
11 9 19.87261 0.19590
11 10 19.87261 0.19590
11 11 23.06933 0.16335
11 12 25.48808 0.58608
12 1 3.70046 0.00000
12 2 3.70046 0.00000
12 3 6.22330 0.00008
12 4 6.22330 0.00008
12 5 7.11051 0.00051
12 6 13.12500 0.02198
12 7 19.69382 0.21384
12 8 19.69382 0.21384
12 9 19.85711 0.20282
12 10 19.85711 0.20282
12 11 23.29516 0.15737
12 12 25.35872 0.50236
13 1 3.99234 0.00000
13 2 3.99234 0.00000
13 3 6.06210 0.00007
13 4 6.06210 0.00007
13 5 7.71801 0.00078
13 6 12.65205 0.01584
13 7 19.70521 0.21520
13 8 19.70521 0.21520
13 9 19.84107 0.20462
13 10 19.84107 0.20462
13 11 23.51848 0.15695
13 12 25.21803 0.44439
14 1 4.27324 0.00000
14 2 4.27324 0.00000
14 3 5.88657 0.00006
14 4 5.88657 0.00006
14 5 8.31567 0.00114
14 6 12.16120 0.01101
14 7 19.71762 0.21929
14 8 19.71762 0.21929
14 9 19.82474 0.21540
14 10 19.82474 0.21540
14 11 23.73763 0.16055
14 12 25.06631 0.38349
15 1 4.54255 0.00000
15 2 4.54255 0.00000
15 3 5.69678 0.00006
15 4 5.69678 0.00006
15 5 8.90279 0.00165
15 6 11.65374 0.00804
15 7 19.73099 0.20960
15 8 19.73099 0.20960
15 9 19.80831 0.22569
15 10 19.80831 0.22569
15 11 23.95135 0.17018
15 12 24.90394 0.33233
16 1 4.79965 0.00001
16 2 4.79965 0.00001
16 3 5.49292 0.00008
16 4 5.49292 0.00008
16 5 9.47860 0.00230
16 6 11.13081 0.00593
16 7 19.74526 0.20761
16 8 19.74526 0.20761
16 9 19.79194 0.23789
16 10 19.79194 0.23789
16 11 24.15845 0.18880
16 12 24.73141 0.29016
17 1 5.04401 0.00000
17 2 5.04401 0.00000
17 3 5.27524 0.00000
17 4 5.27524 0.00000
17 5 10.04242 0.00321
17 6 10.59341 0.00435
17 7 19.76025 0.20590
17 8 19.76025 0.20590
17 9 19.77587 0.21197
17 10 19.77587 0.21197
17 11 24.35802 0.22023
17 12 24.54922 0.25328
18 1 0.39200 0.00000
18 2 0.41557 0.00000
18 3 0.77200 0.00000
18 4 7.07426 0.00008
18 5 7.10697 0.00009
18 6 16.25712 0.21161
18 7 18.24708 0.29572
18 8 19.63611 0.21870
18 9 19.64843 0.21947
18 10 19.96105 0.19846
18 11 21.45612 0.08977
18 12 26.85685 0.76621
19 1 0.54766 0.00000
19 2 0.55860 0.00000
19 3 0.96895 0.00000
19 4 7.06749 0.00009
19 5 7.09906 0.00009
19 6 16.22183 0.19300
19 7 18.97548 0.27121
19 8 19.63653 0.21938
19 9 19.64933 0.22033
19 10 19.96009 0.19829
19 11 21.48064 0.10435
19 12 26.55541 0.96829
20 1 0.82473 0.00000
20 2 0.91537 0.00000
20 3 1.43834 0.00000
20 4 7.04716 0.00009
20 5 7.07798 0.00009
20 6 16.11789 0.17173
20 7 19.51919 0.23533
20 8 19.63779 0.21995
20 9 19.65451 0.22272
20 10 19.95718 0.19904
20 11 21.55232 0.13592
20 12 26.29057 1.11011
21 1 1.14412 0.00000
21 2 1.23656 0.00000
21 3 2.04496 0.00000
21 4 7.01319 0.00009
21 5 7.04374 0.00010
21 6 15.95058 0.16820
21 7 19.63994 0.22112
21 8 19.64456 0.22122
21 9 19.73654 0.22418
21 10 19.95242 0.20042
21 11 21.66594 0.09507
21 12 26.15947 1.08317
22 1 1.47621 0.00000
22 2 1.55685 0.00000
22 3 2.68348 0.00001
22 4 6.96556 0.00010
22 5 6.99599 0.00010
22 6 15.72696 0.13921
22 7 19.64300 0.22164
22 8 19.65116 0.22193
22 9 19.81772 0.21557
22 10 19.94579 0.20183
22 11 21.81434 0.08928
22 12 26.07115 1.00471
23 1 1.81128 0.00000
23 2 1.88085 0.00000
23 3 3.32848 0.00002
23 4 6.90413 0.00011
23 5 6.93447 0.00011
23 6 15.45463 0.11724
23 7 19.64702 0.22121
23 8 19.65580 0.22161
23 9 19.85510 0.21109
23 10 19.93746 0.20384
23 11 21.98999 0.09749
23 12 25.99201 0.92994
24 1 2.14499 0.00000
24 2 2.20578 0.00000
24 3 3.97303 0.00003
24 4 6.82879 0.00011
24 5 6.85907 0.00011
24 6 15.14063 0.12470
24 7 19.65200 0.22154
24 8 19.66090 0.22178
24 9 19.87150 0.20748
24 10 19.92750 0.20262
24 11 22.18581 0.10902
24 12 25.91016 0.84487
25 1 2.47485 0.00000
25 2 2.52884 0.00000
25 3 4.61426 0.00007
25 4 6.73945 0.00011
25 5 6.76967 0.00011
25 6 14.79089 0.12875
25 7 19.65802 0.22250
25 8 19.66683 0.22231
25 9 19.87657 0.20364
25 10 19.91608 0.20040
25 11 22.39579 0.16389
25 12 25.82091 0.75988
26 1 2.79913 0.00000
26 2 2.84782 0.00000
26 3 5.25048 0.00012
26 4 6.63597 0.00011
26 5 6.66616 0.00011
26 6 14.41036 0.08393
26 7 19.66513 0.22268
26 8 19.67367 0.22180
26 9 19.87489 0.20046
26 10 19.90334 0.19828
26 11 22.61493 0.18384
26 12 25.72219 0.68299
27 1 3.11649 0.00000
27 2 3.16101 0.00000
27 3 5.88049 0.00021
27 4 6.51827 0.00010
27 5 6.54840 0.00010
27 6 14.00292 0.04981
27 7 19.67334 0.21875
27 8 19.68152 0.21864
27 9 19.86878 0.19770
27 10 19.88943 0.19616
27 11 22.83930 0.17675
27 12 25.61304 0.61542
28 1 3.42579 0.00000
28 2 3.46701 0.00000
28 3 6.38624 0.00009
28 4 6.41628 0.00009
28 5 6.50337 0.00034
28 6 13.57163 0.03203
28 7 19.68266 0.21441
28 8 19.69037 0.21457
28 9 19.85966 0.19783
28 10 19.87456 0.19637
28 11 23.06576 0.16605
28 12 25.49300 0.57777
29 1 3.72606 0.00000
29 2 3.76464 0.00000
29 3 6.23985 0.00008
29 4 6.26995 0.00008
29 5 7.11800 0.00053
29 6 13.11898 0.02193
29 7 19.69313 0.21388
29 8 19.70026 0.21400
29 9 19.84839 0.20387
29 10 19.85894 0.20284
29 11 23.29178 0.15832
29 12 25.36199 0.50229
30 1 4.01638 0.00000
30 2 4.05289 0.00000
30 3 6.07910 0.00007
30 4 6.10926 0.00007
30 5 7.72376 0.00081
30 6 12.64686 0.01581
30 7 19.70467 0.21453
30 8 19.71117 0.21471
30 9 19.83562 0.20666
30 10 19.84275 0.20579
30 11 23.51536 0.15799
30 12 25.22007 0.44744
31 1 4.29603 0.00000
31 2 4.33086 0.00000
31 3 5.90405 0.00006
31 4 5.93433 0.00006
31 5 8.31987 0.00117
31 6 12.15694 0.01106
31 7 19.71729 0.21823
31 8 19.72302 0.21882
31 9 19.82183 0.21600
31 10 19.82620 0.21515
31 11 23.73490 0.16234
31 12 25.06739 0.38504
32 1 4.56422 0.00000
32 2 4.59777 0.00000
32 3 5.71479 0.00006
32 4 5.74525 0.00006
32 5 8.90551 0.00168
32 6 11.65047 0.00807
32 7 19.73090 0.21050
32 8 19.73576 0.20949
32 9 19.80741 0.22623
32 10 19.80951 0.22580
32 11 23.94898 0.17145
32 12 24.90427 0.33345
33 1 4.82039 0.00000
33 2 4.85292 0.00000
33 3 5.51153 0.00008
33 4 5.54226 0.00008
33 5 9.47998 0.00236
33 6 11.12860 0.00596
33 7 19.74541 0.20733
33 8 19.74925 0.20719
33 9 19.79266 0.23611
33 10 19.79290 0.23378
33 11 24.15653 0.19028
33 12 24.73108 0.29182
34 1 5.06397 0.00000
34 2 5.09569 0.00000
34 3 5.29445 0.00000
34 4 5.32563 0.00001
34 5 10.04251 0.00324
34 6 10.59233 0.00442
34 7 19.76067 0.20634
34 8 19.76334 0.20557
34 9 19.77656 0.21230
34 10 19.77788 0.21227
34 11 24.35658 0.22114
34 12 24.54833 0.25465
35 1 0.81486 0.00000
35 2 0.82962 0.00000
35 3 1.52606 0.00000
35 4 7.11572 0.00009
35 5 7.24415 0.00010
35 6 16.22090 0.21021
35 7 18.24846 0.29434
35 8 19.63353 0.21525
35 9 19.68161 0.21891
35 10 19.96720 0.19945
35 11 21.45105 0.09389
35 12 26.82900 0.76556
36 1 0.86447 0.00000
36 2 0.90333 0.00000
36 3 1.64657 0.00000
36 4 7.10901 0.00009
36 5 7.23570 0.00010
36 6 16.18588 0.18873
36 7 18.51893 0.28587
36 8 19.63395 0.21555
36 9 19.68245 0.21930
36 10 19.96624 0.19927
36 11 21.47533 0.10856
36 12 26.71786 0.82639
37 1 1.09440 0.00000
37 2 1.13199 0.00000
37 3 1.92741 0.00000
37 4 7.08889 0.00009
37 5 7.21280 0.00010
37 6 16.08276 0.17764
37 7 18.97941 0.26902
37 8 19.63521 0.21593
37 9 19.68512 0.22043
37 10 19.96336 0.20021
37 11 21.54623 0.13507
37 12 26.50930 0.95285
38 1 1.35241 0.00000
38 2 1.49273 0.00000
38 3 2.34052 0.00001
38 4 7.05532 0.00010
38 5 7.17733 0.00011
38 6 15.91667 0.16526
38 7 19.31521 0.24676
38 8 19.63731 0.21767
38 9 19.69028 0.22310
38 10 19.95859 0.20131
38 11 21.65881 0.09826
38 12 26.32882 0.99995
39 1 1.64396 0.00000
39 2 1.83141 0.00000
39 3 2.86505 0.00001
39 4 7.00816 0.00010
39 5 7.12903 0.00011
39 6 15.69461 0.13663
39 7 19.51406 0.23111
39 8 19.64033 0.21837
39 9 19.70014 0.22499
39 10 19.95200 0.20381
39 11 21.80606 0.09410
39 12 26.18912 0.96834
40 1 1.95152 0.00000
40 2 2.14813 0.00000
40 3 3.45016 0.00002
40 4 6.94736 0.00011
40 5 7.06749 0.00012
40 6 15.42405 0.11696
40 7 19.61848 0.21920
40 8 19.64429 0.21804
40 9 19.72149 0.22651
40 10 19.94366 0.20461
40 11 21.98066 0.10031
40 12 26.07292 0.91709
41 1 2.26579 0.00000
41 2 2.45656 0.00000
41 3 4.06108 0.00005
41 4 6.87277 0.00011
41 5 6.99236 0.00012
41 6 15.11194 0.12746
41 7 19.64927 0.21809
41 8 19.66051 0.21530
41 9 19.75713 0.22355
41 10 19.93371 0.20430
41 11 22.17565 0.11484
41 12 25.96592 0.81617
42 1 2.58138 0.00000
42 2 2.76180 0.00000
42 3 4.68132 0.00009
42 4 6.78427 0.00011
42 5 6.90344 0.00012
42 6 14.76424 0.12804
42 7 19.65532 0.21899
42 8 19.67745 0.21531
42 9 19.78957 0.21631
42 10 19.92220 0.20262
42 11 22.38505 0.15803
42 12 25.85965 0.73663
43 1 2.89487 0.00000
43 2 3.06436 0.00000
43 3 5.30315 0.00015
43 4 6.68174 0.00011
43 5 6.80055 0.00012
43 6 14.38581 0.08116
43 7 19.66252 0.21935
43 8 19.68812 0.21411
43 9 19.81092 0.21062
43 10 19.90934 0.20031
43 11 22.60393 0.18913
43 12 25.74917 0.66412
44 1 3.20385 0.00000
44 2 3.36328 0.00000
44 3 5.92246 0.00025
44 4 6.56507 0.00010
44 5 6.68363 0.00011
44 6 13.98058 0.04860
44 7 19.67091 0.21686
44 8 19.69735 0.21290
44 9 19.82270 0.20608
44 10 19.89522 0.19806
44 11 22.82836 0.17934
44 12 25.63178 0.60570
45 1 3.50649 0.00000
45 2 3.65714 0.00000
45 3 6.43415 0.00009
45 4 6.53230 0.00033
45 5 6.55700 0.00016
45 6 13.55164 0.03153
45 7 19.68051 0.21255
45 8 19.70650 0.21130
45 9 19.82731 0.20558
45 10 19.88008 0.19825
45 11 23.05518 0.17139
45 12 25.50586 0.56011
46 1 3.80140 0.00000
46 2 3.94458 0.00000
46 3 6.28899 0.00008
46 4 6.40692 0.00008
46 5 7.14474 0.00060
46 6 13.10144 0.02175
46 7 19.69130 0.21209
46 8 19.71603 0.21110
46 9 19.82671 0.20940
46 10 19.86407 0.20595
46 11 23.28179 0.16253
46 12 25.37054 0.49466
47 1 4.08731 0.00000
47 2 4.22432 0.00000
47 3 6.12953 0.00007
47 4 6.24755 0.00007
47 5 7.74439 0.00088
47 6 12.63200 0.01567
47 7 19.70332 0.21243
47 8 19.72619 0.21230
47 9 19.82231 0.21079
47 10 19.84740 0.20722
47 11 23.50622 0.16160
47 12 25.22532 0.45094
48 1 4.36324 0.00000
48 2 4.49524 0.00000
48 3 5.95589 0.00006
48 4 6.07412 0.00006
48 5 8.33510 0.00128
48 6 12.14489 0.01112
48 7 19.71651 0.21662
48 8 19.73699 0.21443
48 9 19.81508 0.21644
48 10 19.83028 0.21562
48 11 23.72674 0.16731
48 12 25.07008 0.38607
49 1 4.62829 0.00000
49 2 4.75627 0.00000
