f(THz)          MFP(nm)         kappa(W/m-K)
3.292110E-12    0.000000E+00    0.000000E+00
3.292110E-12    0.000000E+00    0.000000E+00
3.292110E-12    0.000000E+00    0.000000E+00
8.651190E+00    0.000000E+00    0.000000E+00
8.651190E+00    0.000000E+00    0.000000E+00
8.651190E+00    0.000000E+00    0.000000E+00
1.459548E-01    1.037160E+04    1.575832E-01
1.459548E-01    1.037170E+04    1.579768E-01
3.072000E-01    2.337860E+04    7.503024E-01
8.645580E+00    2.302090E-01    2.302072E-07
8.648670E+00    1.026150E-01    4.608816E-08
8.648670E+00    1.026150E-01    4.595608E-08
2.906937E-01    3.839200E+03    5.762512E-02
2.906937E-01    3.839200E+03    5.770456E-02
6.141180E-01    7.355420E+03    2.355944E-01
8.628900E+00    4.757100E-01    9.397600E-07
8.641200E+00    2.029070E-01    1.796760E-07
8.641200E+00    2.029070E-01    1.794272E-07
4.329990E-01    2.357990E+03    3.464072E-02
4.329990E-01    2.357990E+03    3.467784E-02
9.204690E-01    2.237090E+03    7.141752E-02
8.601570E+00    7.132410E-01    2.070648E-06
8.628960E+00    3.068500E-01    3.981848E-07
8.628960E+00    3.068500E-01    3.978376E-07
5.716470E-01    1.428880E+03    2.035016E-02
5.716470E-01    1.428870E+03    2.036952E-02
1.225977E+00    1.216850E+03    3.866776E-02
8.564280E+00    9.393010E-01    3.533560E-06
8.612310E+00    4.183350E-01    7.000640E-07
8.612310E+00    4.183350E-01    6.996504E-07
7.054260E-01    1.029440E+03    1.406832E-02
7.054260E-01    1.029440E+03    1.408128E-02
1.530357E+00    6.765860E+02    2.137224E-02
8.517960E+00    1.140470E+00    5.170952E-06
8.591730E+00    5.123530E-01    1.025248E-06
8.591730E+00    5.123520E-01    1.024832E-06
8.331420E-01    7.736880E+02    1.003184E-02
8.331420E-01    7.736880E+02    1.004128E-02
1.833321E+00    3.782460E+02    1.186096E-02
8.463660E+00    1.289830E+00    6.715320E-06
8.567850E+00    6.429670E-01    1.459056E-06
8.567850E+00    6.429670E-01    1.458680E-06
9.536370E-01    5.804840E+02    7.052776E-03
9.536370E-01    5.804880E+02    7.059792E-03
2.134566E+00    1.957610E+02    6.085008E-03
8.402580E+00    1.426730E+00    8.233520E-06
8.541360E+00    7.607220E-01    1.877632E-06
8.541360E+00    7.607220E-01    1.877392E-06
1.065843E+00    4.302210E+02    4.830280E-03
1.065843E+00    4.302220E+02    4.835384E-03
2.433765E+00    1.504600E+02    4.628752E-03
8.336010E+00    1.641920E+00    1.022248E-05
8.513100E+00    8.393100E-01    2.174088E-06
8.513100E+00    8.393100E-01    2.174072E-06
1.168806E+00    3.135690E+02    3.202976E-03
1.168806E+00    3.135690E+02    3.206632E-03
2.730543E+00    1.241050E+02    3.772040E-03
8.265150E+00    1.380490E+00    9.078240E-06
8.483970E+00    8.795360E-01    2.314104E-06
8.483970E+00    8.795360E-01    2.314384E-06
1.261746E+00    2.242040E+02    2.047400E-03
1.261746E+00    2.242040E+02    2.049976E-03
3.024480E+00    1.027310E+02    3.078608E-03
8.191140E+00    1.860190E+00    1.270976E-05
8.454840E+00    8.882800E-01    2.300536E-06
8.454840E+00    8.882790E-01    2.301144E-06
1.344096E+00    1.629840E+02    1.304672E-03
1.344096E+00    1.629840E+02    1.306512E-03
3.315030E+00    6.736460E+01    1.985808E-03
8.114910E+00    2.223430E+00    1.559168E-05
8.426670E+00    8.667550E-01    2.141648E-06
8.426670E+00    8.667560E-01    2.142576E-06
1.415562E+00    1.187910E+02    8.153040E-04
1.415562E+00    1.187910E+02    8.166240E-04
3.601620E+00    5.988380E+01    1.731696E-03
8.037270E+00    2.645860E+00    1.888656E-05
8.400210E+00    8.134740E-01    1.857096E-06
8.400210E+00    8.134740E-01    1.858280E-06
1.476144E+00    8.655730E+01    4.967952E-04
1.476144E+00    8.655720E+01    4.977392E-04
3.883560E+00    4.774830E+01    1.350112E-03
7.958580E+00    2.929050E+00    2.119320E-05
8.376210E+00    7.458090E-01    1.520912E-06
8.376210E+00    7.458080E-01    1.522272E-06
1.526157E+00    6.247730E+01    2.915176E-04
1.526157E+00    6.247720E+01    2.921840E-04
4.159980E+00    3.144450E+01    8.660960E-04
7.879110E+00    2.725430E+00    1.998304E-05
8.355120E+00    6.533640E-01    1.147808E-06
8.355120E+00    6.533650E-01    1.149232E-06
1.566225E+00    4.448140E+01    1.638552E-04
1.566225E+00    4.448130E+01    1.633896E-04
4.429950E+00    2.814750E+01    7.518824E-04
7.798650E+00    6.295960E+00    4.693392E-05
8.337330E+00    5.391030E-01    7.839760E-07
8.337330E+00    5.391020E-01    7.853096E-07
1.597248E+00    3.120340E+01    8.727840E-05
1.597248E+00    3.120330E+01    8.695840E-05
4.692450E+00    3.665060E+01    9.446000E-04
7.716810E+00    7.509690E+00    5.727408E-05
8.322900E+00    4.201330E-01    4.834912E-07
8.322900E+00    4.201330E-01    4.846392E-07
1.620339E+00    2.133240E+01    4.341848E-05
1.620339E+00    2.133230E+01    4.320416E-05
4.946250E+00    3.418730E+01    8.450400E-04
7.633020E+00    8.996310E+00    7.076168E-05
8.311770E+00    3.109790E-01    2.687520E-07
8.311770E+00    3.109790E-01    2.696608E-07
1.636746E+00    1.374720E+01    1.935960E-05
1.636746E+00    1.374720E+01    1.922440E-05
5.190090E+00    1.763240E+01    4.150056E-04
7.546440E+00    1.135310E+01    9.285200E-05
8.303640E+00    2.110060E-01    1.285192E-07
8.303640E+00    2.110060E-01    1.291640E-07
1.647777E+00    8.045300E+00    7.374520E-06
1.647777E+00    8.045310E+00    7.296792E-06
5.422530E+00    1.168560E+01    2.595728E-04
7.456350E+00    1.426900E+01    1.220912E-04
8.298120E+00    1.286220E-01    5.091552E-08
8.298120E+00    1.286230E-01    5.131952E-08
1.654704E+00    4.465290E+00    2.468064E-06
1.654704E+00    4.465290E+00    2.425640E-06
5.641770E+00    7.147900E+00    1.480616E-04
7.362300E+00    1.780930E+01    1.596112E-04
8.294670E+00    6.807500E-02    1.567024E-08
8.294670E+00    6.807510E-02    1.588664E-08
1.658685E+00    2.238510E+00    6.758256E-07
1.658685E+00    2.238500E+00    6.548704E-07
5.845560E+00    5.380580E+00    1.020288E-04
7.264380E+00    2.143800E+01    1.994648E-04
8.292810E+00    2.865710E-02    3.234040E-09
8.292810E+00    2.865710E-02    3.325256E-09
1.660722E+00    8.432730E-01    1.219984E-07
1.660722E+00    8.432730E-01    1.142080E-07
6.030210E+00    4.512310E+00    7.564800E-05
7.164300E+00    2.291060E+01    2.145568E-04
8.291970E+00    8.703370E-03    3.489384E-10
8.291970E+00    8.703360E-03    3.764904E-10
1.661607E+00    3.219340E-01    1.891912E-08
1.661607E+00    3.219350E-01    1.599064E-08
6.188700E+00    4.731230E+00    6.444696E-05
7.067520E+00    1.801460E+01    1.551360E-04
8.291760E+00    1.147220E-03    5.524952E-12
8.291760E+00    1.147200E-03    8.887440E-12
1.661907E+00    9.862040E-02    2.081824E-09
1.661907E+00    9.862120E-02    1.256704E-09
6.305460E+00    6.967460E+00    5.831864E-05
6.988260E+00    1.553980E+01    9.077760E-05
8.291760E+00    7.944480E-04    4.932688E-12
8.291760E+00    7.944340E-04    2.754912E-12
