f(THz)          1/tau_3p(THz)   1/tau_iso(THz)
3.292110E-12           -              -     
3.292110E-12           -              -     
3.292110E-12           -              -     
8.651190E+00    8.811504E-01    0.000000E+00
8.651190E+00    8.811504E-01    0.000000E+00
8.651190E+00    8.811504E-01    0.000000E+00
1.459548E-01    2.308296E-04    1.438712E-08
1.459548E-01    2.308296E-04    1.438712E-08
3.072000E-01    2.154476E-04    6.378046E-07
8.645580E+00    7.918158E-01    7.793998E-03
8.648670E+00    8.001152E-01    4.513005E-03
8.648670E+00    8.001152E-01    4.513005E-03
2.906937E-01    6.152824E-04    5.266661E-07
2.906937E-01    6.152824E-04    5.266661E-07
6.141180E-01    6.747547E-04    1.110692E-05
8.628900E+00    7.444852E-01    1.949173E-02
8.641200E+00    7.906701E-01    1.198831E-02
8.641200E+00    7.906701E-01    1.198831E-02
4.329990E-01    9.786843E-04    2.718167E-06
4.329990E-01    9.786843E-04    2.718167E-06
9.204690E-01    2.188466E-03    6.141441E-05
8.601570E+00    7.215007E-01    2.659351E-02
8.628960E+00    7.585642E-01    1.909521E-02
8.628960E+00    7.585642E-01    1.909521E-02
5.716470E-01    1.562029E-03    8.431320E-06
5.716470E-01    1.562029E-03    8.431320E-06
1.225977E+00    3.896114E-03    2.268152E-04
8.564280E+00    7.002311E-01    3.487926E-02
8.612310E+00    7.112983E-01    2.397964E-02
8.612310E+00    7.112983E-01    2.397964E-02
7.054260E-01    2.072285E-03    2.007992E-05
7.054260E-01    2.072285E-03    2.007992E-05
1.530357E+00    6.600965E-03    7.833050E-04
8.517960E+00    6.850066E-01    4.351656E-02
8.591730E+00    6.876680E-01    2.974868E-02
8.591730E+00    6.876680E-01    2.974868E-02
8.331420E-01    2.602141E-03    4.046784E-05
8.331420E-01    2.602141E-03    4.046784E-05
1.833321E+00    9.714963E-03    3.425624E-03
8.463660E+00    6.843737E-01    5.389521E-02
8.567850E+00    6.135609E-01    3.424173E-02
8.567850E+00    6.135609E-01    3.424173E-02
9.536370E-01    3.229400E-03    7.255330E-05
9.536370E-01    3.229400E-03    7.255330E-05
2.134566E+00    1.412946E-02    1.110280E-02
8.402580E+00    6.685922E-01    6.963854E-02
8.541360E+00    5.556636E-01    3.935136E-02
8.541360E+00    5.556636E-01    3.935136E-02
1.065843E+00    4.000256E-03    1.188860E-04
1.065843E+00    4.000256E-03    1.188860E-04
2.433765E+00    2.524277E-02    7.343149E-03
8.336010E+00    5.861081E-01    1.043518E-01
8.513100E+00    5.210314E-01    4.441951E-02
8.513100E+00    5.210314E-01    4.441951E-02
1.168806E+00    4.962558E-03    1.818459E-04
1.168806E+00    4.962558E-03    1.818459E-04
2.730543E+00    3.135671E-02    7.801237E-03
8.265150E+00    5.062548E-01    3.590292E-01
8.483970E+00    4.976016E-01    4.994761E-02
8.483970E+00    4.976016E-01    4.994761E-02
1.261746E+00    6.172268E-03    2.634839E-04
1.261746E+00    6.172268E-03    2.634839E-04
3.024480E+00    3.760925E-02    9.200431E-03
8.191140E+00    4.233091E-01    2.421996E-01
8.454840E+00    4.771857E-01    5.598266E-02
8.454840E+00    4.771857E-01    5.598266E-02
1.344096E+00    7.400774E-03    3.639847E-04
1.344096E+00    7.400774E-03    3.639847E-04
3.315030E+00    6.967524E-02    8.187784E-04
8.114910E+00    3.563195E-01    2.136597E-01
8.426670E+00    4.582468E-01    6.258649E-02
8.426670E+00    4.582468E-01    6.258649E-02
1.415562E+00    8.655611E-03    4.833194E-04
1.415562E+00    8.655611E-03    4.833194E-04
3.601620E+00    7.688582E-02    1.233080E-03
8.037270E+00    2.851765E-01    2.011220E-01
8.400210E+00    4.419968E-01    7.031669E-02
8.400210E+00    4.419968E-01    7.031669E-02
1.476144E+00    9.875373E-03    6.184783E-04
1.476144E+00    9.875373E-03    6.184783E-04
3.883560E+00    9.440998E-02    1.816957E-03
7.958580E+00    2.451389E-01    1.989759E-01
8.376210E+00    4.194226E-01    7.938274E-02
8.376210E+00    4.194226E-01    7.938274E-02
1.526157E+00    1.105465E-02    7.705488E-04
1.526157E+00    1.105465E-02    7.705488E-04
4.159980E+00    1.403765E-01    2.631629E-03
7.879110E+00    2.176321E-01    2.647699E-01
8.355120E+00    3.996962E-01    9.053109E-02
8.355120E+00    3.996962E-01    9.053109E-02
1.566225E+00    1.215528E-02    9.272732E-04
1.566225E+00    1.215528E-02    9.272732E-04
4.429950E+00    1.519376E-01    3.760903E-03
7.798650E+00    1.880915E-01    2.366743E-02
8.337330E+00    3.885260E-01    1.030991E-01
8.337330E+00    3.885260E-01    1.030991E-01
1.597248E+00    1.306725E-02    1.090820E-03
1.597248E+00    1.306725E-02    1.090820E-03
4.692450E+00    1.106306E-01    5.325674E-03
7.716810E+00    1.573079E-01    2.384627E-02
8.322900E+00    3.797444E-01    1.193921E-01
8.322900E+00    3.797444E-01    1.193921E-01
1.620339E+00    1.380154E-02    1.260610E-03
1.620339E+00    1.380154E-02    1.260610E-03
4.946250E+00    1.123158E-01    7.522219E-03
7.633020E+00    1.314439E-01    2.409623E-02
8.311770E+00    3.666321E-01    1.398278E-01
8.311770E+00    3.666321E-01    1.398278E-01
1.636746E+00    1.471653E-02    1.440360E-03
1.636746E+00    1.471653E-02    1.440360E-03
5.190090E+00    2.116899E-01    1.071267E-02
7.546440E+00    1.034517E-01    2.435285E-02
8.303640E+00    3.591180E-01    1.672199E-01
8.303640E+00    3.591180E-01    1.672199E-01
1.647777E+00    1.635446E-02    1.584465E-03
1.647777E+00    1.635446E-02    1.584465E-03
5.422530E+00    3.024556E-01    1.590620E-02
7.456350E+00    8.143389E-02    2.465295E-02
8.298120E+00    3.570855E-01    2.048038E-01
8.298120E+00    3.570855E-01    2.048038E-01
1.654704E+00    1.769404E-02    1.731015E-03
1.654704E+00    1.769404E-02    1.731015E-03
5.641770E+00    4.555767E-01    3.225196E-02
7.362300E+00    6.385778E-02    2.491354E-02
8.294670E+00    3.598352E-01    2.592410E-01
8.294670E+00    3.598352E-01    2.592410E-01
1.658685E+00    1.915779E-02    1.858698E-03
1.658685E+00    1.915779E-02    1.858698E-03
5.845560E+00    5.803561E-01    1.582594E-02
7.264380E+00    5.114122E-02    2.519058E-02
8.292810E+00    3.648636E-01    3.611735E-01
8.292810E+00    3.648636E-01    3.611735E-01
1.660722E+00    2.433718E-02    1.939957E-03
1.660722E+00    2.433718E-02    1.939957E-03
6.030210E+00    6.197016E-01    1.171522E-02
7.164300E+00    4.612695E-02    2.554890E-02
8.291970E+00    3.772304E-01    4.927434E-01
8.291970E+00    3.772304E-01    4.927434E-01
1.661607E+00    2.454952E-02    2.015777E-03
1.661607E+00    2.454952E-02    2.015777E-03
6.188700E+00    4.756944E-01    1.559022E-02
7.067520E+00    5.744485E-02    2.613784E-02
8.291760E+00    4.005383E-01    5.626208E-01
8.291760E+00    4.005383E-01    5.626208E-01
1.661907E+00    2.410266E-02    2.044687E-03
1.661907E+00    2.410266E-02    2.044687E-03
6.305460E+00    1.840455E-01    2.157327E-02
6.988260E+00    3.828337E-02    2.729083E-02
8.291760E+00    4.818557E-01    5.639134E-01
8.291760E+00    4.818557E-01    5.639134E-01
1.661970E+00    2.414607E-02    2.053060E-03
1.661970E+00    2.414607E-02    2.053060E-03
6.351270E+00    1.629365E-01    2.155717E-02
6.955050E+00    8.364561E-02    2.892555E-02
8.291790E+00    4.620303E-01    5.635255E-01
