T(K)          nat_RTA        pure_RTA
10.00         2727.2833      41431.8148
20.00         1149.9011      9884.9987
30.00         742.8318       4644.7575
40.00         557.9669       2330.0932
50.00         430.5104       1264.5835
75.00         242.8120       448.5606
100.00        161.3965       247.0485
125.00        120.7771       168.1173
150.00        97.0655        127.7020
175.00        81.5640        103.3670
200.00        70.6003        87.1051
225.00        62.4004        75.4408
250.00        56.0114        66.6415
275.00        50.8767        59.7505
300.00        46.6495        54.1969
400.00        35.1839        39.6717
500.00        28.3471        31.3819
600.00        23.7744        25.9920
700.00        20.4896        22.1968
800.00        18.0110        19.3757
900.00        16.0722        17.1946
1000.00       14.5130        15.4570
