T	K_nat,RTA	K_pure, RTA
1.00E+01	3.94E+03	8.74E+04
2.00E+01	1.75E+03	1.69E+04
3.00E+01	1.16E+03	6.68E+03
4.00E+01	8.57E+02	3.12E+03
5.00E+01	6.43E+02	1.63E+03
7.50E+01	3.34E+02	5.57E+02
1.00E+02	2.11E+02	3.01E+02
1.25E+02	1.53E+02	2.03E+02
1.50E+02	1.21E+02	1.53E+02
1.75E+02	1.01E+02	1.24E+02
2.00E+02	8.69E+01	1.04E+02
2.25E+02	7.65E+01	8.99E+01
2.50E+02	6.84E+01	7.93E+01
2.75E+02	6.20E+01	7.10E+01
3.00E+02	5.68E+01	6.44E+01
4.00E+02	4.27E+01	4.71E+01
5.00E+02	3.43E+01	3.72E+01
6.00E+02	2.88E+01	3.08E+01
7.00E+02	2.48E+01	2.63E+01
8.00E+02	2.18E+01	2.30E+01
9.00E+02	1.94E+01	2.04E+01
1.00E+03	1.75E+01	1.83E+01
