# f(THz)          1/tau_3p(THz)   1/tau_iso(THz)
3.292113292113292172e-12 inf 0.000000000000000000e+00
3.292113292113292172e-12 inf 0.000000000000000000e+00
3.292113292113292172e-12 inf 0.000000000000000000e+00
8.778518778518778376e+00 5.267288557869066468e-01 7.130492542715910418e-41
8.778518778518778376e+00 5.267288557869066468e-01 0.000000000000000000e+00
8.778518778518778376e+00 5.267288557869066468e-01 0.000000000000000000e+00
2.001587001587001591e-01 2.482412110199238220e-04 3.175365436707196806e-08
2.001587001587001591e-01 2.482412110199238220e-04 4.444465836981774339e-08
3.974823974823974426e-01 2.632181578414004991e-04 1.256535273732153157e-06
8.767178767178766208e+00 5.212432694462832972e-01 5.635306572721643197e-03
8.772008772008771160e+00 5.167878534182932526e-01 3.384444920068387704e-03
8.772008772008771160e+00 5.167878534182932526e-01 3.365885628748750431e-03
3.969603969603969218e-01 4.589282190372604374e-04 1.218711716996436870e-06
3.969603969603969218e-01 4.589282190372604374e-04 1.363042911018853080e-06
7.950217950217949303e-01 1.099870435262726006e-03 2.514069574927175639e-05
8.734508734508732886e+00 5.223514171393947025e-01 1.331228598720167640e-02
8.752868752868753432e+00 5.270369979972594487e-01 1.047271064538204954e-02
8.752868752868753432e+00 5.270369979972594487e-01 1.036270452701783251e-02
5.870165870165869881e-01 8.951830201684734699e-04 7.060447522866451601e-06
5.870165870165869881e-01 8.951830201684734699e-04 6.871423987061726527e-06
1.192591192591192506e+00 3.989133600073399566e-03 1.501741852099660593e-04
8.684138684138684283e+00 5.064881127239944103e-01 2.063315923510583225e-02
8.722388722388721760e+00 5.368003478466254474e-01 1.618428259762761529e-02
8.722388722388721760e+00 5.368003478466254474e-01 1.610157066353197150e-02
7.669387669387668360e-01 1.484067056085862238e-03 2.134559776315484171e-05
7.669387669387668360e-01 1.484067056085862238e-03 2.175976062002574758e-05
1.589947589947589890e+00 9.940061429579635788e-03 8.100039270642905723e-04
8.621378621378621432e+00 4.909445281777611858e-01 2.806501877926230806e-02
8.682698682698681836e+00 5.556450761511576575e-01 2.088902336304893081e-02
8.682698682698681836e+00 5.556450761511576575e-01 2.112332357745386885e-02
9.334929334929333855e-01 2.303542387483472394e-03 4.961245778906622257e-05
9.334929334929333855e-01 2.303542387483472394e-03 5.071628888766264586e-05
1.986499986499986381e+00 1.444270650542829257e-02 4.263434520880000564e-03
8.552198552198550630e+00 4.762154208077566397e-01 3.734277948160438093e-02
8.636618636618635492e+00 6.269631784525294682e-01 2.645322933973393367e-02
8.636618636618635492e+00 6.269631784525294682e-01 2.651139912747758898e-02
1.083898083898083842e+00 3.423848474161927339e-03 9.792014801247598470e-05
1.083898083898083842e+00 3.423848474161927339e-03 9.791147720808126989e-05
2.381132381132380793e+00 3.053714844107857304e-02 8.064036582830079458e-03
8.481788481788480993e+00 4.596095157554141997e-01 5.357275344847718668e-02
8.587478587478587500e+00 5.782853838369235167e-01 3.241825267435189534e-02
8.587478587478587500e+00 5.782853838369235167e-01 3.233976304500497251e-02
1.216114216114216218e+00 4.950348009465065265e-03 1.693483496586381629e-04
1.216114216114216218e+00 4.950348009465065265e-03 1.707711155623618262e-04
2.772080772080772082e+00 4.484928398118123716e-02 7.135619627053653956e-03
8.413718413718413558e+00 4.442943716788995689e-01 1.085022992889791149e-01
8.538878538878538649e+00 5.260776701072146233e-01 3.968023985067109516e-02
8.538878538878538649e+00 5.260776701072146233e-01 3.989927190951143149e-02
1.329154329154329295e+00 6.345056883434959695e-03 2.662189533478585336e-04
1.329154329154329295e+00 6.345056883434959695e-03 2.617753545913162230e-04
3.156843156843156528e+00 5.181132388294786006e-02 1.236532104985047648e-02
8.348888348888348077e+00 4.973441820677582115e-01 2.375513890614628365e-01
8.494088494088494201e+00 4.931379849395660098e-01 4.961547372102961123e-02
8.494088494088494201e+00 4.931379849395660098e-01 4.972970214414255963e-02
1.423183423183423058e+00 7.931912463414054690e-03 3.862918756143380672e-04
1.423183423183423058e+00 7.931912463414054690e-03 3.855378926234934904e-04
3.532293532293532046e+00 6.234025310142759374e-02 1.079801660678192735e-03
8.285618285618285839e+00 4.500956453246314770e-01 2.291818008715929833e-01
8.455658455658456418e+00 4.760385972094617335e-01 6.509889142951769125e-02
8.455658455658456418e+00 4.760385972094617335e-01 6.475809111765595816e-02
1.499443499443499306e+00 9.634932410949136397e-03 5.321649648530313564e-04
1.499443499443499306e+00 9.634932410949136397e-03 5.369452170149857781e-04
3.894903894903895214e+00 7.495128166691650273e-02 1.811044524518862523e-03
8.219828219828221094e+00 4.000848179814120442e-01 2.217697710800957400e-01
8.425238425238426032e+00 4.817118110918961471e-01 9.591342228234323031e-02
8.425238425238426032e+00 4.817118110918961471e-01 9.540825367847741156e-02
1.559986559986559884e+00 1.116910357891585936e-02 7.026141296783025526e-04
1.559986559986559884e+00 1.116910357891585936e-02 7.023087665670106183e-04
4.241194241194240711e+00 1.205767911380881685e-01 2.957158989241832642e-03
8.146028146028145400e+00 3.582418920903772674e-01 2.197159214130352256e-01
8.403158403158403900e+00 4.866416857267993890e-01 1.213113393289416142e-01
8.403158403158403900e+00 4.866416857267993890e-01 1.218609929292672756e-01
1.607284607284607203e+00 1.238442237815585989e-02 8.855379430870968490e-04
