# Efermi (eV) : -1.044522
# (SCF 12x12x1 G-cntrd k points)
"k_distance (normalized)" E1 E2 E3 E4 E5 E6 E7 E8 E9 E10 E11
0.00000 -5.84138 -2.42858 -2.42858 -2.21848 -1.40128 -1.40128 -0.63618 2.69952 2.69962 2.95932 2.95932
0.01361 -5.83888 -2.43388 -2.42648 -2.22578 -1.40478 -1.39668 -0.63648 2.69212 2.70282 2.94742 2.95602
0.02721 -5.83138 -2.44998 -2.42038 -2.24728 -1.41528 -1.38348 -0.63738 2.67022 2.71252 2.91282 2.94612
0.04082 -5.81898 -2.47648 -2.41018 -2.28118 -1.43288 -1.36328 -0.63908 2.63522 2.72862 2.85812 2.92972
0.05442 -5.80178 -2.51308 -2.39608 -2.32558 -1.45788 -1.33798 -0.64168 2.58882 2.75082 2.78702 2.90702
0.06803 -5.77978 -2.55928 -2.37808 -2.37798 -1.49038 -1.30968 -0.64548 2.53352 2.70332 2.77882 2.87792
0.08163 -5.75318 -2.61428 -2.43698 -2.35618 -1.53058 -1.28018 -0.65068 2.47192 2.61062 2.81232 2.84282
0.09524 -5.72208 -2.67758 -2.50068 -2.33078 -1.57888 -1.25078 -0.65778 2.40662 2.51222 2.80202 2.85082
0.10884 -5.68678 -2.74838 -2.56768 -2.30188 -1.63538 -1.22258 -0.66708 2.34022 2.41082 2.75582 2.89392
0.12245 -5.64738 -2.82568 -2.63718 -2.26988 -1.70028 -1.19658 -0.67898 2.27502 2.30892 2.70462 2.94092
0.13605 -5.60418 -2.90878 -2.70808 -2.23508 -1.77338 -1.17318 -0.69388 2.20832 2.21302 2.64922 2.99132
0.14966 -5.55758 -2.99658 -2.77998 -2.19778 -1.85468 -1.15298 -0.71238 2.11062 2.15592 2.59012 3.04452
0.16327 -5.50778 -3.08828 -2.85208 -2.15848 -1.94388 -1.13638 -0.73448 2.01732 2.10502 2.52822 3.09972
0.17687 -5.45538 -3.18288 -2.92408 -2.11788 -2.04038 -1.12348 -0.76058 1.92932 2.06122 2.46462 3.15642
0.19048 -5.40088 -3.27948 -2.99558 -2.14358 -2.07678 -1.11478 -0.79048 1.84742 2.02522 2.40032 3.21382
0.20408 -5.34478 -3.37698 -3.06648 -2.25238 -2.03618 -1.11018 -0.82378 1.77182 1.99722 2.33672 3.27122
0.21769 -5.28778 -3.47428 -3.13668 -2.36598 -1.99728 -1.10978 -0.85968 1.70252 1.97742 2.27522 3.32802
