# Efermi (eV) : -1.044522
# (SCF 12x12x1 G-cntrd k points)
"k_distance (normalized)" E1 E2 E3 E4 E5 E6 E7 E8 E9 E10 E11
0.00000 -5.84138 -2.42858 -2.42858 -2.21848 -1.40128 -1.40128 -0.63618 2.69952 2.69962 2.95932 2.95932
0.01010 -5.84088 -2.42958 -2.42818 -2.21978 -1.40188 -1.40038 -0.63618 2.69822 2.70012 2.95712 2.95872
0.02020 -5.83948 -2.43248 -2.42708 -2.22388 -1.40378 -1.39788 -0.63638 2.69412 2.70192 2.95052 2.95682
0.03030 -5.83718 -2.43748 -2.42518 -2.23058 -1.40698 -1.39378 -0.63668 2.68732 2.70492 2.93972 2.95382
0.04040 -5.83398 -2.44428 -2.42258 -2.23978 -1.41148 -1.38808 -0.63708 2.67792 2.70912 2.92482 2.94962
0.05051 -5.82988 -2.45318 -2.41918 -2.25138 -1.41718 -1.38118 -0.63758 2.66602 2.71442 2.90612 2.94422
0.06061 -5.82488 -2.46388 -2.41508 -2.26528 -1.42408 -1.37298 -0.63828 2.65182 2.72092 2.88372 2.93772
0.07071 -5.81898 -2.47658 -2.41018 -2.28128 -1.43228 -1.36388 -0.63908 2.63532 2.72842 2.85792 2.93002
0.08081 -5.81218 -2.49108 -2.40458 -2.29918 -1.44158 -1.35398 -0.64008 2.61682 2.73712 2.82902 2.92112
0.09091 -5.80448 -2.50738 -2.39818 -2.31878 -1.45208 -1.34348 -0.64128 2.59652 2.74682 2.79742 2.91122
0.10101 -5.79598 -2.52548 -2.39118 -2.34008 -1.46368 -1.33268 -0.64268 2.57452 2.75762 2.76332 2.90022
0.11111 -5.78658 -2.54528 -2.38338 -2.36278 -1.47638 -1.32168 -0.64428 2.55112 2.72712 2.76932 2.88822
0.12121 -5.77628 -2.56688 -2.38678 -2.37488 -1.49018 -1.31068 -0.64618 2.52652 2.68892 2.78202 2.87522
0.13131 -5.76518 -2.59008 -2.41198 -2.36558 -1.50498 -1.29978 -0.64828 2.50102 2.64912 2.79562 2.86122
0.14141 -5.75318 -2.61478 -2.43828 -2.35568 -1.52068 -1.28938 -0.65078 2.47482 2.60802 2.81012 2.84622
0.15152 -5.74038 -2.64118 -2.46558 -2.34508 -1.53748 -1.27938 -0.65358 2.44812 2.56572 2.82532 2.83042
0.16162 -5.72678 -2.66898 -2.49378 -2.33368 -1.55508 -1.27008 -0.65678 2.42122 2.52262 2.81372 2.84142
0.17172 -5.71248 -2.69818 -2.52278 -2.32168 -1.57358 -1.26158 -0.66028 2.39432 2.47872 2.79632 2.85812
0.18182 -5.69728 -2.72878 -2.55248 -2.30908 -1.59278 -1.25398 -0.66438 2.36772 2.43442 2.77802 2.87562
0.19192 -5.68148 -2.76068 -2.58298 -2.29568 -1.61288 -1.24738 -0.66888 2.34152 2.38992 2.75912 2.89362
0.20202 -5.66478 -2.79378 -2.61408 -2.28168 -1.63368 -1.24198 -0.67388 2.31602 2.34532 2.73942 2.91222
0.21212 -5.64748 -2.82808 -2.64578 -2.26708 -1.65518 -1.23778 -0.67948 2.29132 2.30072 2.71922 2.93142
0.22222 -5.62958 -2.86348 -2.67808 -2.25178 -1.67728 -1.23498 -0.68568 2.25642 2.26782 2.69832 2.95102
0.23232 -5.61088 -2.89998 -2.71098 -2.23588 -1.69998 -1.23348 -0.69248 2.21262 2.24552 2.67702 2.97102
0.24242 -5.59168 -2.93748 -2.74428 -2.21938 -1.72318 -1.23348 -0.69998 2.16932 2.22462 2.65512 2.99142
0.25253 -5.57178 -2.97588 -2.77808 -2.20228 -1.74698 -1.23498 -0.70828 2.12682 2.20532 2.63282 3.01212
0.26263 -5.55138 -3.01508 -2.81248 -2.18458 -1.77118 -1.23798 -0.71718 2.08512 2.18762 2.61012 3.03312
0.27273 -5.53048 -3.05508 -2.84728 -2.16628 -1.79578 -1.24258 -0.72698 2.04442 2.17182 2.58712 3.05432
0.28283 -5.50908 -3.09588 -2.88248 -2.14748 -1.82088 -1.24868 -0.73758 2.00492 2.15792 2.56372 3.07572
0.29293 -5.48718 -3.13728 -2.91818 -2.12818 -1.84618 -1.25638 -0.74898 1.96662 2.14602 2.54012 3.09722
0.30303 -5.46498 -3.17918 -2.95428 -2.10838 -1.87188 -1.26558 -0.76128 1.92962 2.13612 2.51632 3.11882
0.31313 -5.44248 -3.22168 -2.99088 -2.08798 -1.89788 -1.27638 -0.77448 1.89412 2.12842 2.49232 3.14052
0.32323 -5.41958 -3.26458 -3.02778 -2.06718 -1.92398 -1.28858 -0.78848 1.86012 2.12272 2.46822 3.16222
0.33333 -5.39658 -3.30788 -3.06518 -2.04588 -1.95038 -1.30218 -0.80338 1.82782 2.11922 2.44402 3.18392
