# 8x8x1 supercell for harmonic, 6x6x1 supercell for cubic ifcs
# 100x100x1 k points for kappa
# cubic ifcs up to 8NN shell trained with ordinary least squares by 200 configurations.
# Temperature = 300 K
"temperature (K)" "frequency (THz)" "kappa spec (W/mK/THz)" "cumulative kappa (W/mK)"
300.00000 0.00000 0.00000 0.00000
300.00000 0.02998 31.10114 0.93239
300.00000 0.05996 28.49783 1.78673
300.00000 0.08994 28.02956 2.62704
300.00000 0.11992 29.49829 3.51137
300.00000 0.14990 29.10541 4.38393
300.00000 0.17988 29.45658 5.26702
300.00000 0.20985 29.58152 6.15385
300.00000 0.23983 28.04829 6.99472
300.00000 0.26981 26.85507 7.79981
300.00000 0.29979 26.27388 8.58748
300.00000 0.32977 28.60158 9.44494
300.00000 0.35975 30.79025 10.36800
300.00000 0.38973 31.03209 11.29832
300.00000 0.41971 29.83670 12.19281
300.00000 0.44969 28.25580 13.03989
300.00000 0.47967 26.65759 13.83907
300.00000 0.50965 25.08113 14.59098
300.00000 0.53963 23.63094 15.29942
300.00000 0.56961 22.50639 15.97414
300.00000 0.59958 21.96407 16.63261
300.00000 0.62956 21.72412 17.28388
300.00000 0.65954 21.96218 17.94229
300.00000 0.68952 22.05174 18.60339
300.00000 0.71950 22.68675 19.28352
300.00000 0.74948 23.45238 19.98660
300.00000 0.77946 24.14366 20.71041
300.00000 0.80944 24.95932 21.45867
300.00000 0.83942 25.25119 22.21568
300.00000 0.86940 25.17893 22.97053
300.00000 0.89938 24.91827 23.71756
300.00000 0.92936 24.48453 24.45159
300.00000 0.95934 24.34048 25.18130
300.00000 0.98932 24.18537 25.90636
300.00000 1.01929 24.06932 26.62794
300.00000 1.04927 23.84280 27.34273
300.00000 1.07925 23.49673 28.04714
300.00000 1.10923 23.24392 28.74398
300.00000 1.13921 22.73291 29.42549
300.00000 1.16919 22.25386 30.09264
300.00000 1.19917 21.80442 30.74632
300.00000 1.22915 21.28366 31.38439
300.00000 1.25913 20.88312 32.01045
300.00000 1.28911 20.32784 32.61987
300.00000 1.31909 19.78060 33.21287
300.00000 1.34907 19.27469 33.79071
300.00000 1.37905 18.82393 34.35504
300.00000 1.40902 18.65822 34.91440
300.00000 1.43900 18.24018 35.46123
300.00000 1.46898 17.74837 35.99331
300.00000 1.49896 17.13398 36.50697
300.00000 1.52894 16.47173 37.00078
300.00000 1.55892 15.90822 37.47770
300.00000 1.58890 15.34727 37.93780
300.00000 1.61888 14.84817 38.38294
300.00000 1.64886 14.42341 38.81534
300.00000 1.67884 14.13286 39.23903
300.00000 1.70882 14.10780 39.66197
300.00000 1.73880 14.37792 40.09301
300.00000 1.76878 14.96082 40.54153
300.00000 1.79875 15.66458 41.01114
300.00000 1.82873 16.33336 41.50080
300.00000 1.85871 16.89942 42.00743
300.00000 1.88869 17.31859 42.52663
300.00000 1.91867 17.74449 43.05860
300.00000 1.94865 18.04345 43.59953
300.00000 1.97863 18.16035 44.14396
300.00000 2.00861 17.94254 44.68186
300.00000 2.03859 17.57812 45.20884
300.00000 2.06857 17.11288 45.72188
300.00000 2.09855 16.31160 46.21088
300.00000 2.12853 15.33337 46.67057
300.00000 2.15851 14.16549 47.09524
300.00000 2.18848 13.21733 47.49148
300.00000 2.21846 12.60256 47.86930
300.00000 2.24844 12.15114 48.23358
300.00000 2.27842 11.66452 48.58327
300.00000 2.30840 11.09440 48.91588
300.00000 2.33838 10.60050 49.23367
300.00000 2.36836 10.22927 49.54034
300.00000 2.39834 9.79128 49.83387
300.00000 2.42832 9.36226 50.11455
300.00000 2.45830 9.00343 50.38446
300.00000 2.48828 8.77681 50.64758
