# 8x8x1 supercell for harmonic, 6x6x1 supercell for cubic ifcs
# 100x100x1 k points for kappa
# cubic ifcs up to 8NN shell trained with ordinary least squares by 200 configurations.
"temperature (K)" "kappa_{nat, RTA} (W/mK)" "kappa_{pure, RTA} (W/mK)"
50 557.70412 721.18112
75 319.41232 365.44978
100 218.45542 239.43788
125 165.70621 177.75254
150 133.76254 141.62462
175 112.39985 117.95275
200 97.09391 101.22683
225 85.56846 88.76058
250 76.56058 79.09489
275 69.31577 71.37089
300 63.35541 65.05015
400 47.26095 48.14078
500 37.75999 38.27207
600 31.46675 31.78404
700 26.98337 27.18695
800 23.62424 23.75665
900 21.01167 21.09730
1000 18.92139 18.97498
