# 8x8x1 supercell for harmonic, 6x6x1 supercell for cubic ifcs
# 100x100x1 k points for kappa
# cubic ifcs up to 8NN shell trained with ordinary least squares by 200 configurations.
# Temperature = 300 K
"k index (irred.)" "branch index" "f (THz)" "mfp (nm)" multiplicity "modal kappa (W/mK)"
1 1 0.00000 0.00000 1 0.00000
1 2 0.00000 0.00000 1 0.00000
1 3 0.00000 0.00000 1 0.00000
1 4 5.03076 0.00000 1 0.00000
1 5 5.03076 0.00000 1 0.00000
1 6 7.24427 0.00000 1 0.00000
1 7 8.60707 0.00000 1 0.00000
1 8 8.60707 0.00000 1 0.00000
1 9 10.64680 0.00000 1 0.00000
2 1 0.01222 40468.40000 6 0.17491
2 2 0.11333 1873.14000 6 0.06933
2 3 0.18112 1856.77000 6 0.10954
2 4 5.03133 0.19911 6 0.00000
2 5 5.03364 1.02145 6 0.00000
2 6 7.24284 0.46209 6 0.00000
2 7 8.60725 0.01602 6 0.00000
2 8 8.66304 0.80413 6 0.00000
2 9 10.64518 0.23727 6 0.00000
3 1 0.02909 7293.71000 6 0.04703
3 2 0.22648 1183.48000 6 0.04369
3 3 0.36194 1515.56000 6 0.08919
3 4 5.03304 0.42169 6 0.00000
3 5 5.04218 2.00329 6 0.00001
3 6 7.23858 1.02617 6 0.00000
3 7 8.60782 0.03775 6 0.00000
3 8 8.66799 1.53246 6 0.00000
3 9 10.64038 0.53807 6 0.00000
4 1 0.05314 3947.77000 6 0.03567
4 2 0.33930 830.02800 6 0.03052
4 3 0.54218 1188.91000 6 0.06968
4 4 5.03588 0.61125 6 0.00000
4 5 5.05621 2.91968 6 0.00001
4 6 7.23156 1.50090 6 0.00000
4 7 8.60875 0.05339 6 0.00000
4 8 8.67581 2.15661 6 0.00001
4 9 10.63241 0.78960 6 0.00000
5 1 0.08516 2556.55000 6 0.02995
5 2 0.45160 465.39000 6 0.01701
5 3 0.72156 857.26300 6 0.04995
5 4 5.03984 0.81005 6 0.00000
5 5 5.07540 3.69627 6 0.00002
5 6 7.22185 1.95309 6 0.00001
5 7 8.60998 0.06618 6 0.00000
5 8 8.68598 2.65381 6 0.00001
5 9 10.62138 1.02690 6 0.00000
6 1 0.12524 1872.02000 6 0.02687
6 2 0.56324 422.18100 6 0.01532
6 3 0.89979 910.90600 6 0.05267
6 4 5.04488 0.98036 6 0.00000
6 5 5.09938 4.03058 6 0.00003
6 6 7.20962 2.38043 6 0.00001
6 7 8.61151 0.07507 6 0.00000
6 8 8.69779 2.99753 6 0.00001
6 9 10.60732 1.24492 6 0.00000
7 1 0.17314 1394.47000 6 0.02356
7 2 0.67404 316.30700 6 0.01138
7 3 1.07660 671.63200 6 0.03848
7 4 5.05096 1.07476 6 0.00000
7 5 5.12771 4.44645 6 0.00004
7 6 7.19493 2.78668 6 0.00001
7 7 8.61331 0.08068 6 0.00000
7 8 8.71074 3.18516 6 0.00002
7 9 10.59035 1.42173 6 0.00001
8 1 0.22853 716.40000 6 0.01383
8 2 0.78383 349.90900 6 0.01245
8 3 1.25173 484.72100 6 0.02747
8 4 5.05807 1.06490 6 0.00000
8 5 5.15994 5.48538 6 0.00006
8 6 7.17796 3.15764 6 0.00002
8 7 8.61526 0.08274 6 0.00000
8 8 8.72417 3.21407 6 0.00002
8 9 10.57056 1.61670 6 0.00001
9 1 0.29099 720.68700 6 0.01555
9 2 0.89248 325.98800 6 0.01146
9 3 1.42493 330.56200 6 0.01850
9 4 5.06613 1.28991 6 0.00000
9 5 5.19558 6.31533 6 0.00007
9 6 7.15883 3.51174 6 0.00002
9 7 8.61735 0.08040 6 0.00000
9 8 8.73769 3.10780 6 0.00002
9 9 10.54814 1.78882 6 0.00001
10 1 0.36009 916.59300 6 0.02172
10 2 0.99983 279.59500 6 0.00970
10 3 1.59593 250.33600 6 0.01381
10 4 5.07513 1.48983 6 0.00000
10 5 5.23414 7.09294 6 0.00009
10 6 7.13770 3.84973 6 0.00002
10 7 8.61951 0.07567 6 0.00000
10 8 8.75094 2.89521 6 0.00002
10 9 10.52316 1.84227 6 0.00001
11 1 0.43539 697.77000 6 0.01789
11 2 1.10572 246.01000 6 0.00841
11 3 1.76450 140.85500 6 0.00764
11 4 5.08499 1.66997 6 0.00001
11 5 5.27518 7.61882 6 0.00010
11 6 7.11467 4.17735 6 0.00003
11 7 8.62170 0.06809 6 0.00000
11 8 8.76362 2.60440 6 0.00001
11 9 10.49576 2.09469 6 0.00002
12 1 0.51642 410.21600 6 0.01125
12 2 1.21002 233.48000 6 0.00785
12 3 1.93040 180.41300 6 0.00961
12 4 5.09560 1.85349 6 0.00001
12 5 5.31823 8.05967 6 0.00011
12 6 7.08988 4.42226 6 0.00003
12 7 8.62380 0.05861 6 0.00000
12 8 8.77558 2.25212 6 0.00001
12 9 10.46605 2.09490 6 0.00002
13 1 0.60272 276.14000 6 0.00803
13 2 1.31260 213.49300 6 0.00705
13 3 2.09339 123.87600 6 0.00647
13 4 5.10696 1.97416 6 0.00001
13 5 5.36284 8.17120 6 0.00011
13 6 7.06347 4.71505 6 0.00004
13 7 8.62578 0.04798 6 0.00000
13 8 8.78671 1.87196 6 0.00001
13 9 10.43422 2.25099 6 0.00002
14 1 0.69383 320.85200 6 0.00980
14 2 1.41331 200.30400 6 0.00648
14 3 2.25324 99.69520 6 0.00510
14 4 5.11893 2.14676 6 0.00001
14 5 5.40856 8.07973 6 0.00012
14 6 7.03553 4.99220 6 0.00004
14 7 8.62758 0.03732 6 0.00000
14 8 8.79693 1.50837 6 0.00001
14 9 10.40031 2.32983 6 0.00002
15 1 0.78930 317.14400 6 0.01010
15 2 1.51205 137.34400 6 0.00435
15 3 2.40973 124.96900 6 0.00624
15 4 5.13146 2.22893 6 0.00001
15 5 5.45505 7.54164 6 0.00011
15 6 7.00624 5.24511 6 0.00005
15 7 8.62914 0.02610 6 0.00000
15 8 8.80628 1.16160 6 0.00000
15 9 10.36451 2.60251 6 0.00002
16 1 0.88866 238.62300 6 0.00788
16 2 1.60867 108.73800 6 0.00337
16 3 2.56266 103.01000 6 0.00501
16 4 5.14444 2.31175 6 0.00001
16 5 5.50188 7.87700 6 0.00011
16 6 6.97569 5.47648 6 0.00005
16 7 8.63040 0.01588 6 0.00000
16 8 8.81483 0.88679 6 0.00000
16 9 10.32686 2.81906 6 0.00003
17 1 0.99146 207.01800 6 0.00704
17 2 1.70307 86.44290 6 0.00261
17 3 2.71181 112.83100 6 0.00534
17 4 5.15781 2.30903 6 0.00001
17 5 5.54877 8.41879 6 0.00012
17 6 6.94406 5.68936 6 0.00005
17 7 8.63126 0.00710 6 0.00000
17 8 8.82262 0.63850 6 0.00000
17 9 10.28753 3.02419 6 0.00003
18 1 1.09729 173.05800 6 0.00604
18 2 1.79513 81.65620 6 0.00240
18 3 2.85697 85.31970 6 0.00392
18 4 5.17148 2.22143 6 0.00001
18 5 5.59533 8.55845 6 0.00012
18 6 6.91154 5.83819 6 0.00006
18 7 8.63174 0.00035 6 0.00000
18 8 8.82979 0.54064 6 0.00000
18 9 10.24655 3.24872 6 0.00004
19 1 1.20568 173.03800 6 0.00616
19 2 1.88474 68.55030 6 0.00196
19 3 2.99795 69.90930 6 0.00311
19 4 5.18533 2.44677 6 0.00001
19 5 5.64134 8.50762 6 0.00012
19 6 6.87829 5.90809 6 0.00006
19 7 8.63174 0.00476 6 0.00000
19 8 8.83647 0.41784 6 0.00000
19 9 10.20407 3.49160 6 0.00004
20 1 1.31625 166.70700 6 0.00604
20 2 1.97178 59.18380 6 0.00164
20 3 3.13457 60.98900 6 0.00262
20 4 5.19936 2.53289 6 0.00001
20 5 5.68652 8.35449 6 0.00011
20 6 6.84450 5.89334 6 0.00006
20 7 8.63126 0.01418 6 0.00000
20 8 8.84277 0.33394 6 0.00000
20 9 10.16015 3.57861 6 0.00004
21 1 1.42859 145.45500 6 0.00534
21 2 2.05615 51.15600 6 0.00137
21 3 3.26660 55.60400 6 0.00230
21 4 5.21342 2.57688 6 0.00001
21 5 5.73065 7.98768 6 0.00011
21 6 6.81042 6.16389 6 0.00006
21 7 8.63022 0.02659 6 0.00000
21 8 8.84879 0.28022 6 0.00000
21 9 10.11488 3.34161 6 0.00004
22 1 1.54230 118.69700 6 0.00440
22 2 2.13775 39.90350 6 0.00103
22 3 3.39386 49.48840 6 0.00197
22 4 5.22748 2.59529 6 0.00001
22 5 5.77352 7.01977 6 0.00009
22 6 6.77630 6.26696 6 0.00006
22 7 8.62863 0.04279 6 0.00000
22 8 8.85470 0.25015 6 0.00000
22 9 10.06838 3.57907 6 0.00004
23 1 1.65702 91.80620 6 0.00342
23 2 2.21649 41.26030 6 0.00103
23 3 3.51615 42.17420 6 0.00160
23 4 5.24148 2.60154 6 0.00001
23 5 5.81495 7.47853 6 0.00009
23 6 6.74239 6.26472 6 0.00006
23 7 8.62644 0.06158 6 0.00000
23 8 8.86049 0.23736 6 0.00000
