# 8x8x1 supercell
"q (normalized)" f1 f2 f3 f4 f5 f6 f7 f8 f9
0.00000 0.00000 0.00000 0.00000 5.03041 5.03041 7.24374 8.60680 8.74439 10.64646
0.00667 0.00999 0.06524 0.10565 5.03059 5.03157 7.24331 8.60684 8.74537 10.64590
0.01333 0.02071 0.13048 0.21117 5.03115 5.03502 7.24201 8.60696 8.74823 10.64422
0.02000 0.03275 0.19573 0.31646 5.03207 5.04067 7.23983 8.60717 8.75266 10.64144
0.02667 0.04656 0.26098 0.42140 5.03337 5.04838 7.23680 8.60746 8.75825 10.63757
0.03333 0.06245 0.32623 0.52591 5.03504 5.05800 7.23292 8.60783 8.76452 10.63265
0.04000 0.08056 0.39148 0.62990 5.03707 5.06935 7.22818 8.60829 8.77097 10.62669
0.04667 0.10095 0.45672 0.73329 5.03947 5.08225 7.22259 8.60885 8.77720 10.61972
0.05333 0.12365 0.52195 0.83603 5.04224 5.09657 7.21616 8.60949 8.78285 10.61178
0.06000 0.14863 0.58716 0.93805 5.04537 5.11215 7.20889 8.61023 8.78771 10.60288
0.06667 0.17587 0.65233 1.03930 5.04886 5.12889 7.20078 8.61107 8.79165 10.59306
0.07333 0.20532 0.71745 1.13975 5.05271 5.14668 7.19184 8.61200 8.79461 10.58232
0.08000 0.23694 0.78252 1.23934 5.05691 5.16545 7.18207 8.61304 8.79662 10.57070
0.08667 0.27069 0.84751 1.33802 5.06147 5.18511 7.17149 8.61417 8.79778 10.55821
0.09333 0.30652 0.91242 1.43577 5.06637 5.20561 7.16010 8.61539 8.79819 10.54488
0.10000 0.34440 0.97721 1.53253 5.07162 5.22688 7.14792 8.61671 8.79801 10.53073
0.10667 0.38427 1.04189 1.62827 5.07722 5.24888 7.13497 8.61811 8.79738 10.51577
0.11333 0.42608 1.10641 1.72293 5.08314 5.27154 7.12127 8.61959 8.79647 10.50003
0.12000 0.46977 1.17078 1.81650 5.08940 5.29482 7.10685 8.62114 8.79543 10.48352
0.12667 0.51530 1.23496 1.90891 5.09599 5.31865 7.09174 8.62276 8.79441 10.46626
0.13333 0.56259 1.29894 2.00013 5.10289 5.34300 7.07597 8.62442 8.79354 10.44828
0.14000 0.61157 1.36268 2.09012 5.11012 5.36780 7.05959 8.62612 8.79292 10.42958
0.14667 0.66217 1.42618 2.17883 5.11764 5.39298 7.04263 8.62785 8.79267 10.41020
0.15333 0.71432 1.48941 2.26623 5.12547 5.41850 7.02513 8.62959 8.79284 10.39015
0.16000 0.76793 1.55234 2.35226 5.13360 5.44429 7.00715 8.63134 8.79350 10.36945
0.16667 0.82292 1.61496 2.43688 5.14202 5.47029 6.98872 8.63309 8.79468 10.34812
0.17333 0.87918 1.67724 2.52004 5.15072 5.49643 6.96990 8.63483 8.79638 10.32617
0.18000 0.93664 1.73917 2.60171 5.15970 5.52265 6.95074 8.63654 8.79861 10.30362
0.18667 0.99520 1.80072 2.68183 5.16894 5.54888 6.93127 8.63824 8.80135 10.28050
0.19333 1.05475 1.86187 2.76036 5.17845 5.57505 6.91155 8.63990 8.80454 10.25682
0.20000 1.11520 1.92261 2.83724 5.18822 5.60111 6.89161 8.64154 8.80815 10.23260
0.20667 1.17646 1.98292 2.91244 5.19824 5.62699 6.87150 8.64313 8.81211 10.20785
0.21333 1.23842 2.04278 2.98590 5.20850 5.65262 6.85126 8.64468 8.81636 10.18261
0.22000 1.30098 2.10218 3.05757 5.21900 5.67795 6.83093 8.64617 8.82084 10.15688
0.22667 1.36406 2.16111 3.12742 5.22974 5.70293 6.81054 8.64759 8.82548 10.13068
0.23333 1.42756 2.21955 3.19538 5.24070 5.72749 6.79013 8.64894 8.83020 10.10404
0.24000 1.49139 2.27750 3.26141 5.25189 5.75159 6.76972 8.65020 8.83496 10.07699
0.24667 1.55546 2.33494 3.32546 5.26331 5.77517 6.74936 8.65135 8.83967 10.04953
0.25333 1.61969 2.39186 3.38749 5.27493 5.79821 6.72908 8.65237 8.84431 10.02170
0.26000 1.68398 2.44826 3.44744 5.28677 5.82065 6.70890 8.65326 8.84882 9.99351
0.26667 1.74828 2.50414 3.50527 5.29882 5.84246 6.68887 8.65398 8.85316 9.96501
0.27333 1.81249 2.55948 3.56093 5.31107 5.86362 6.66901 8.65452 8.85731 9.93620
0.28000 1.87656 2.61427 3.61437 5.32353 5.88408 6.64936 8.65486 8.86126 9.90713
0.28667 1.94041 2.66853 3.66554 5.33618 5.90382 6.62995 8.65498 8.86499 9.87782
0.29333 2.00399 2.72223 3.71442 5.34903 5.92283 6.61083 8.65485 8.86852 9.84831
0.30000 2.06723 2.77538 3.76094 5.36208 5.94109 6.59203 8.65445 8.87185 9.81862
0.30667 2.13007 2.82797 3.80509 5.37532 5.95857 6.57359 8.65377 8.87500 9.78880
0.31333 2.19247 2.87999 3.84681 5.38875 5.97527 6.55555 8.65279 8.87802 9.75888
0.32000 2.25438 2.93144 3.88608 5.40237 5.99117 6.53796 8.65148 8.88093 9.72891
0.32667 2.31575 2.98230 3.92288 5.41617 6.00626 6.52085 8.64984 8.88377 9.69891
0.33333 2.37654 3.03258 3.95718 5.43016 6.02054 6.50426 8.64786 8.88659 9.66894
0.34000 2.43671 3.08226 3.98898 5.44432 6.03400 6.48825 8.64551 8.88943 9.63904
0.34667 2.49622 3.13133 4.01827 5.45866 6.04663 6.47283 8.64281 8.89234 9.60925
0.35333 2.55503 3.17977 4.04506 5.47317 6.05842 6.45804 8.63974 8.89538 9.57961
0.36000 2.61311 3.22756 4.06937 5.48784 6.06938 6.44391 8.63631 8.89857 9.55018
0.36667 2.67043 3.27468 4.09123 5.50268 6.07950 6.43046 8.63254 8.90196 9.52099
0.37333 2.72695 3.32110 4.11071 5.51768 6.08877 6.41771 8.62842 8.90558 9.49210
0.38000 2.78264 3.36678 4.12785 5.53282 6.09720 6.40565 8.62397 8.90947 9.46355
0.38667 2.83747 3.41169 4.14274 5.54810 6.10477 6.39429 8.61922 8.91365 9.43539
0.39333 2.89142 3.45577 4.15549 5.56352 6.11149 6.38361 8.61418 8.91812 9.40766
0.40000 2.94445 3.49894 4.16622 5.57905 6.11736 6.37359 8.60886 8.92291 9.38040
0.40667 2.99653 3.54114 4.17509 5.59470 6.12238 6.36421 8.60331 8.92802 9.35366
0.41333 3.04764 3.58224 4.18229 5.61045 6.12654 6.35543 8.59753 8.93346 9.32748
0.42000 3.09773 3.62212 4.18803 5.62629 6.12986 6.34719 8.59155 8.93920 9.30189
0.42667 3.14680 3.66061 4.19259 5.64219 6.13233 6.33945 8.58539 8.94526 9.27694
