# 8x8x1 supercell
"q (normalized)" f1 f2 f3 f4 f5 f6 f7 f8 f9
0.00000 0.00000 0.00000 0.00000 5.03041 5.03041 7.24374 8.60680 8.74439 10.64646
0.01000 0.00863 0.05641 0.09155 5.03054 5.03128 7.24342 8.60683 8.74513 10.64603
0.02000 0.01773 0.11281 0.18303 5.03096 5.03387 7.24244 8.60692 8.74729 10.64478
0.03000 0.02771 0.16917 0.27438 5.03166 5.03814 7.24081 8.60708 8.75071 10.64269
0.04000 0.03892 0.22549 0.36554 5.03263 5.04400 7.23854 8.60729 8.75514 10.63978
0.05000 0.05157 0.28173 0.45644 5.03388 5.05136 7.23562 8.60757 8.76027 10.63606
0.06000 0.06583 0.33789 0.54706 5.03540 5.06010 7.23206 8.60792 8.76578 10.63156
0.07000 0.08177 0.39395 0.63733 5.03720 5.07011 7.22786 8.60833 8.77137 10.62628
0.08000 0.09944 0.44988 0.72722 5.03927 5.08129 7.22302 8.60881 8.77676 10.62026
0.09000 0.11885 0.50568 0.81671 5.04162 5.09353 7.21755 8.60936 8.78174 10.61349
0.10000 0.13997 0.56131 0.90575 5.04423 5.10674 7.21146 8.60998 8.78614 10.60601
0.11000 0.16281 0.61677 0.99433 5.04711 5.12086 7.20473 8.61067 8.78987 10.59783
0.12000 0.18734 0.67203 1.08243 5.05025 5.13580 7.19738 8.61144 8.79287 10.58895
0.13000 0.21353 0.72708 1.17001 5.05366 5.15150 7.18941 8.61228 8.79515 10.57941
0.14000 0.24136 0.78189 1.25705 5.05731 5.16793 7.18083 8.61318 8.79672 10.56920
0.15000 0.27080 0.83644 1.34355 5.06122 5.18503 7.17163 8.61416 8.79764 10.55835
0.16000 0.30183 0.89071 1.42947 5.06537 5.20277 7.16184 8.61520 8.79801 10.54686
0.17000 0.33442 0.94468 1.51480 5.06976 5.22110 7.15145 8.61631 8.79790 10.53476
0.18000 0.36854 0.99833 1.59951 5.07438 5.23999 7.14049 8.61747 8.79741 10.52205
0.19000 0.40417 1.05164 1.68359 5.07923 5.25941 7.12897 8.61868 8.79665 10.50874
0.20000 0.44128 1.10459 1.76702 5.08429 5.27933 7.11690 8.61993 8.79571 10.49486
0.21000 0.47982 1.15715 1.84977 5.08956 5.29971 7.10430 8.62121 8.79471 10.48041
0.22000 0.51978 1.20930 1.93183 5.09502 5.32052 7.09121 8.62252 8.79372 10.46541
0.23000 0.56110 1.26103 2.01317 5.10067 5.34173 7.07764 8.62384 8.79283 10.44986
0.24000 0.60374 1.31232 2.09377 5.10650 5.36330 7.06362 8.62515 8.79212 10.43379
0.25000 0.64767 1.36313 2.17361 5.11250 5.38519 7.04918 8.62645 8.79164 10.41720
0.26000 0.69284 1.41346 2.25268 5.11864 5.40738 7.03434 8.62772 8.79147 10.40011
0.27000 0.73920 1.46328 2.33093 5.12493 5.42982 7.01915 8.62895 8.79164 10.38252
0.28000 0.78669 1.51258 2.40836 5.13134 5.45248 7.00364 8.63012 8.79218 10.36446
0.29000 0.83527 1.56134 2.48494 5.13787 5.47532 6.98783 8.63120 8.79312 10.34594
0.30000 0.88488 1.60953 2.56064 5.14450 5.49829 6.97177 8.63220 8.79448 10.32696
0.31000 0.93547 1.65715 2.63545 5.15123 5.52136 6.95548 8.63309 8.79626 10.30754
0.32000 0.98697 1.70417 2.70933 5.15803 5.54448 6.93901 8.63386 8.79846 10.28770
0.33000 1.03932 1.75059 2.78225 5.16490 5.56763 6.92239 8.63448 8.80106 10.26743
0.34000 1.09248 1.79638 2.85421 5.17182 5.59075 6.90564 8.63496 8.80405 10.24677
0.35000 1.14637 1.84153 2.92516 5.17879 5.61382 6.88880 8.63527 8.80741 10.22571
0.36000 1.20094 1.88603 2.99509 5.18579 5.63678 6.87191 8.63540 8.81110 10.20427
0.37000 1.25612 1.92987 3.06396 5.19280 5.65960 6.85499 8.63534 8.81510 10.18247
0.38000 1.31186 1.97303 3.13175 5.19983 5.68225 6.83807 8.63509 8.81937 10.16031
0.39000 1.36809 2.01550 3.19844 5.20686 5.70468 6.82117 8.63463 8.82388 10.13781
0.40000 1.42477 2.05727 3.26399 5.21388 5.72688 6.80434 8.63397 8.82857 10.11498
0.41000 1.48182 2.09833 3.32839 5.22088 5.74878 6.78758 8.63309 8.83341 10.09184
0.42000 1.53920 2.13868 3.39159 5.22786 5.77038 6.77094 8.63200 8.83837 10.06840
0.43000 1.59684 2.17829 3.45358 5.23480 5.79164 6.75442 8.63069 8.84340 10.04468
