# 8x8x1 supercell for harmonic, 6x6x1 supercell for cubic ifcs
# 100x100x1 k points for kappa
# cubic ifcs up to 8NN shell trained with ordinary least squares by 200 configurations.
# Temperature = 300 K
"k index (irred.)" "branch index" "f (THz)" "1/tau_3ph (THz)" "1/tau_iso (THz)"
1 1 0.00000 0.00000 0.00000
1 2 0.00000 0.00000 0.00000
1 3 0.00000 0.00000 0.00000
1 4 5.03076 0.13600 0.00000
1 5 5.03076 0.13600 0.00000
1 6 7.24427 0.13290 0.00000
1 7 8.60707 0.12473 0.33580
1 8 8.60707 0.12473 0.33580
1 9 10.64680 0.26975 0.00000
2 1 0.01222 0.00001 0.00000
2 2 0.11333 0.00171 0.00000
2 3 0.18112 0.00276 0.00000
2 4 5.03133 0.13256 0.03062
2 5 5.03364 0.13371 0.02111
2 6 7.24284 0.13320 0.04846
2 7 8.60725 0.12501 0.64214
2 8 8.66304 0.12680 0.01765
2 9 10.64518 0.27095 0.11035
3 1 0.02909 0.00008 0.00000
3 2 0.22648 0.00271 0.00000
3 3 0.36194 0.00337 0.00000
3 4 5.03304 0.13262 0.02096
3 5 5.04218 0.13449 0.02199
3 6 7.23858 0.13349 0.02847
3 7 8.60782 0.12500 0.51185
3 8 8.66799 0.12728 0.02071
3 9 10.64038 0.27255 0.06246
4 1 0.05314 0.00020 0.00000
4 2 0.33930 0.00384 0.00000
4 3 0.54218 0.00427 0.00001
4 4 5.03588 0.13663 0.02142
4 5 5.05621 0.13585 0.02282
4 6 7.23156 0.13369 0.02974
4 7 8.60875 0.12508 0.52542
4 8 8.67581 0.12856 0.02300
4 9 10.63241 0.27478 0.06553
5 1 0.08516 0.00040 0.00000
5 2 0.45160 0.00681 0.00001
5 3 0.72156 0.00588 0.00003
5 4 5.03984 0.13533 0.02246
5 5 5.07540 0.14030 0.02340
5 6 7.22185 0.13349 0.03042
5 7 8.60998 0.12502 0.53874
5 8 8.68598 0.12983 0.02547
5 9 10.62138 0.27843 0.06749
6 1 0.12524 0.00066 0.00000
6 2 0.56324 0.00745 0.00001
6 3 0.89979 0.00546 0.00006
6 4 5.04488 0.13877 0.02255
6 5 5.09938 0.15823 0.02457
6 6 7.20962 0.13303 0.03083
6 7 8.61151 0.12503 0.55814
6 8 8.69779 0.13160 0.02840
6 9 10.60732 0.28381 0.06904
7 1 0.17314 0.00105 0.00000
7 2 0.67404 0.00985 0.00002
7 3 1.07660 0.00732 0.00010
7 4 5.05096 0.15138 0.02301
7 5 5.12771 0.16706 0.02563
7 6 7.19493 0.13215 0.03106
7 7 8.61331 0.12487 0.57635
7 8 8.71074 0.13366 0.03193
7 9 10.59035 0.29560 0.07042
8 1 0.22853 0.00233 0.00001
