# freq[thz] kappa[W/m/K]
0.00000000 0.00000000
0.00299792 0.00000000
0.00599584 0.39838545
0.00899376 0.88332340
0.01199168 0.99890675
0.01498960 1.04099875
0.01798752 1.06122240
0.02098544 1.07299250
0.02398336 1.08176635
0.02698128 1.09152880
0.02997920 1.10593295
0.03297712 1.12998170
0.03597504 1.31139810
0.03897296 2.01106285
0.04197088 3.17772425
0.04496880 4.15532470
0.04796672 4.56846345
0.05096464 4.68434425
0.05396256 4.77484835
0.05696048 4.85902585
0.05995840 4.93953045
0.06295632 5.01776395
0.06595424 5.09409945
0.06895216 5.16886515
0.07195008 5.24270725
0.07494800 5.31646540
0.07794592 5.39058690
0.08094384 5.46495765
0.08394176 5.53896610
0.08693968 5.61242500
0.08993760 5.68546405
0.09293552 5.75790985
0.09593344 5.82967320
0.09893136 5.90089560
0.10192928 5.97153320
0.10492720 6.04230245
0.10792512 6.11361000
0.11092304 6.18508800
0.11392096 6.25664860
0.11691888 6.32817080
0.11991680 6.39953165
0.12291472 6.47060980
0.12591264 6.54131660
0.12891056 6.61162940
0.13190848 6.68167960
0.13490640 6.75158735
0.13790432 6.82180840
0.14090224 6.89282595
0.14390016 6.96443815
0.14689808 7.03636870
0.14989600 7.10860850
0.15289392 7.18103260
0.15589184 7.25353345
0.15888976 7.32607450
0.16188768 7.39859775
0.16488560 7.47112165
0.16788352 7.54353355
0.17088144 7.61610635
0.17387936 7.68892575
0.17687728 7.76157405
0.17987520 7.83375205
0.18287312 7.90517800
0.18587104 7.97579090
0.18886896 8.04559860
0.19186688 8.11458870
0.19486480 8.18270430
0.19786272 8.24984945
0.20086064 8.31600905
0.20385856 8.38149130
0.20685648 8.44674155
0.20985440 8.51189515
0.21285232 8.57688855
0.21585024 8.64176620
0.21884816 8.70657395
0.22184608 8.77126940
0.22484400 8.83581950
0.22784192 8.90015195
0.23083984 8.96420890
0.23383776 9.02797470
0.23683568 9.09162125
0.23983360 9.15526535
0.24283152 9.21880890
0.24582944 9.28213920
0.24882736 9.34521205
0.25182528 9.40808000
0.25482320 9.47075065
0.25782112 9.53321495
0.26081904 9.59547320
0.26381696 9.65747010
0.26681488 9.71919025
0.26981280 9.78080580
0.27281072 9.84239475
0.27580864 9.90386075
0.27880656 9.96514010
0.28180448 10.02611990
0.28480240 10.08670600
0.28780032 10.14687960
0.29079824 10.20661525
0.29379616 10.26588910
0.29679408 10.32469030
0.29979200 10.38300625
0.30278992 10.44098050
0.30578784 10.49878840
0.30878576 10.55640915
0.31178368 10.61378965
0.31478160 10.67089875
0.31777952 10.72768120
0.32077744 10.78411835
0.32377536 10.84025235
0.32677328 10.89612645
0.32977120 10.95179155
0.33276912 11.00730265
0.33576704 11.06281135
0.33876496 11.11839035
0.34176288 11.17402075
0.34476080 11.22973660
0.34775872 11.28555360
0.35075664 11.34149790
0.35375456 11.39759145
0.35675248 11.45383615
0.35975040 11.51021700
0.36274832 11.56673740
0.36574624 11.62339470
0.36874416 11.68021320
0.37174208 11.73720860
0.37474000 11.79428890
0.37773792 11.85133175
0.38073584 11.90822100
0.38373376 11.96486790
0.38673168 12.02122655
0.38972960 12.07726525
0.39272752 12.13296520
0.39572544 12.18831585
0.39872336 12.24329730
0.40172128 12.29791500
0.40471920 12.35214555
0.40771712 12.40592185
0.41071504 12.45920515
0.41371296 12.51196750
0.41671088 12.56418610
0.41970880 12.61583660
0.42270672 12.66688745
0.42570464 12.71734140
0.42870256 12.76721880
0.43170048 12.81653175
0.43469840 12.86536060
0.43769632 12.91380990
0.44069424 12.96193765
0.44369216 13.00976905
0.44669008 13.05734475
0.44968800 13.10473750
0.45268592 13.15201900
0.45568384 13.19924795
0.45868176 13.24647230
0.46167968 13.29373410
0.46467760 13.34106805
0.46767552 13.38852005
0.47067344 13.43614065
0.47367136 13.48394980
0.47666928 13.53195905
0.47966720 13.58016250
0.48266512 13.62851935
0.48566304 13.67698380
0.48866096 13.72550095
0.49165888 13.77401405
0.49465680 13.82248830
0.49765472 13.87089960
0.50065264 13.91924490
0.50365056 13.96748455
0.50664848 14.01554725
0.50964640 14.06339275
0.51264432 14.11098400
0.51564224 14.15830460
0.51864016 14.20536340
0.52163808 14.25217565
0.52463600 14.29875860
0.52763392 14.34514265
0.53063184 14.39134985
0.53362976 14.43741915
0.53662768 14.48336260
0.53962560 14.52912900
0.54262352 14.57467835
0.54562144 14.61998115
0.54861936 14.66501135
0.55161728 14.70974905
0.55461520 14.75418145
0.55761312 14.79830765
0.56061104 14.84213275
0.56360896 14.88568775
0.56660688 14.92906240
0.56960480 14.97231985
0.57260272 15.01547605
0.57560064 15.05855430
0.57859856 15.10158395
0.58159648 15.14458380
0.58459440 15.18755400
0.58759232 15.23047490
0.59059024 15.27332560
0.59358816 15.31610880
0.59658608 15.35883060
0.59958400 15.40152530
0.60258192 15.44420995
0.60557984 15.48687340
0.60857776 15.52952205
0.61157568 15.57215510
0.61457360 15.61476650
0.61757152 15.65735665
0.62056944 15.69993260
0.62356736 15.74250440
0.62656528 15.78508085
0.62956320 15.82767445
0.63256112 15.87032680
0.63555904 15.91304615
0.63855696 15.95578530
0.64155488 15.99852615
0.64455280 16.04127260
0.64755072 16.08402315
0.65054864 16.12677210
0.65354656 16.16950870
0.65654448 16.21222055
0.65954240 16.25489530
0.66254032 16.29752965
0.66553824 16.34015810
0.66853616 16.38280150
0.67153408 16.42544010
0.67453200 16.46805540
0.67752992 16.51063110
0.68052784 16.55315530
0.68352576 16.59563335
0.68652368 16.63806560
0.68952160 16.68043150
0.69251952 16.72272950
0.69551744 16.76499420
0.69851536 16.80726355
0.70151328 16.84955255
0.70451120 16.89186910
0.70750912 16.93422245
0.71050704 16.97662360
0.71350496 17.01908850
0.71650288 17.06163080
0.71950080 17.10425625
0.72249872 17.14697255
0.72549664 17.18978815
0.72849456 17.23272870
0.73149248 17.27584755
0.73449040 17.31920840
0.73748832 17.36284900
0.74048624 17.40678380
0.74348416 17.45101975
0.74648208 17.49554845
0.74948000 17.54036445
0.75247792 17.58546215
0.75547584 17.63083320
0.75847376 17.67646940
0.76147168 17.72237600
0.76446960 17.76853620
0.76746752 17.81490220
0.77046544 17.86143585
0.77346336 17.90810720
0.77646128 17.95489670
0.77945920 18.00179380
0.78245712 18.04879105
0.78545504 18.09589315
0.78845296 18.14310220
0.79145088 18.19040610
0.79444880 18.23780900
0.79744672 18.28529840
0.80044464 18.33283605
0.80344256 18.38040275
0.80644048 18.42798885
0.80943840 18.47558410
0.81243632 18.52318010
0.81543424 18.57076885
0.81843216 18.61834320
0.82143008 18.66589655
0.82442800 18.71343080
0.82742592 18.76095875
0.83042384 18.80848380
0.83342176 18.85600250
0.83641968 18.90352890
0.83941760 18.95106680
0.84241552 18.99860220
0.84541344 19.04612435
0.84841136 19.09362260
0.85140928 19.14108885
0.85440720 19.18851570
0.85740512 19.23590130
0.86040304 19.28324290
0.86340096 19.33052535
0.86639888 19.37772830
0.86939680 19.42483035
0.87239472 19.47181260
0.87539264 19.51866135
0.87839056 19.56536555
0.88138848 19.61191770
0.88438640 19.65831040
0.88738432 19.70455035
0.89038224 19.75065880
0.89338016 19.79663680
0.89637808 19.84247445
0.89937600 19.88816890
0.90237392 19.93371715
0.90537184 19.97911895
0.90836976 20.02437760
0.91136768 20.06949740
0.91436560 20.11447805
0.91736352 20.15931835
0.92036144 20.20402280
0.92335936 20.24861665
0.92635728 20.29311830
0.92935520 20.33752340
0.93235312 20.38183175
0.93535104 20.42604720
0.93834896 20.47018570
0.94134688 20.51425410
0.94434480 20.55824625
0.94734272 20.60216240
0.95034064 20.64600395
0.95333856 20.68977835
0.95633648 20.73349380
0.95933440 20.77714540
0.96233232 20.82072580
0.96533024 20.86423725
0.96832816 20.90768780
0.97132608 20.95108635
0.97432400 20.99443640
0.97732192 21.03773995
0.98031984 21.08100140
0.98331776 21.12422480
0.98631568 21.16742315
0.98931360 21.21062080
0.99231152 21.25382710
0.99530944 21.29703535
0.99830736 21.34024330
1.00130528 21.38344900
1.00430320 21.42665045
1.00730112 21.46985110
1.01029904 21.51305765
1.01329696 21.55627960
1.01629488 21.59952690
1.01929280 21.64282175
1.02229072 21.68617935
1.02528864 21.72959455
1.02828656 21.77306325
1.03128448 21.81657900
1.03428240 21.86012995
1.03728032 21.90370095
1.04027824 21.94728865
1.04327616 21.99088025
1.04627408 22.03444590
1.04927200 22.07796760
1.05226992 22.12142785
1.05526784 22.16479955
1.05826576 22.20805945
1.06126368 22.25119620
1.06426160 22.29420340
1.06725952 22.33707965
1.07025744 22.37982805
1.07325536 22.42245330
1.07625328 22.46496335
1.07925120 22.50736755
1.08224912 22.54968520
1.08524704 22.59193335
1.08824496 22.63411700
1.09124288 22.67625520
1.09424080 22.71835755
1.09723872 22.76042060
1.10023664 22.80244585
1.10323456 22.84443075
1.10623248 22.88637595
1.10923040 22.92828195
1.11222832 22.97014800
1.11522624 23.01198250
1.11822416 23.05378895
1.12122208 23.09556315
1.12422000 23.13730850
1.12721792 23.17902720
1.13021584 23.22071740
1.13321376 23.26237860
1.13621168 23.30401360
1.13920960 23.34563300
1.14220752 23.38724925
1.14520544 23.42887080
1.14820336 23.47049850
1.15120128 23.51212575
1.15419920 23.55374780
1.15719712 23.59535665
1.16019504 23.63694840
1.16319296 23.67852580
1.16619088 23.72008860
1.16918880 23.76163465
1.17218672 23.80316125
1.17518464 23.84466545
1.17818256 23.88615330
1.18118048 23.92762555
1.18417840 23.96907330
1.18717632 24.01049435
1.19017424 24.05190130
1.19317216 24.09330170
1.19617008 24.13468540
1.19916800 24.17604425
1.20216592 24.21737230
1.20516384 24.25866510
1.20816176 24.29992560
1.21115968 24.34115700
1.21415760 24.38235665
1.21715552 24.42352290
1.22015344 24.46465085
1.22315136 24.50573805
1.22614928 24.54678895
1.22914720 24.58780625
1.23214512 24.62879130
1.23514304 24.66974615
1.23814096 24.71067270
