# L[nm] kappa[W/m/K]
0.00000000 0.00000000
5.00000000 0.56559800
10.00000000 1.28825000
15.00000000 1.90399000
20.00000000 2.85343000
25.00000000 4.76289000
30.00000000 6.66908000
35.00000000 7.46934000
40.00000000 8.39553000
45.00000000 9.19708000
50.00000000 10.06680000
55.00000000 10.93550000
60.00000000 11.57550000
65.00000000 12.11190000
70.00000000 12.59300000
75.00000000 13.01290000
80.00000000 13.45990000
85.00000000 13.90470000
90.00000000 14.43670000
95.00000000 15.19330000
100.00000000 16.03330000
105.00000000 17.03090000
110.00000000 17.87890000
115.00000000 18.80350000
120.00000000 19.50810000
125.00000000 20.12590000
130.00000000 20.96480000
135.00000000 21.73890000
140.00000000 22.54550000
145.00000000 23.33960000
150.00000000 24.11400000
155.00000000 24.99260000
160.00000000 25.75740000
165.00000000 26.28850000
170.00000000 26.79220000
175.00000000 27.29850000
180.00000000 27.69620000
185.00000000 28.05610000
190.00000000 28.39830000
195.00000000 28.85210000
200.00000000 29.23820000
205.00000000 29.82680000
210.00000000 30.22100000
215.00000000 30.78200000
220.00000000 31.60350000
225.00000000 32.29410000
230.00000000 32.88180000
235.00000000 33.33050000
240.00000000 34.11130000
245.00000000 34.98940000
250.00000000 35.27730000
255.00000000 35.47630000
260.00000000 35.55210000
265.00000000 35.67500000
270.00000000 35.74590000
275.00000000 35.83860000
280.00000000 35.93680000
285.00000000 36.00460000
290.00000000 36.10790000
295.00000000 36.15780000
300.00000000 36.25420000
305.00000000 36.34980000
310.00000000 36.51210000
315.00000000 36.59360000
320.00000000 36.69220000
325.00000000 36.92230000
330.00000000 37.03860000
335.00000000 37.17400000
340.00000000 37.30240000
345.00000000 37.42730000
350.00000000 37.63440000
355.00000000 37.84980000
360.00000000 38.25260000
365.00000000 38.47550000
370.00000000 38.59410000
375.00000000 38.70290000
380.00000000 38.85560000
385.00000000 38.97750000
390.00000000 39.07490000
395.00000000 39.28080000
400.00000000 39.47430000
405.00000000 39.61060000
410.00000000 39.74240000
415.00000000 39.80520000
420.00000000 39.85020000
425.00000000 39.88110000
430.00000000 39.90580000
435.00000000 39.96430000
440.00000000 40.01700000
445.00000000 40.10170000
450.00000000 40.18040000
455.00000000 40.23730000
460.00000000 40.27260000
465.00000000 40.28540000
470.00000000 40.31130000
475.00000000 40.33760000
480.00000000 40.40230000
485.00000000 40.43890000
490.00000000 40.46560000
495.00000000 40.46630000
500.00000000 40.47990000
505.00000000 40.53160000
510.00000000 40.59600000
515.00000000 40.71090000
520.00000000 40.72460000
525.00000000 40.73850000
530.00000000 40.75230000
535.00000000 40.81330000
540.00000000 40.86150000
545.00000000 40.88790000
550.00000000 40.95710000
555.00000000 40.98420000
560.00000000 41.02590000
565.00000000 41.05460000
570.00000000 41.13900000
575.00000000 41.21740000
580.00000000 41.27430000
585.00000000 41.28890000
590.00000000 41.30340000
595.00000000 41.39040000
600.00000000 41.43420000
605.00000000 41.46350000
610.00000000 41.58220000
615.00000000 41.64220000
620.00000000 41.65700000
625.00000000 41.70250000
630.00000000 41.73210000
635.00000000 41.79220000
640.00000000 41.79220000
645.00000000 41.90010000
650.00000000 41.93950000
655.00000000 41.97160000
660.00000000 42.00160000
665.00000000 42.03430000
670.00000000 42.03430000
675.00000000 42.09890000
680.00000000 42.13730000
685.00000000 42.17520000
690.00000000 42.17520000
695.00000000 42.20530000
700.00000000 42.20530000
705.00000000 42.27030000
710.00000000 42.27030000
715.00000000 42.30100000
720.00000000 42.34640000
725.00000000 42.39730000
730.00000000 42.45600000
735.00000000 42.45600000
740.00000000 42.48920000
745.00000000 42.50440000
750.00000000 42.52750000
755.00000000 42.52750000
760.00000000 42.52750000
765.00000000 42.52750000
770.00000000 42.54310000
775.00000000 42.55880000
780.00000000 42.55880000
785.00000000 42.55880000
790.00000000 42.55880000
795.00000000 42.57450000
800.00000000 42.59040000
805.00000000 42.61420000
810.00000000 42.61420000
815.00000000 42.63010000
820.00000000 42.64610000
825.00000000 42.66210000
830.00000000 42.66210000
835.00000000 42.71880000
840.00000000 42.71880000
845.00000000 42.73500000
850.00000000 42.77650000
855.00000000 42.77650000
860.00000000 42.77650000
865.00000000 42.79280000
870.00000000 42.79280000
875.00000000 42.80920000
880.00000000 42.82560000
885.00000000 42.82560000
890.00000000 42.85050000
895.00000000 42.85870000
900.00000000 42.85870000
905.00000000 42.85870000
910.00000000 42.87540000
915.00000000 42.87540000
920.00000000 42.87540000
925.00000000 42.87540000
930.00000000 42.93780000
935.00000000 42.93780000
940.00000000 42.95480000
945.00000000 42.95810000
950.00000000 42.95810000
955.00000000 42.98140000
960.00000000 42.99850000
965.00000000 42.99850000
970.00000000 42.99850000
975.00000000 43.08070000
980.00000000 43.08070000
985.00000000 43.10660000
990.00000000 43.10660000
995.00000000 43.10660000
1000.00000000 43.15580000
1005.00000000 43.15580000
1010.00000000 43.17330000
1015.00000000 43.19820000
1020.00000000 43.19820000
1025.00000000 43.19820000
1030.00000000 43.19820000
1035.00000000 43.19820000
1040.00000000 43.21590000
1045.00000000 43.23380000
1050.00000000 43.23380000
1055.00000000 43.23380000
1060.00000000 43.23380000
1065.00000000 43.23380000
1070.00000000 43.25170000
1075.00000000 43.25170000
1080.00000000 43.26970000
1085.00000000 43.29680000
1090.00000000 43.29680000
1095.00000000 43.29680000
1100.00000000 43.41360000
1105.00000000 43.41360000
1110.00000000 43.41360000
1115.00000000 43.41360000
1120.00000000 43.41360000
1125.00000000 43.43190000
1130.00000000 43.43190000
1135.00000000 43.43190000
1140.00000000 43.43190000
1145.00000000 43.43190000
1150.00000000 43.43190000
1155.00000000 43.45050000
1160.00000000 43.46910000
1165.00000000 43.46910000
1170.00000000 43.46910000
1175.00000000 43.46910000
1180.00000000 43.46910000
1185.00000000 43.46910000
1190.00000000 43.48810000
1195.00000000 43.48810000
1200.00000000 43.48810000
1205.00000000 43.48810000
1210.00000000 43.59620000
1215.00000000 43.59620000
1220.00000000 43.59620000
1225.00000000 43.61550000
1230.00000000 43.61550000
1235.00000000 43.67620000
1240.00000000 43.67620000
1245.00000000 43.67620000
1250.00000000 43.67620000
1255.00000000 43.73790000
1260.00000000 43.73790000
1265.00000000 43.75050000
1270.00000000 43.75050000
1275.00000000 43.75050000
1280.00000000 43.75050000
1285.00000000 43.75050000
1290.00000000 43.75050000
1295.00000000 43.75050000
1300.00000000 43.75050000
1305.00000000 43.77070000
1310.00000000 43.77070000
1315.00000000 43.77070000
