# k j freq[thz] mfp[nm] kappa[W/m/K]
1.0 1.0 3.2898274704000002e-12 0.0 0.0
1.0 2.0 3.2898274704000002e-12 0.0 0.0
1.0 3.0 3.2898274704000002e-12 0.0 0.0
1.0 4.0 5.0354263488 0.0 0.0
1.0 5.0 5.0354263488 0.0 0.0
1.0 6.0 7.250019832 0.0 0.0
1.0 7.0 8.632240827199999 0.0 0.0
1.0 8.0 8.632240827199999 0.0 0.0
1.0 9.0 10.653708304 0.0 0.0
2.0 1.0 0.0030164171664 308278.0 0.135244
2.0 2.0 0.03810506216 12716.0 0.0523837
2.0 3.0 0.06054449336000001 329.277 0.00213311
2.0 4.0 5.0354863072 0.0723802 1.03249e-09
2.0 5.0 5.035696161600001 0.34927 2.31487e-08
2.0 6.0 7.2498699360000005 0.199889 6.4466e-09
2.0 7.0 8.632240827199999 0.000166783 3.25218e-13
2.0 8.0 9.0803099504 0.0836338 2.52711e-09
2.0 9.0 10.6535284288 0.0887943 2.6386e-09
3.0 1.0 0.0062507531376 24916.6 0.0100967
3.0 2.0 0.076202029936 6742.45 0.0277731
3.0 3.0 0.121076095664 242.114 0.00156837
3.0 4.0 5.035696161600001 0.14869 4.23995e-09
3.0 5.0 5.0365655584 0.692246 9.16613e-08
3.0 6.0 7.2494802064 0.389564 2.5107e-08
3.0 7.0 8.632240827199999 0.000624824 2.43408e-12
3.0 8.0 9.0796204288 0.161816 9.76123e-09
3.0 9.0 10.653048761600001 0.178758 1.06207e-08
4.0 1.0 0.0098963437744 6782.63 0.00234715
4.0 2.0 0.11428370832000001 4681.77 0.0192772
4.0 3.0 0.181582215648 223.897 0.00144985
4.0 4.0 5.0360259328 0.224126 9.5786e-09
4.0 5.0 5.03800456 1.03696 2.05584e-07
4.0 6.0 7.2487906848 0.578555 5.58551e-08
4.0 7.0 8.632240827199999 0.000978377 5.70666e-12
4.0 8.0 9.0784212608 0.24054 2.16993e-08
4.0 9.0 10.652209344000001 0.265517 2.36512e-08
5.0 1.0 0.0141074320608 2407.33 0.00061362
5.0 2.0 0.152341703136 3680.43 0.0151455
5.0 3.0 0.24204966246399998 217.552 0.00140804
5.0 4.0 5.0365056 0.296602 1.68816e-08
5.0 5.0 5.0400131664 1.37154 3.61642e-07
5.0 6.0 7.2478613296 0.767433 9.85997e-08
