k,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11
0.0,-6.7212,-3.2942,-3.2942,-3.1014,-2.2651,-2.2651,-1.5097,1.8423,1.8423,2.0945,2.0945
0.0067,-6.7206,-3.2955,-3.2937,-3.1031,-2.2659,-2.264,-1.5098,1.8405,1.8431,2.0916,2.0937
0.0133,-6.7188,-3.2994,-3.2923,-3.1083,-2.2685,-2.2609,-1.51,1.8351,1.8454,2.0831,2.0913
0.02,-6.7158,-3.3059,-3.2898,-3.1168,-2.2727,-2.2558,-1.5103,1.8262,1.8493,2.069,2.0874
0.0267,-6.7116,-3.3149,-3.2864,-3.1284,-2.2786,-2.2488,-1.5109,1.814,1.8547,2.0497,2.0819
0.0333,-6.7063,-3.3264,-3.282,-3.143,-2.2862,-2.2402,-1.5116,1.7985,1.8617,2.0256,2.0748
0.04,-6.6997,-3.3405,-3.2766,-3.1604,-2.2956,-2.2302,-1.5124,1.78,1.8701,1.997,2.0661
0.0467,-6.692,-3.3569,-3.2702,-3.1803,-2.3067,-2.2189,-1.5135,1.7588,1.8801,1.9643,2.056
0.0533,-6.6832,-3.3757,-3.2629,-3.2024,-2.3196,-2.2068,-1.5149,1.735,1.8914,1.9282,2.0443
0.06,-6.6732,-3.3969,-3.2547,-3.2265,-2.3344,-2.1938,-1.5165,1.7091,1.8889,1.9042,2.0311
0.0667,-6.662,-3.4203,-3.2525,-3.2455,-2.3509,-2.1804,-1.5184,1.6812,1.8469,1.9183,2.0164
0.0733,-6.6498,-3.4458,-3.2799,-3.2355,-2.3694,-2.1665,-1.5206,1.6518,1.8028,1.9338,2.0003
0.08,-6.6364,-3.4735,-3.3088,-3.2245,-2.3897,-2.1526,-1.5233,1.6211,1.7568,1.9505,1.9827
0.0867,-6.622,-3.5031,-3.3388,-3.2127,-2.412,-2.1386,-1.5263,1.5895,1.7093,1.9638,1.9685
0.0933,-6.6065,-3.5347,-3.3699,-3.2,-2.4362,-2.1248,-1.5298,1.5572,1.6607,1.9435,1.9876
0.1,-6.59,-3.5681,-3.4019,-3.1865,-2.4625,-2.1112,-1.5339,1.5245,1.6114,1.9219,2.0078
0.1067,-6.5725,-3.6032,-3.4346,-3.1721,-2.4907,-2.0979,-1.5385,1.4918,1.5615,1.899,2.029
0.1133,-6.554,-3.64,-3.4679,-3.157,-2.5209,-2.0852,-1.5437,1.4594,1.5114,1.8749,2.0512
0.12,-6.5345,-3.6782,-3.5018,-3.1412,-2.5531,-2.073,-1.5495,1.4273,1.4613,1.8497,2.0743
0.1267,-6.5141,-3.7179,-3.5361,-3.1247,-2.5874,-2.0613,-1.5561,1.396,1.4115,1.8235,2.0983
0.1333,-6.4928,-3.7589,-3.5707,-3.1075,-2.6237,-2.0504,-1.5635,1.3622,1.3656,1.7962,2.123
0.14,-6.4707,-3.8011,-3.6055,-3.0897,-2.6619,-2.0402,-1.5716,1.3135,1.3363,1.7681,2.1484
0.1467,-6.4478,-3.8444,-3.6405,-3.0713,-2.7021,-2.0307,-1.5806,1.2656,1.3083,1.7391,2.1744
0.1533,-6.4241,-3.8887,-3.6757,-3.0524,-2.7442,-2.0221,-1.5905,1.2187,1.2818,1.7094,2.2009
0.16,-6.3997,-3.9338,-3.7109,-3.0332,-2.7882,-2.0144,-1.6013,1.1729,1.2568,1.6791,2.2279
0.1667,-6.3746,-3.9797,-3.7461,-3.0135,-2.834,-2.0075,-1.613,1.1283,1.2334,1.6483,2.2552
0.1733,-6.3489,-4.0263,-3.7812,-2.9936,-2.8816,-2.0015,-1.6257,1.0851,1.2119,1.6172,2.2828
0.18,-6.3227,-4.0734,-3.8163,-2.9735,-2.9308,-1.9965,-1.6393,1.0433,1.1921,1.5858,2.3107
0.1867,-6.2959,-4.1209,-3.8513,-2.9815,-2.9533,-1.9925,-1.6538,1.003,1.1743,1.5544,2.3386
0.1933,-6.2688,-4.1687,-3.8861,-3.0338,-2.9332,-1.9894,-1.6691,0.9642,1.1584,1.523,2.3667
0.2,-6.2413,-4.2167,-3.9208,-3.0873,-2.9132,-1.9873,-1.6853,0.9269,1.1444,1.4919,2.3946
0.2067,-6.2135,-4.2647,-3.9553,-3.1421,-2.8936,-1.9863,-1.7021,0.8912,1.1325,1.4611,2.4225
0.2133,-6.1856,-4.3126,-3.9896,-3.198,-2.8745,-1.9863,-1.7195,0.857,1.1224,1.431,2.4502
0.22,-6.1576,-4.3603,-4.0238,-3.2548,-2.8561,-1.9873,-1.7374,0.8243,1.1143,1.4015,2.4777
0.2267,-6.1296,-4.4077,-4.0579,-3.3123,-2.8386,-1.9893,-1.7555,0.7931,1.1081,1.3731,2.5048
0.2333,-6.1018,-4.4545,-4.0918,-3.3705,-2.8222,-1.9924,-1.7738,0.7633,1.1037,1.3457,2.5315
0.24,-6.0744,-4.5006,-4.1257,-3.4291,-2.8073,-1.9965,-1.7918,0.7348,1.1012,1.3196,2.5577
0.2467,-6.0474,-4.5458,-4.1595,-3.4879,-2.7941,-2.0017,-1.8094,0.7076,1.1005,1.2949,2.5834
0.2533,-6.021,-4.59,-4.1935,-3.5467,-2.7829,-2.008,-1.8263,0.6817,1.1015,1.2719,2.6086
0.26,-5.9954,-4.6328,-4.2276,-3.6052,-2.774,-2.0153,-1.8422,0.657,1.1041,1.2505,2.633
0.2667,-5.9709,-4.6742,-4.2621,-3.6632,-2.7678,-2.0236,-1.8568,0.6334,1.1083,1.231,2.6568
0.2733,-5.9477,-4.7138,-4.297,-3.7205,-2.7645,-2.033,-1.8697,0.611,1.114,1.2134,2.6798
0.28,-5.9261,-4.7513,-4.3326,-3.7766,-2.7645,-2.0435,-1.8807,0.5898,1.1211,1.1978,2.7021
0.2867,-5.9063,-4.7865,-4.369,-3.8313,-2.768,-2.0549,-1.8897,0.5698,1.1296,1.1842,2.7235
0.2933,-5.8886,-4.8191,-4.4065,-3.8842,-2.7751,-2.0674,-1.8964,0.5511,1.1394,1.1726,2.744
0.3,-5.8734,-4.8486,-4.4453,-3.935,-2.7859,-2.081,-1.9008,0.5337,1.1504,1.1629,2.7637
0.3067,-5.861,-4.8749,-4.4856,-3.9834,-2.8005,-2.0955,-1.9029,0.5179,1.1551,1.1624,2.7825
0.3133,-5.8516,-4.8976,-4.5276,-4.0291,-2.8187,-2.111,-1.9029,0.5036,1.1492,1.1755,2.8004
0.32,-5.8456,-4.9166,-4.5715,-4.0718,-2.8403,-2.1275,-1.9008,0.491,1.1449,1.1894,2.8174
0.3267,-5.843,-4.9315,-4.6171,-4.1115,-2.8653,-2.1449,-1.8969,0.4803,1.1422,1.2042,2.8335
0.3333,-5.8439,-4.9424,-4.6646,-4.148,-2.8932,-2.1633,-1.8914,0.4716,1.141,1.2198,2.8487
0.34,-5.8483,-4.9494,-4.7138,-4.1815,-2.924,-2.1826,-1.8846,0.4651,1.141,1.2359,2.863
0.3467,-5.856,-4.9526,-4.7645,-4.2119,-2.9572,-2.2028,-1.8767,0.4607,1.1423,1.2526,2.8765
0.3533,-5.8667,-4.9522,-4.8165,-4.2394,-2.9927,-2.2239,-1.868,0.4587,1.1446,1.2697,2.8893
0.36,-5.8802,-4.9487,-4.8695,-4.2643,-3.0303,-2.2458,-1.8587,0.4592,1.1477,1.2871,2.9013
0.3667,-5.8959,-4.9424,-4.9233,-4.2867,-3.0696,-2.2685,-1.8488,0.462,1.1517,1.3047,2.9126
0.3733,-5.9136,-4.9777,-4.9338,-4.3067,-3.1106,-2.292,-1.8386,0.4674,1.1562,1.3224,2.9233
0.38,-5.9328,-5.0323,-4.9232,-4.3246,-3.153,-2.3163,-1.8281,0.4752,1.1613,1.3401,2.9335
0.3867,-5.953,-5.087,-4.9111,-4.3405,-3.1968,-2.3413,-1.8174,0.4853,1.1668,1.3577,2.9432
0.3933,-5.9739,-5.1416,-4.8978,-4.3545,-3.2417,-2.367,-1.8065,0.4979,1.1727,1.375,2.9525
0.4,-5.9953,-5.196,-4.8837,-4.3668,-3.2876,-2.3933,-1.7954,0.5125,1.1789,1.3919,2.9616
0.4067,-6.0167,-5.2499,-4.8691,-4.3774,-3.3345,-2.4202,-1.7841,0.5292,1.1853,1.4084,2.9705
0.4133,-6.0379,-5.3033,-4.8542,-4.3865,-3.3823,-2.4477,-1.7726,0.5477,1.192,1.4244,2.9793
0.42,-6.0586,-5.3559,-4.8393,-4.394,-3.4307,-2.4758,-1.7607,0.5677,1.199,1.4396,2.9881
0.4267,-6.0788,-5.4078,-4.8246,-4.4002,-3.4799,-2.5043,-1.7485,0.5889,1.2065,1.454,2.997
0.4333,-6.098,-5.4588,-4.8102,-4.405,-3.5297,-2.5333,-1.7359,0.6109,1.2144,1.4676,3.0062
0.44,-6.1163,-5.5088,-4.7963,-4.4086,-3.5799,-2.5627,-1.7228,0.6332,1.2231,1.4801,3.0156
0.4467,-6.1334,-5.5577,-4.783,-4.4109,-3.6307,-2.5924,-1.7091,0.6555,1.2327,1.4916,3.0254
0.4533,-6.1493,-5.6056,-4.7705,-4.412,-3.6818,-2.6225,-1.6948,0.6771,1.2436,1.502,3.0357
0.46,-6.1637,-5.6522,-4.7588,-4.412,-3.7332,-2.6527,-1.6798,0.6975,1.2561,1.5111,3.0465
0.4667,-6.1766,-5.6976,-4.748,-4.4109,-3.7849,-2.6832,-1.6641,0.7161,1.2707,1.519,3.0578
0.4733,-6.1879,-5.7417,-4.7382,-4.4088,-3.8367,-2.7139,-1.6476,0.7323,1.2875,1.5257,3.0698
0.48,-6.1975,-5.7844,-4.7295,-4.4057,-3.8886,-2.7446,-1.6304,0.7455,1.3071,1.531,3.0824
0.4867,-6.2053,-5.8258,-4.722,-4.4016,-3.9405,-2.7754,-1.6124,0.7555,1.3295,1.535,3.0956
0.4933,-6.2112,-5.8657,-4.7156,-4.3967,-3.9921,-2.8061,-1.5936,0.762,1.3548,1.5377,3.1095
0.5,-6.2152,-5.9041,-4.7107,-4.3909,-4.0435,-2.8367,-1.5741,0.7649,1.383,1.5391,3.124
0.5067,-6.2173,-5.9411,-4.7071,-4.3843,-4.0943,-2.8672,-1.5538,0.7643,1.4138,1.5393,3.1391
0.5133,-6.2174,-5.9765,-4.7052,-4.3769,-4.1445,-2.8975,-1.533,0.7603,1.447,1.5383,3.1547
0.52,-6.2154,-6.0104,-4.7051,-4.3689,-4.1936,-2.9275,-1.5115,0.7531,1.4822,1.5362,3.1707
0.5267,-6.2113,-6.0427,-4.7071,-4.3603,-4.2414,-2.9571,-1.4895,0.7432,1.5189,1.533,3.1872
0.5333,-6.2052,-6.0735,-4.7115,-4.3512,-4.2874,-2.9862,-1.4672,0.7309,1.5289,1.5567,3.2039
0.54,-6.1969,-6.1026,-4.7188,-4.3415,-4.3311,-3.0148,-1.4445,0.7164,1.524,1.5953,3.2209
0.5467,-6.1865,-6.1301,-4.7296,-4.3716,-4.3315,-3.0429,-1.4217,0.7001,1.5182,1.6342,3.2379
0.5533,-6.174,-6.156,-4.7446,-4.4085,-4.3212,-3.0702,-1.3988,0.6823,1.5119,1.6731,3.255
0.56,-6.1803,-6.1595,-4.7641,-4.4409,-4.3106,-3.0967,-1.376,0.6634,1.505,1.7116,3.2719
0.5667,-6.2029,-6.1429,-4.7886,-4.4686,-4.3,-3.1223,-1.3534,0.6437,1.4976,1.7493,3.2886
0.5733,-6.2239,-6.1244,-4.8177,-4.4914,-4.2893,-3.147,-1.3312,0.6235,1.49,1.786,3.3049
0.58,-6.2433,-6.104,-4.851,-4.51,-4.2787,-3.1705,-1.3096,0.6031,1.4821,1.8213,3.3208
0.5867,-6.2611,-6.0817,-4.8876,-4.5249,-4.2683,-3.1928,-1.2887,0.5828,1.4741,1.855,3.3361
0.5933,-6.2774,-6.0579,-4.9266,-4.5369,-4.2582,-3.2138,-1.2688,0.5628,1.4662,1.8868,3.3506
0.6,-6.292,-6.0326,-4.967,-4.5467,-4.2485,-3.2333,-1.2499,0.5435,1.4584,1.9164,3.3644
0.6067,-6.3051,-6.006,-5.0081,-4.5547,-4.2394,-3.2513,-1.2323,0.5251,1.4509,1.9437,3.3773
0.6133,-6.3166,-5.9786,-5.0491,-4.5614,-4.2309,-3.2677,-1.2161,0.5079,1.4437,1.9684,3.3892
0.62,-6.3267,-5.9507,-5.0893,-4.567,-4.2233,-3.2823,-1.2014,0.4922,1.437,1.9904,3.4
0.6267,-6.3353,-5.9228,-5.1278,-4.5718,-4.2165,-3.295,-1.1885,0.4781,1.4308,2.0096,3.4095
0.6333,-6.3424,-5.8958,-5.1639,-4.5759,-4.2106,-3.3058,-1.1774,0.4659,1.4254,2.0259,3.4178
0.64,-6.3482,-5.8706,-5.1964,-4.5793,-4.2058,-3.3147,-1.1683,0.4557,1.4207,2.0392,3.4247
0.6467,-6.3526,-5.8485,-5.2241,-4.5821,-4.2021,-3.3215,-1.1612,0.4476,1.4169,2.0495,3.4302
0.6533,-6.3556,-5.8308,-5.2456,-4.5842,-4.1994,-3.3264,-1.1561,0.4418,1.4141,2.0568,3.4342
0.66,-6.3574,-5.8193,-5.2593,-4.5855,-4.1979,-3.3292,-1.1531,0.4383,1.4123,2.0611,3.4366
0.6667,-6.358,-5.8153,-5.264,-4.586,-4.1974,-3.3302,-1.1521,0.4372,1.4117,2.0625,3.4374
0.67,-6.3579,-5.8163,-5.2628,-4.5859,-4.1975,-3.3299,-1.1524,0.4375,1.4118,2.0622,3.4372
0.6733,-6.3574,-5.8194,-5.2593,-4.5855,-4.1978,-3.3293,-1.1531,0.4383,1.4123,2.0611,3.4366
0.6767,-6.3567,-5.8245,-5.2534,-4.5847,-4.1984,-3.3281,-1.1543,0.4397,1.4131,2.0594,3.4355
0.68,-6.3558,-5.8315,-5.2455,-4.5836,-4.1992,-3.3266,-1.1559,0.4417,1.4143,2.057,3.4341
0.6833,-6.3545,-5.8403,-5.2356,-4.5822,-4.2002,-3.3247,-1.158,0.4442,1.4158,2.054,3.4322
0.6867,-6.3531,-5.8506,-5.224,-4.5802,-4.2014,-3.3224,-1.1605,0.4473,1.4177,2.0504,3.4299
0.69,-6.3513,-5.8624,-5.2109,-4.5778,-4.2028,-3.3197,-1.1634,0.4508,1.4199,2.0462,3.4271
0.6933,-6.3494,-5.8754,-5.1965,-4.5749,-4.2043,-3.3166,-1.1667,0.4548,1.4225,2.0413,3.424
0.6967,-6.3472,-5.8895,-5.1811,-4.5713,-4.2059,-3.3133,-1.1703,0.4593,1.4255,2.0359,3.4204
0.7,-6.3448,-5.9045,-5.165,-4.567,-4.2077,-3.3096,-1.1742,0.4643,1.429,2.03,3.4164
0.7033,-6.3421,-5.9204,-5.1482,-4.5619,-4.2095,-3.3056,-1.1785,0.4697,1.4328,2.0235,3.4119
0.7067,-6.3393,-5.9369,-5.1312,-4.556,-4.2114,-3.3014,-1.1831,0.4755,1.437,2.0166,3.407
0.71,-6.3363,-5.9539,-5.114,-4.5491,-4.2134,-3.297,-1.1879,0.4817,1.4417,2.0091,3.4017
0.7133,-6.3331,-5.9715,-5.0968,-4.5411,-4.2155,-3.2923,-1.193,0.4882,1.4468,2.0012,3.396
0.7167,-6.3297,-5.9894,-5.0799,-4.5319,-4.2176,-3.2874,-1.1983,0.4951,1.4523,1.9929,3.3899
0.72,-6.3261,-6.0076,-5.0635,-4.5215,-4.2197,-3.2823,-1.2039,0.5023,1.4583,1.9841,3.3833
0.7233,-6.3224,-6.0261,-5.0477,-4.5097,-4.2217,-3.277,-1.2096,0.5098,1.4647,1.9749,3.3764
0.7267,-6.3186,-6.0448,-5.0326,-4.4964,-4.2238,-3.2716,-1.2154,0.5176,1.4716,1.9654,3.369
