k,E1,E2,E3,E4,E5,E6,E7,E8,E9
0.0,-0.0,0.0,0.0,5.041767598033338,5.041767598033338,7.249757165127713,8.628129871687252,8.75766578726466,10.66183894951433
0.006667,-0.0036814965823240195,0.0660031178798417,0.10492864851900707,5.041962465523444,5.042711955870009,7.2493044729583875,8.628189830914977,8.757821681256745,10.66130231442619
0.013333,-0.0050635567813886555,0.1320002398369109,0.20978534596474396,5.042547067993763,5.0455360354958625,7.247946396450413,8.628372706559539,8.758289363233,10.659698405084542
0.02,0.006991245952752128,0.19798536994843505,0.3145011392253268,5.043518407482911,5.050224847103969,7.245688931526561,8.628675500659552,8.759056841347883,10.657027221489386
0.026667,0.0187162729344046,0.26395251229164163,0.41900107926609903,5.044879481952272,5.056745413119079,7.242538074109605,8.6291012111764,8.760124115601391,10.653297757524882
0.033333,0.032731742415157694,0.32989267298237196,0.5232192109365631,5.046624295479074,5.065061758004557,7.2385028180837026,8.629649838110085,8.761479194147979,10.648519007075189
0.04,0.049541311907902626,0.3958028540592397,0.6270805852020626,5.048752848063317,5.075122916416836,7.233589159371627,8.630315385537834,8.76310408921933,10.642702961985849
0.046667,0.06918095694927448,0.4616710636766998,0.730522244873486,5.0512621417436145,5.086868929128193,7.227815085741695,8.631097853459648,8.7649868089699,10.635864612063797
0.053333,0.09162069792541071,0.5274913059119798,0.833469240916177,5.0541461805971934,5.100227845065355,7.221189591078066,8.63199424391414,8.767106367669985,10.62801894711596
0.06,0.1167975776471999,0.5932485909581484,0.9358586161410241,5.057404964624055,5.115127713155054,7.213733661110444,8.633004556901305,8.769447775512651,10.61918395491066
0.066667,0.14463964504137186,0.6589399208538194,1.0376214174361433,5.061032497901427,5.13148758843986,7.205465283607146,8.63412279649838,8.771990046768197,10.6093806211776
0.073333,0.1750629571891114,0.7245473078306751,1.1386946876124235,5.065019786545149,5.1492115361554145,7.196399448375105,8.635342966782588,8.774715193668305,10.598632929607867
0.08,0.20797757524883076,0.7900587600431707,1.2390124715193667,5.069369828516608,5.168215613382899,7.186557141144021,8.636662069792541,8.777599232521885,10.586961865931166
0.086667,0.2432935603789423,0.8554622856457609,1.3385088140064756,5.074073629931646,5.188397889435183,7.175959347643602,8.638071111644082,8.780624175560618,10.574391413838589
0.093333,0.2809119798536995,0.9207398968701282,1.437129751768797,5.079122196906103,5.209662429547907,7.1646270536035495,8.63956409641444,8.783772035016188,10.560948554982613
0.1,0.3207309029859695,0.9858796018707278,1.5348063316944478,5.08451552943998,5.231907303033937,7.152584242714954,8.641129032258064,8.787024823120278,10.546657273054324
0.106667,0.36265439501139224,1.0508604149178558,1.6314845904784747,5.090244633649118,5.255036575128912,7.139848902746133,8.642759923252187,8.790364552104569,10.531541551744812
0.113333,0.40657452932006233,1.1156673462045807,1.7271075668545388,5.096303513610745,5.278945317184315,7.126448015349562,8.644447775512651,8.793773234200744,10.515628372706558
0.12,0.45238937522484707,1.1802824079625855,1.8216153015949155,5.1026831754407,5.3035405923971695,7.112402566254946,8.646177599232521,8.797241875524643,10.498944717592037
0.126667,0.49999700203861375,1.2446846144621655,1.9149538313946515,5.109383619138985,5.328720470080345,7.0977365391533755,8.647943398489026,8.800749490346563,10.481517568053723
0.133333,0.5492984770356157,1.3088559779350042,2.007075188871567,5.116392852860055,5.354395011392254,7.082473917735939,8.649733181436623,8.804290082743734,10.46336790982132
0.14,0.6001888715673341,1.372775512651397,2.0979194147979374,5.123704880681136,5.380468281568533,7.066638685693728,8.651534956229764,8.807851660870607,10.444519726585922
0.146667,0.6525662549466362,1.4364252308430268,2.187441539752968,5.131316704640844,5.406859335651757,7.050257824679218,8.653336731022904,8.811425230843026,10.425
0.153333,0.706337690370548,1.4997841467801893,2.2755876004317064,5.1392223288164045,5.433478234800336,7.033352320422113,8.655129511931886,8.815001798776832,10.404829715793259
0.16,0.7614042451133229,1.5628342726945676,2.3623096294519725,5.147409761362273,5.460244034056841,7.015955150497661,8.656904305072551,8.81857536874925,10.384029859695408
0.166667,0.8176699844106008,1.6255576208178437,2.4475596594315863,5.155879002278451,5.487087780309389,6.998090298596954,8.658649118599353,8.822136946876125,10.362621417436143
0.173333,0.8750419714594075,1.6879332054203142,2.53129571891114,5.16461805971939,5.513928528600551,6.979787744333853,8.660354958628131,8.825683535196067,10.340625374745173
0.18,0.9334332653795419,1.749940040772275,2.6134638445856817,5.17362993164648,5.540706319702601,6.96107746732222,8.662009833313347,8.829209137786304,10.318059719390813
0.186667,0.9927509293680296,1.8115661350281809,2.694022064995803,5.182902626214174,5.567355198465044,6.94198944717592,8.663610744693608,8.832710756685453,10.294945437102768
0.193333,1.052911020506056,1.8727935004197145,2.7729254107207097,5.192433145461086,5.5938152056601504,6.9225596594315855,8.665142702961985,8.836185393932126,10.271297517687971
0.2,1.1138265979134188,1.9336041491785583,2.850131910300995,5.202215493464444,5.620032377982971,6.902818083703082,8.666602710157091,8.839630051564935,10.247133948914739
0.206667,1.175419714594076,1.9939860894591674,2.9255905983930925,5.212246672262861,5.645958748051325,6.8828096894112,8.667978774433385,8.843041731622497,10.222472718551384
0.213333,1.2376094255905983,2.0539243314546107,2.999262501498981,5.222523683894951,5.671540352560259,6.862567454131191,8.669267897829476,8.846417436143422,10.197328816404845
0.22,1.300314785945557,2.113406883319343,3.071099652236479,5.2330405324379425,5.696744213934524,6.84213334932246,8.670458088499819,8.849757165127713,10.17172322820482
0.226667,1.3634608466242955,2.1724187552464325,3.1410600791461807,5.243791221969061,5.721522364791942,6.821552344405804,8.671546348483032,8.853060918575368,10.145667945796857
0.233333,1.4269726585921574,2.2309509533517207,3.2090958148459046,5.254775752488308,5.7458418275572605,6.800869408802014,8.672520685933565,8.856328696486388,10.119186952872045
0.24,1.4907812687372586,2.288994483751049,3.27516788583763,5.265991126034296,5.769666626693848,6.780132509893272,8.673375104928649,8.859557500899388,10.092295239237318
0.246667,1.5548147259863292,2.346540352560259,3.339228324739177,5.27743434464564,5.792969780549226,6.759386617100372,8.674100611584123,8.862756325698525,10.065013790622375
0.253333,1.6190040772274854,2.4035795658951913,3.4012321621297517,5.289099412399568,5.815724307470919,6.738685693728264,8.674688212015829,8.865922172922412,10.037363592756925
0.26,1.683283367310229,2.4601031298716873,3.4611344285885597,5.300986329296078,5.837897229883679,6.718083703081904,8.675125914378222,8.869061038493825,10.009365631370668
0.266667,1.7475866410840626,2.5161050485669745,3.5188931526561937,5.313092097373786,5.8594705600191865,6.697631610504857,8.67540772274853,8.872178918335532,9.98104688811608
0.273333,1.8118509413598753,2.5715793260582807,3.5744603669504733,5.325413718671303,5.880417316224967,6.677383379302074,8.675521645281208,8.875281808370309,9.952428348722869
0.28,1.876016308909941,2.6265199664228325,3.6277941000119918,5.337951193188631,5.900722508694088,6.657395970739897,8.67545569013071,8.878381700443697,9.923542990766279
0.286667,1.9400227845065354,2.6809209737378583,3.67885238038134,5.350698525002998,5.920359155774073,6.6377203501618895,8.675194867490106,8.881481592517087,9.894420793860174
0.293333,2.0038074109605466,2.7347703561578127,3.7275962345604987,5.363652716153015,5.939312267657993,6.618413478834392,8.674730183475237,8.884596474397409,9.865085741695646
0.3,2.0673192229284085,2.788071111644082,3.773983691090059,5.376816764600071,5.957566854538913,6.5995293200623575,8.674043650317783,8.887738337930207,9.835579805732102
0.306667,2.1304982611823955,2.840811248351121,3.8179817723947713,5.390181676460007,5.9750989327257455,6.581115841227964,8.673129272094975,8.890919174961025,9.805935963544789
0.313333,2.193293560378942,2.8929817723947715,3.859557500899388,5.403747451732821,5.991896510372946,6.563221009713394,8.671969061038494,8.894156973258184,9.776190190670343
0.32,2.255654155174481,2.9445766878522606,3.8986808969900464,5.417511092457129,6.007941599712195,6.54588979493944,8.670548027341408,8.897466722628613,9.746384458568173
0.326667,2.3175260822640604,2.995587000839429,3.935330974937042,5.4314696006715435,6.023222208897948,6.529167166326897,8.668857177119557,8.900860414917856,9.716557740736299
0.333333,2.378861374265499,3.046003717472119,3.9694897469720583,5.445616980453291,6.037717352200503,6.513086101451012,8.666884518527402,8.904362033817003,9.6867580045569
0.34,2.439612063796618,3.0958088499820122,4.001154215133709,5.4599502338409875,6.051412039812927,6.497676579925651,8.664618059719391,8.907983571171604,9.657024223528001
0.346667,2.499733181436623,3.14499340448495,4.030318383499221,5.47446336491186,6.064297277851061,6.482962585441899,8.662045808849982,8.91174301474997,9.62740436503178
0.353333,2.55917975776472,3.193536395251229,4.056994243914138,5.489153375704521,6.076355078546587,6.468965103729463,8.659161769996402,8.91565835232042,9.597946396450412
0.36,2.6179038253987286,3.2414198345125316,4.081205780069553,5.504011272334813,6.087573450053963,6.4556871327497305,8.655962945197265,8.919741575728505,9.568698285166086
0.366667,2.6758694088020145,3.2886167406163804,4.102985969540712,5.519031058879961,6.097940400527641,6.443131670464084,8.652440340568413,8.924010672742535,9.539702002638206
0.373333,2.7330315385537833,3.335097133948915,4.122382779709797,5.534209737378582,6.10744094016069,6.43129571891114,8.648593956109845,8.92847763520806,9.511011512171724
0.38,2.7893512411560137,3.3808250389734975,4.139459167765919,5.5495323180237435,6.116069073030339,6.42016129032258,8.644426789782948,8.933148459047848,9.482671783187431
0.386667,2.8447925410720707,3.4257584842307227,4.154302074589279,5.564992804892673,6.123815805252428,6.409707398968701,8.63993884158772,8.938038134068833,9.454727785106126
0.393333,2.899316464803933,3.4698405084542507,4.167007434944238,5.580582204101211,6.130675140904184,6.399898069312867,8.635139105408323,8.943152656193787,9.427224487348603
0.4,2.952887036814966,3.5130021585321978,4.1777041611704036,5.596288523803813,6.136638086101451,6.390697325818444,8.630036575128912,8.948489027461326,9.400209857297037
0.406667,3.0054712795299197,3.555162489507135,4.186545149298476,5.612099772154934,6.141707638805611,6.382060199064636,8.624637246672263,8.954059239716992,9.373719870488069
0.413333,3.0570332174121595,3.5962105768077706,4.193707279050246,5.62800395730903,6.145880801055283,6.373932725746492,8.618962105768077,8.959854299076627,9.347799496342487
0.42,3.107542870847823,3.636008514210337,4.199412399568294,5.643983091497781,6.1491635687732344,6.36626094255906,8.613020146300515,8.965874205540231,9.32248471039693
0.426667,3.1569702602230483,3.6743884158772033,4.203927329415997,5.6600251828756445,6.1515619378822395,6.358981892313227,8.60683235399928,8.972109965223648,9.297808490226645
0.433333,3.2052824079625855,3.711125434704401,4.207566854538913,5.676112243674301,6.153084902266459,6.3520356157812685,8.600419714594077,8.978558580165489,9.273803813406882
0.44,3.2524523324139585,3.745937762321621,4.210714713994483,5.692223288164048,6.1537534476555935,6.345356157812687,8.59380021585322,8.985202062597432,9.250497661590117
0.446667,3.298450053963305,3.7784686413238995,4.213835591797578,5.708337330615181,6.1535825638565775,6.338880561218371,8.587000839429187,8.992034416596715,9.227917016428828
0.453333,3.343248590958148,3.8082893632330017,4.217466123036335,5.724436383259383,6.152599232521885,6.332539872886437,8.580045569013071,8.999031658472237,9.20607986569133
0.46,3.3868209617460123,3.834893272574649,4.222223887756326,5.740493464444177,6.150830435303993,6.3262801295119315,8.572955390334572,9.006181796378462,9.185010193068713
0.466667,3.429143182635807,3.857746732222089,4.2287564456169795,5.756481592517089,6.1483151457009235,6.320035375944358,8.565760283007554,9.013463844585681,9.164719990406523
0.473333,3.4701852740136703,3.8763490826238156,4.2376783787024825,5.7723707878642525,6.145092337210696,6.313751648878762,8.558487228684495,9.020853819402806,9.145221249550305
0.48,3.5099292481112845,3.890346564336251,4.249457368989087,5.788131070871807,6.141209977215493,6.307383978894352,8.551163209017867,9.028330735100132,9.126516968461447
0.486667,3.548348123276172,3.8996282527881037,4.264312267657992,5.803723468041731,6.136722029020265,6.300884398608946,8.543812207698764,9.035870607986569,9.108619138985489
0.493333,3.5854179158172443,3.904368029739777,4.282183115481472,5.8191120038373905,6.1316914498141255,6.294213934524524,8.536467202302433,9.043446456409642,9.091524763161049
0.5,3.6211146420434104,3.9049796138625736,4.302758124475356,5.834245712915218,6.126184194747571,6.287342607027221,8.52914917855858,9.051031298716872,9.075233840988128
0.506667,3.6554233121477395,3.9020236239357238,4.325581604508933,5.849082623815805,6.120281208778031,6.28024643242595,8.52189111404245,9.0585951552944,9.05974037654395
