# freq[thz] kappa[W/m/K]
0.00000000 0.00000000
0.01498960 0.00000000
0.02997920 0.00000050
0.04496880 0.00000475
0.05995840 0.00002100
0.07494800 0.00006325
0.08993760 0.00015125
0.10492720 0.00031000
0.11991680 0.00057000
0.13490640 0.00139025
0.14989600 0.00313100
0.16488560 0.00572325
0.17987520 0.00854875
0.19486480 0.01123650
0.20985440 0.01407175
0.22484400 0.01719375
0.23983360 0.02082200
0.25482320 0.02513450
0.26981280 0.02993475
0.28480240 0.03485625
0.29979200 0.03978825
0.31478160 0.04468850
0.32977120 0.04959825
0.34476080 0.05504250
0.35975040 0.06091800
0.37474000 0.06666450
0.38972960 0.07232375
0.40471920 0.07796500
0.41970880 0.08371450
0.43469840 0.08995575
0.44968800 0.09654500
0.46467760 0.10308450
0.47966720 0.10967225
0.49465680 0.11645500
0.50964640 0.12354475
0.52463600 0.13087775
0.53962560 0.13824975
0.55461520 0.14561175
0.56960480 0.15314200
0.58459440 0.16098400
0.59958400 0.16926000
0.61457360 0.17770000
0.62956320 0.18604675
0.64455280 0.19451975
0.65954240 0.20331450
0.67453200 0.21257875
0.68952160 0.22208400
0.70451120 0.23159475
0.71950080 0.24127975
0.73449040 0.25129675
0.74948000 0.26168550
0.76446960 0.27217550
0.77945920 0.28264525
0.79444880 0.29336325
0.80943840 0.30452675
0.82442800 0.31600650
0.83941760 0.32756925
0.85440720 0.33932400
0.86939680 0.35153075
0.88438640 0.36419375
0.89937600 0.37708950
0.91436560 0.39027175
0.92935520 0.40404600
0.94434480 0.41835850
0.95933440 0.43300650
0.97432400 0.44824275
0.98931360 0.46416175
1.00430320 0.48075675
1.01929280 0.49837875
1.03428240 0.51703075
1.04927200 0.53648500
1.06426160 0.55668400
1.07925120 0.57759050
1.09424080 0.59919900
1.10923040 0.62150475
1.12422000 0.64447800
1.13920960 0.66808775
1.15419920 0.69230375
1.16918880 0.71710175
1.18417840 0.74247175
1.19916800 0.76838850
1.21415760 0.79480350
1.22914720 0.82168450
1.24413680 0.84902225
1.25912640 0.87681425
1.27411600 0.90506700
1.28910560 0.93379550
1.30409520 0.96302875
1.31908480 0.99280025
1.33407440 1.02311100
1.34906400 1.05393450
1.36405360 1.08525400
1.37904320 1.11707050
1.39403280 1.14945175
1.40902240 1.18281250
1.42401200 1.21868075
1.43900160 1.25826375
1.45399120 1.29608975
1.46898080 1.32633450
1.48397040 1.35081850
1.49896000 1.37361900
1.51394960 1.39938900
1.52893920 1.43166775
1.54392880 1.46820650
1.55891840 1.50418950
1.57390800 1.53876050
1.58889760 1.57372475
1.60388720 1.60802525
1.61887680 1.63842375
1.63386640 1.66274225
1.64885600 1.68149975
1.66384560 1.69770425
1.67883520 1.71349950
1.69382480 1.72925150
1.70881440 1.74548300
1.72380400 1.76272050
1.73879360 1.78082275
1.75378320 1.79978400
1.76877280 1.81920325
1.78376240 1.83840425
1.79875200 1.85748500
1.81374160 1.87755375
1.82873120 1.89895775
1.84372080 1.92282675
1.85871040 1.94822000
1.87370000 1.97317100
1.88868960 1.99828325
1.90367920 2.02333400
1.91866880 2.04790475
1.93365840 2.07190750
1.94864800 2.09573725
1.96363760 2.11914125
1.97862720 2.14124800
1.99361680 2.16214225
2.00860640 2.18216275
2.02359600 2.20195250
2.03858560 2.22107100
2.05357520 2.23929725
2.06856480 2.25827400
2.08355440 2.27932375
2.09854400 2.30164550
2.11353360 2.32360825
2.12852320 2.34486375
2.14351280 2.36517200
2.15850240 2.38413275
2.17349200 2.40174450
2.18848160 2.41805475
2.20347120 2.43332500
2.21846080 2.44780000
2.23345040 2.46134425
2.24844000 2.47371875
2.26342960 2.48499825
2.27841920 2.49549475
2.29340880 2.50536725
2.30839840 2.51486475
2.32338800 2.52421450
2.33837760 2.53274300
2.35336720 2.53995125
2.36835680 2.54587850
2.38334640 2.55074625
2.39833600 2.55532350
2.41332560 2.56039250
2.42831520 2.56584150
2.44330480 2.57087575
2.45829440 2.57548600
2.47328400 2.57990750
2.48827360 2.58423250
2.50326320 2.58846600
2.51825280 2.59261900
2.53324240 2.59680100
2.54823200 2.60097675
