# Temp[K] k_nat_rta[W/m/K] k_iso_rta[W/m/K]
10.0000000 87.4980000 125.6401000
20.0000000 35.2837000 43.2182000
30.0000000 23.3541000 26.7246000
40.0000000 17.9361000 19.8658000
50.0000000 14.6679000 15.9330000
75.0000000 10.1262000 10.7132000
100.0000000 7.7354000 8.0734000
125.0000000 6.2562000 6.4754000
150.0000000 5.2510000 5.4043000
175.0000000 4.5235000 4.6366000
200.0000000 3.9728000 4.0596000
225.0000000 3.5415000 3.6101000
250.0000000 3.1946000 3.2501000
275.0000000 2.9095000 2.9553000
300.0000000 2.6711000 2.7095000
400.0000000 2.0116000 2.0330000
500.0000000 1.6132000 1.6267000
600.0000000 1.3465000 1.3557000
700.0000000 1.1555000 1.1621000
800.0000000 1.0119000 1.0169000
900.0000000 0.9001000 0.9039000
1000.0000000 0.8105000 0.8136000
