# k j freq[thz] mfp[nm] kappa[W/m/K]
1.00000000e+00 1.00000000e+00 3.28982747e-12 0.00000000e+00 0.00000000e+00
1.00000000e+00 2.00000000e+00 3.28982747e-12 0.00000000e+00 0.00000000e+00
1.00000000e+00 3.00000000e+00 3.28982747e-12 0.00000000e+00 0.00000000e+00
1.00000000e+00 4.00000000e+00 2.28011302e+00 0.00000000e+00 0.00000000e+00
1.00000000e+00 5.00000000e+00 2.28011302e+00 0.00000000e+00 0.00000000e+00
1.00000000e+00 6.00000000e+00 2.28011302e+00 0.00000000e+00 0.00000000e+00
2.00000000e+00 1.00000000e+00 1.45191664e-01 7.60612000e+01 2.62445000e-04
2.00000000e+00 2.00000000e+00 1.45191664e-01 7.60612000e+01 2.64147000e-04
2.00000000e+00 3.00000000e+00 1.95268620e-01 3.94371000e+02 1.84110000e-03
2.00000000e+00 4.00000000e+00 2.27704315e+00 7.92744000e-01 2.56237000e-07
2.00000000e+00 5.00000000e+00 2.27704315e+00 7.92744000e-01 2.58484000e-07
2.00000000e+00 6.00000000e+00 3.46349698e+00 1.47401000e-01 3.14357000e-07
3.00000000e+00 1.00000000e+00 2.87931929e-01 1.89506000e+01 6.38751000e-05
3.00000000e+00 2.00000000e+00 2.87931929e-01 1.89506000e+01 6.40762000e-05
3.00000000e+00 3.00000000e+00 3.89145006e-01 1.49099000e+02 6.88831000e-04
3.00000000e+00 4.00000000e+00 2.26826824e+00 1.18606000e+00 5.57130000e-07
3.00000000e+00 5.00000000e+00 2.26826824e+00 1.18606000e+00 5.59751000e-07
3.00000000e+00 6.00000000e+00 3.44766796e+00 4.01803000e-01 1.44731000e-06
4.00000000e+00 1.00000000e+00 4.26373176e-01 1.03614000e+01 3.37102000e-05
4.00000000e+00 2.00000000e+00 4.26373176e-01 1.03614000e+01 3.37775000e-05
4.00000000e+00 3.00000000e+00 5.80568193e-01 6.96681000e+01 3.17034000e-04
4.00000000e+00 4.00000000e+00 2.25487653e+00 9.20550000e-01 3.20224000e-07
4.00000000e+00 5.00000000e+00 2.25487653e+00 9.20553000e-01 3.21472000e-07
4.00000000e+00 6.00000000e+00 3.42290514e+00 6.48851000e-01 2.68854000e-06
5.00000000e+00 1.00000000e+00 5.59645710e-01 6.57976000e+00 2.05781000e-05
5.00000000e+00 2.00000000e+00 5.59645710e-01 6.57976000e+00 2.06066000e-05
5.00000000e+00 3.00000000e+00 7.68999457e-01 4.84983000e+01 2.16918000e-04
5.00000000e+00 4.00000000e+00 2.23807019e+00 3.82331000e-02 5.29476000e-10
5.00000000e+00 5.00000000e+00 2.23807019e+00 3.82332000e-02 5.12483000e-10
5.00000000e+00 6.00000000e+00 3.39091733e+00 7.61319000e-01 2.94944000e-06
6.00000000e+00 1.00000000e+00 6.87839767e-01 5.35508000e+00 1.61397000e-05
6.00000000e+00 2.00000000e+00 6.87839767e-01 5.35508000e+00 1.61558000e-05
6.00000000e+00 3.00000000e+00 9.54336867e-01 4.22224000e+01 1.85570000e-04
6.00000000e+00 4.00000000e+00 2.21855074e+00 1.50980000e+00 7.54536000e-07
6.00000000e+00 5.00000000e+00 2.21855074e+00 1.50979000e+00 7.55087000e-07
6.00000000e+00 6.00000000e+00 3.35314354e+00 6.94202000e-01 2.13326000e-06
7.00000000e+00 1.00000000e+00 8.11653863e-01 3.38325000e+00 9.88073000e-06
7.00000000e+00 2.00000000e+00 8.11653863e-01 3.38325000e+00 9.88786000e-06
7.00000000e+00 3.00000000e+00 1.13667036e+00 4.65025000e+01 2.00885000e-04
7.00000000e+00 4.00000000e+00 2.19620424e+00 3.16119000e+00 3.06052000e-06
7.00000000e+00 5.00000000e+00 2.19620424e+00 3.16119000e+00 3.05739000e-06
7.00000000e+00 6.00000000e+00 3.31021333e+00 4.95472000e-01 1.00313000e-06
8.00000000e+00 1.00000000e+00 9.31834480e-01 4.08744000e+00 1.16091000e-05
8.00000000e+00 2.00000000e+00 9.31834480e-01 4.08744000e+00 1.16151000e-05
8.00000000e+00 3.00000000e+00 1.31595797e+00 5.20223000e+01 2.20675000e-04
8.00000000e+00 4.00000000e+00 2.17015532e+00 4.54071000e+00 5.92403000e-06
8.00000000e+00 5.00000000e+00 2.17015532e+00 4.54070000e+00 5.91783000e-06
8.00000000e+00 6.00000000e+00 3.26182690e+00 2.50126000e-01 2.37903000e-07
9.00000000e+00 1.00000000e+00 1.04871139e+00 4.78549000e+00 1.31932000e-05
9.00000000e+00 2.00000000e+00 1.04871139e+00 4.78549000e+00 1.31982000e-05
9.00000000e+00 3.00000000e+00 1.49181296e+00 5.77475000e+01 2.39761000e-04
9.00000000e+00 4.00000000e+00 2.13918680e+00 5.30961000e+00 7.77105000e-06
9.00000000e+00 5.00000000e+00 2.13918680e+00 5.30962000e+00 7.76311000e-06
