# k j freq[thz] 1/tau_3ph[tHz] 1/tau_iso[thz]
1.00000000e+00 1.00000000e+00 3.28982747e-12 inf nan
1.00000000e+00 2.00000000e+00 3.28982747e-12 inf nan
1.00000000e+00 3.00000000e+00 3.28982747e-12 inf nan
1.00000000e+00 4.00000000e+00 2.28011302e+00 2.04248783e-01 8.44612511e-03
1.00000000e+00 5.00000000e+00 2.28011302e+00 2.04248783e-01 8.44612511e-03
1.00000000e+00 6.00000000e+00 2.28011302e+00 2.04248783e-01 8.44612511e-03
2.00000000e+00 1.00000000e+00 1.45191664e-01 2.30732669e-02 5.32376872e-08
2.00000000e+00 2.00000000e+00 1.45191664e-01 2.30732669e-02 5.32376872e-08
2.00000000e+00 3.00000000e+00 1.95268620e-01 6.00175251e-03 2.16133982e-07
2.00000000e+00 4.00000000e+00 2.27704315e+00 2.02257599e-01 7.65797263e-03
2.00000000e+00 5.00000000e+00 2.27704315e+00 2.02257599e-01 7.65797263e-03
2.00000000e+00 6.00000000e+00 3.46349698e+00 7.52468095e+00 0.00000000e+00
3.00000000e+00 1.00000000e+00 2.87931929e-01 9.03277089e-02 8.15916870e-07
3.00000000e+00 2.00000000e+00 2.87931929e-01 9.03277089e-02 8.15916870e-07
3.00000000e+00 3.00000000e+00 3.89145006e-01 1.57095863e-02 4.39411034e-06
3.00000000e+00 4.00000000e+00 2.26826824e+00 1.96770601e-01 6.70103210e-03
3.00000000e+00 5.00000000e+00 2.26826824e+00 1.96770601e-01 6.70103210e-03
3.00000000e+00 6.00000000e+00 3.44766796e+00 4.66102682e+00 1.73807849e-04
4.00000000e+00 1.00000000e+00 4.26373176e-01 1.59400908e-01 6.60652263e-06
4.00000000e+00 2.00000000e+00 4.26373176e-01 1.59400908e-01 6.60652263e-06
4.00000000e+00 3.00000000e+00 5.80568193e-01 3.31140082e-02 2.44708575e-05
4.00000000e+00 4.00000000e+00 2.25487653e+00 1.87858340e-01 6.18002548e-03
4.00000000e+00 5.00000000e+00 2.25487653e+00 1.87858340e-01 6.18002548e-03
4.00000000e+00 6.00000000e+00 3.42290514e+00 3.31890715e+00 2.97435559e-04
