k,E1,E2,E3,E4,E5,E6,E7,E8
0.0,0.803,0.803,0.803,4.9969,8.0586,8.0586,8.0586,8.9003
0.010046189376443417,0.8027,0.8029,0.8029,4.9975,8.0584,8.0589,8.0589,8.9006
0.01997690531177829,0.8018,0.8026,0.8026,4.9993,8.0578,8.0597,8.0597,8.9016
0.03002309468822171,0.8004,0.8022,0.8022,5.0022,8.0567,8.0612,8.0612,8.9033
0.03995381062355658,0.7983,0.8017,0.8017,5.0064,8.0552,8.0631,8.0631,8.9057
0.049999999999999996,0.7957,0.801,0.801,5.0117,8.0534,8.0656,8.0656,8.9087
0.06004618937644342,0.7926,0.8001,0.8001,5.0182,8.0511,8.0687,8.0687,8.9124
0.06997690531177829,0.7889,0.7991,0.7991,5.0259,8.0484,8.0724,8.0724,8.9168
0.0800230946882217,0.7846,0.7979,0.7979,5.0347,8.0454,8.0766,8.0766,8.9219
0.08995381062355658,0.7798,0.7966,0.7966,5.0447,8.042,8.0813,8.0813,8.9276
0.09999999999999999,0.7745,0.7951,0.7951,5.0557,8.0383,8.0867,8.0867,8.934
0.11004618937644342,0.7686,0.7935,0.7935,5.0679,8.0343,8.0925,8.0925,8.941
0.11997690531177829,0.7623,0.7918,0.7918,5.0813,8.03,8.099,8.099,8.9487
0.1300230946882217,0.7554,0.7898,0.7898,5.0956,8.0254,8.106,8.106,8.9571
0.13995381062355658,0.7481,0.7878,0.7878,5.1111,8.0206,8.1135,8.1135,8.9661
0.15,0.7403,0.7856,0.7856,5.1276,8.0156,8.1216,8.1216,8.9758
0.1600461893764434,0.7321,0.7833,0.7833,5.1452,8.0103,8.1302,8.1302,8.9861
0.16997690531177828,0.7234,0.7808,0.7808,5.1637,8.0049,8.1394,8.1394,8.9971
0.18002309468822172,0.7144,0.7782,0.7782,5.1833,7.9994,8.1491,8.1491,9.0087
0.1899538106235566,0.7049,0.7755,0.7755,5.2038,7.9937,8.1594,8.1594,9.0209
0.19999999999999998,0.695,0.7726,0.7726,5.2253,7.988,8.1702,8.1702,9.0338
0.21004618937644343,0.6848,0.7697,0.7697,5.2477,7.9822,8.1815,8.1815,9.0473
0.2199769053117783,0.6742,0.7666,0.7666,5.271,7.9764,8.1934,8.1934,9.0614
0.23002309468822169,0.6633,0.7634,0.7634,5.2952,7.9705,8.2058,8.2058,9.0761
0.23995381062355658,0.6521,0.7601,0.7601,5.3203,7.9647,8.2188,8.2188,9.0915
0.25,0.6407,0.7566,0.7566,5.3462,7.9589,8.2322,8.2322,9.1074
0.2600461893764434,0.6289,0.7531,0.7531,5.3729,7.9532,8.2462,8.2462,9.1239
0.2699769053117783,0.6169,0.7495,0.7495,5.4004,7.9476,8.2608,8.2608,9.141
0.28002309468822173,0.6046,0.7458,0.7458,5.4287,7.9421,8.2758,8.2758,9.1587
0.2899538106235566,0.5921,0.742,0.742,5.4577,7.9368,8.2914,8.2914,9.177
0.3,0.5795,0.7381,0.7381,5.4874,7.9316,8.3075,8.3075,9.1959
0.31004618937644346,0.5666,0.7341,0.7341,5.5178,7.9265,8.3241,8.3241,9.2153
0.3199769053117783,0.5536,0.7301,0.7301,5.5488,7.9217,8.3412,8.3412,9.2352
0.3300230946882217,0.5404,0.726,0.726,5.5805,7.9172,8.3588,8.3588,9.2557
0.33995381062355656,0.5271,0.7218,0.7218,5.6128,7.9128,8.3769,8.3769,9.2767
0.35,0.5137,0.7175,0.7175,5.6456,7.9088,8.3955,8.3955,9.2983
