temp. (T),nat_full,nat_rta,pure_full,pure_rta
10.0,199.01,172.81,509.78,280.57
20.0,64.178,51.876,3.5807e+177,66.435
30.0,40.688,31.67,2.5676e+197,37.754
40.0,30.999,23.652,38.291,27.167
50.0,25.36,19.115,30.19,21.444
75.0,17.643,13.076,19.94,14.183
100.0,13.579,9.9748,14.928,10.624
125.0,11.047,8.0697,11.936,8.4973
150.0,9.3143,6.7777,9.9445,7.0808
175.0,8.0527,5.8432,8.523,6.0693
200.0,7.0928,5.1355,7.4573,5.3107
225.0,6.3377,4.581,6.6285,4.7207
250.0,5.7281,4.1346,5.9656,4.2487
275.0,5.2256,3.7676,5.4232,3.8625
300.0,4.8042,3.4605,4.9712,3.5407
400.0,3.6329,2.6097,3.7283,2.6556
500.0,2.921,2.0949,2.9827,2.1245
600.0,2.4424,1.7497,2.4855,1.7704
700.0,2.0986,1.5022,2.1305,1.5175
800.0,1.8397,1.3161,1.8641,1.3278
900.0,1.6376,1.171,1.657,1.1803
1000.0,1.4756,1.0547,1.4913,1.0623
