omega,kappa
0.03814456557477992,0.0
0.07628913113364436,0.0
0.11443369670842429,0.0
0.1525782622672887,0.0
0.19072282779432218,0.05147659508
0.22886739341684859,0.08232088828
0.26701195903937497,0.1249238608
0.30515652450274644,0.1504142594
0.3433010901252729,0.1778034572
0.38144565574779926,0.1844181957
0.41959022121117073,0.20291903
0.45773478683369717,0.2394674182
0.4958793522970686,0.251505519
0.534023917919595,0.2903741385
0.5721684835421215,0.3051803851
0.6103130490054929,0.3375746393
0.6484576146280193,0.3654580415
0.6866021802505458,0.3955285377
0.7247467457139172,0.4396703918
0.7628913113364436,0.4809981689
0.80103587695897,0.5025819738
0.8391804424223415,0.5711209582
0.8773250080448679,0.5975291748
0.9154695736673943,0.6830007814
0.9536141391307658,0.7258420994
0.9917587047532922,0.7563785219
1.0299032703758186,0.8431358657
1.06804783583919,0.884306529
1.1061924014617164,0.971200831
1.144336967084243,1.048967878
1.1824815325476143,1.119091132
1.2206260981701407,1.205118838
1.258770663633512,1.289417827
1.2969152292560386,1.407972222
1.3350597948785652,1.467719253
1.3732043603419366,1.575089753
1.411348925964463,1.672432047
1.4494934915869895,1.796973563
1.487638057050361,1.890729468
1.5257826226728872,1.991641501
1.5639271882954136,2.069341343
1.6020717532813202,2.202353947
1.6402163198587765,2.304523528
1.678360884844683,2.36888921
1.7165054498305896,2.428091036
1.7546500164080456,2.510287421
1.7927945813939523,2.562591201
1.8309391479714083,2.630287379
1.869083712957315,2.695174564
1.9072282779432215,2.794025719
1.9453728445206777,2.858262079
1.9835174095065844,2.912530619
2.021661974492491,2.966489728
2.059806541069947,3.017306314
2.0979511060558536,3.074833004
2.13609567104176,3.118755946
2.1742402376192165,3.159262361
2.212384802605123,3.211620571
2.250529369182579,3.254973483
2.288673934168486,3.286252594
2.3268184991543923,3.315009685
2.3649630657318483,3.341864702
2.403107630717755,3.361645188
2.4412521957036617,3.374737578
2.4793967622811177,3.385240837
2.517541327267024,3.395197192
2.555685892252931,3.40312202
2.593830458830387,3.41132017
2.6319750238162936,3.418099702
2.67011959039375,3.425548695
2.7082641553796565,3.431495422
2.7464087203655634,3.43667508
2.784553286943019,3.439479481
2.822697851928926,3.443321918
2.8608424169148323,3.446590794
2.898986983492289,3.448690123
2.937131548478195,3.451801696
2.9752761134641017,3.453247907
3.0134206800415577,3.45503889
3.0515652450274646,3.456225068
3.0897098116049206,3.45710495
3.127854376590827,3.458172895
3.1659989415767336,3.458763273
3.20414350815419,3.45943692
3.2422880731400965,3.45964279
3.2804326381260034,3.46005617
3.318577204703459,3.460212612
3.356721769689366,3.460361484
3.3948663346752728,3.460438514
3.433010901252729,3.460467371
3.4711554662386357,3.460474276
3.5093000328160913,3.460474276
3.5474445978019977,3.460474276
3.5855891627879046,3.460474276
3.62373372936536,3.460474276
3.661878294351267,3.460474276
3.700022859337174,3.460474276
3.73816742591463,3.460474276
3.776311990900537,3.460474276
3.814456557477993,3.460474276
